rank,symbol,name,rt_price,market_cap,target_weight,signal_date,effective_date
27,002962,五方光电,15.37,4482896460.0,0.01,2026-04-02,2026-04-03
28,300553,集智股份,41.81,4641866947.0,0.01,2026-04-02,2026-04-03
29,001282,三联锻造,21.2,4710334720.0,0.01,2026-04-02,2026-04-03
30,000586,汇源通信,25.12,4859212800.0,0.01,2026-04-02,2026-04-03
31,300626,华瑞股份,27.08,4874400000.0,0.01,2026-04-02,2026-04-03
32,603958,哈森股份,22.28,4887340800.0,0.01,2026-04-02,2026-04-03
33,301053,远信工业,53.78,4945880819.0,0.01,2026-04-02,2026-04-03
34,300632,光莆股份,16.74,5108740319.0,0.01,2026-04-02,2026-04-03
35,603777,来伊份,15.43,5160164881.0,0.01,2026-04-02,2026-04-03
36,688309,恒誉环保,65.47,5198401081.0,0.01,2026-04-02,2026-04-03
37,688345,博力威,51.79,5238532605.0,0.01,2026-04-02,2026-04-03
38,301235,华康洁净,50.59,5452429425.0,0.01,2026-04-02,2026-04-03
39,600769,祥龙电业,14.8,5549662560.0,0.01,2026-04-02,2026-04-03
40,600743,华远控股,2.41,5654103106.0,0.01,2026-04-02,2026-04-03
41,300706,阿石创,37.18,5699749733.0,0.01,2026-04-02,2026-04-03
42,688693,锴威特,78.5,5784210564.0,0.01,2026-04-02,2026-04-03
43,002631,德尔未来,7.27,5796246545.0,0.01,2026-04-02,2026-04-03
44,301282,金禄电子,38.49,5817377368.0,0.01,2026-04-02,2026-04-03
45,300233,金城医药,15.51,5953894844.0,0.01,2026-04-02,2026-04-03
46,600791,京能置业,13.54,6131995200.0,0.01,2026-04-02,2026-04-03
47,688667,菱电电控,116.6,6144290286.0,0.01,2026-04-02,2026-04-03
48,301181,标榜股份,53.35,6164110910.0,0.01,2026-04-02,2026-04-03
49,002843,泰嘉股份,25.0,6293439050.0,0.01,2026-04-02,2026-04-03
50,688079,美迪凯,15.46,6361344412.0,0.01,2026-04-02,2026-04-03
51,603158,腾龙股份,13.16,6458535148.0,0.01,2026-04-02,2026-04-03
52,301265,华新环保,22.02,6671469468.0,0.01,2026-04-02,2026-04-03
53,301387,光大同创,63.3,6757098013.0,0.01,2026-04-02,2026-04-03
54,688135,利扬芯片,29.03,6767007407.0,0.01,2026-04-02,2026-04-03
55,300389,艾比森,19.13,7060889064.0,0.01,2026-04-02,2026-04-03
56,002328,新朋股份,9.19,7092566300.0,0.01,2026-04-02,2026-04-03
57,002824,和胜股份,22.97,7147777909.0,0.01,2026-04-02,2026-04-03
58,300137,先河环保,13.33,7152640859.0,0.01,2026-04-02,2026-04-03
59,301323,新莱福,68.03,7183198581.0,0.01,2026-04-02,2026-04-03
60,603010,万盛股份,12.43,7271926542.0,0.01,2026-04-02,2026-04-03
61,603121,华培动力,21.57,7302172233.0,0.01,2026-04-02,2026-04-03
62,300868,杰美特,57.27,7327811040.0,0.01,2026-04-02,2026-04-03
63,002708,光洋股份,13.49,7582701575.0,0.01,2026-04-02,2026-04-03
64,300681,英搏尔,24.8,7590172432.0,0.01,2026-04-02,2026-04-03
65,002655,共达电声,21.16,7657636307.0,0.01,2026-04-02,2026-04-03
66,300227,光韵达,12.87,7670151802.0,0.01,2026-04-02,2026-04-03
67,002213,大为股份,32.51,7720634749.0,0.01,2026-04-02,2026-04-03
68,000823,超声电子,14.43,7748932973.0,0.01,2026-04-02,2026-04-03
69,002580,圣阳股份,17.25,7829240129.0,0.01,2026-04-02,2026-04-03
70,605178,时空科技,79.1,7837228000.0,0.01,2026-04-02,2026-04-03
71,603216,梦天家居,36.52,8132638800.0,0.01,2026-04-02,2026-04-03
72,603334,丰倍生物,56.77,8146495000.0,0.01,2026-04-02,2026-04-03
73,301180,万祥科技,20.54,8216205400.0,0.01,2026-04-02,2026-04-03
74,605005,合兴股份,21.17,8489170000.0,0.01,2026-04-02,2026-04-03
75,603507,振江股份,46.21,8516563396.0,0.01,2026-04-02,2026-04-03
76,300489,光智科技,61.44,8549857382.0,0.01,2026-04-02,2026-04-03
77,603773,沃格光电,39.22,8814170746.0,0.01,2026-04-02,2026-04-03
78,300696,爱乐达,30.07,8815110199.0,0.01,2026-04-02,2026-04-03
79,002937,兴瑞科技,29.65,8829138425.0,0.01,2026-04-02,2026-04-03
80,688312,燕麦科技,60.78,8859974508.0,0.01,2026-04-02,2026-04-03
81,301070,开勒股份,98.5,8887639240.0,0.01,2026-04-02,2026-04-03
82,301307,美利信,42.53,8956818000.0,0.01,2026-04-02,2026-04-03
83,301517,陕西华达,59.29,8966864260.0,0.01,2026-04-02,2026-04-03
84,300547,川环科技,41.41,8982084665.0,0.01,2026-04-02,2026-04-03
85,002039,黔源电力,21.25,9085610178.0,0.01,2026-04-02,2026-04-03
86,300443,金雷股份,29.51,9447171987.0,0.01,2026-04-02,2026-04-03
87,688383,新益昌,95.19,9675730335.0,0.01,2026-04-02,2026-04-03
88,002718,友邦吊顶,76.11,9852274265.0,0.01,2026-04-02,2026-04-03
89,300938,信测标准,40.57,9878646838.0,0.01,2026-04-02,2026-04-03
90,603687,大胜达,18.16,9988578650.0,0.01,2026-04-02,2026-04-03
91,603538,美诺华,45.5,10032197084.0,0.01,2026-04-02,2026-04-03
92,600810,神马股份,9.05,10057021419.0,0.01,2026-04-02,2026-04-03
93,603757,大元泵业,54.16,10103399547.0,0.01,2026-04-02,2026-04-03
94,000078,海王生物,3.84,10103513307.0,0.01,2026-04-02,2026-04-03
95,301369,联动科技,143.99,10162151558.0,0.01,2026-04-02,2026-04-03
96,603112,华翔股份,19.01,10264666233.0,0.01,2026-04-02,2026-04-03
97,002635,安洁科技,15.75,10390066722.0,0.01,2026-04-02,2026-04-03
98,002980,华盛昌,55.68,10545856589.0,0.01,2026-04-02,2026-04-03
99,000795,英洛华,9.6,10883367389.0,0.01,2026-04-02,2026-04-03
100,603203,快克智能,44.2,11211821416.0,0.01,2026-04-02,2026-04-03
