date,current_return_raw_return_net,current_return_raw_nav_net,current_return_raw_current_execution_scale,current_return_raw_next_session_target_scale,current_return_raw_target_vol_realized_vol,current_return_raw_target_vol_return,current_return_raw_target_vol_return_source,current_return_raw_holding,current_return_raw_next_holding,proposed_overlay_first_return_net,proposed_overlay_first_nav_net,proposed_overlay_first_current_execution_scale,proposed_overlay_first_next_session_target_scale,proposed_overlay_first_target_vol_realized_vol,proposed_overlay_first_target_vol_return,proposed_overlay_first_target_vol_return_source,proposed_overlay_first_holding,proposed_overlay_first_next_holding,constructed_spread_always_return_net,constructed_spread_always_nav_net,constructed_spread_always_current_execution_scale,constructed_spread_always_next_session_target_scale,constructed_spread_always_target_vol_realized_vol,constructed_spread_always_target_vol_return,constructed_spread_always_target_vol_return_source,constructed_spread_always_holding,constructed_spread_always_next_holding
2019-04-12,0.010538955314276732,23.688278469896144,1.5,1.5,0.04629365417297763,0.007067388286666594,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,0.010538955314276732,23.871844781803844,1.5,1.5,0.043302024263951605,0.007067388286666532,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,0.010538955314276732,23.688278469896144,1.5,1.5,0.09834198099941074,0.007307388286666594,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2019-04-15,-0.004549814273370423,23.580501202402235,1.5,1.5,0.04691138907779063,-0.0029924098686460437,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,-0.004549814273370423,23.76323232168391,1.5,1.5,0.044038227381638255,-0.0029924098686460177,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,-0.004549814273370423,23.580501202402235,1.5,1.5,0.09862336899994714,-0.002752409868646044,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2019-04-16,-0.0033917351703859344,23.50052238713872,1.5,1.5,0.046064176805667226,-0.0022203096681466415,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,-0.0033917351703859344,23.682633730856402,1.5,1.5,0.043102854815361503,-0.0022203096681466805,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,-0.0033917351703859344,23.50052238713872,1.5,1.5,0.09822767278967902,-0.0019803096681466417,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2019-04-17,0.01133421893574127,23.766882452978837,1.5,1.5,0.04717979687307449,0.007597596629084676,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,0.01133421893574127,23.9510578865369,1.5,1.5,0.04426069383083766,0.0075975966290846575,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,0.01133421893574127,23.766882452978837,1.5,1.5,0.0987604162516956,0.007837596629084675,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2019-04-18,-0.0042694987316199695,23.665409778491284,1.5,1.5,0.047598317926322894,-0.002087776150006375,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,-0.0042694987316199695,23.848798875269374,1.5,1.5,0.04474873098822868,-0.0020877761500063263,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,-0.0042694987316199695,23.665409778491284,1.5,1.5,0.09895493254920108,-0.0018477761500063751,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2019-04-19,0.006346120152377566,23.81559331240084,1.5,1.5,0.04565317258549683,0.004271992997329495,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,0.006346120152377566,24.00014621842172,1.5,1.5,0.04512868317374054,0.004271992997329388,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,0.006346120152377566,23.81559331240084,1.5,1.5,0.09805546432439258,0.004511992997329494,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2019-04-22,-0.002086687332997217,23.765897615508038,1.5,1.5,0.045422390688682784,-0.0013502242876989132,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,-0.002086687332997217,23.950065417317656,1.5,1.5,0.045359353908255386,-0.0013502242876989312,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,-0.002086687332997217,23.765897615508038,1.5,1.5,0.09794997223308013,-0.0011102242876989132,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2019-04-23,-0.01747376761116859,23.350617843503827,1.5,1.5,0.05214478666755687,-0.011608908463293925,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,-0.01747376761116859,23.53156753994316,1.5,1.5,0.05214478666755672,-0.011608908463293877,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,-0.01747376761116859,23.350617843503827,1.5,1.5,0.10122091830356997,-0.011368908463293925,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2019-04-24,0.004404771262821017,23.45347197395001,1.5,1.5,0.05225681118270526,0.0029776808359212653,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,0.004404771262821017,23.635218712412236,1.5,1.5,0.052256811182705094,0.0029776808359212037,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,0.004404771262821017,23.45347197395001,1.5,1.5,0.10129903448678067,0.003217680835921265,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2019-04-25,-0.009555929838538813,23.229352241296805,1.5,1.5,0.05432525797993253,-0.006330025426709285,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,-0.009555929838538813,23.409362220677906,1.5,1.5,0.054325257979932345,-0.00633002542670924,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,-0.009555929838538813,23.229352241296805,1.5,1.5,0.10236577769745861,-0.006090025426709285,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
