z_window,threshold,rows,sample_start,sample_end,total_return,annual_return,sharpe,max_drawdown,position_days_pct,trades
60,0.7,661,2023-07-05,2026-03-27,0.76393317344298,0.23137165923880465,1.1647103867871413,-0.280119968697511,0.4962178517397882,22
400,0.5,661,2023-07-05,2026-03-27,0.2585068480680097,0.08797452544517426,1.1479984374805272,-0.10347807693264721,0.15582450832072617,8
160,1.3,661,2023-07-05,2026-03-27,1.084651330091679,0.30916666674376825,1.145757943089799,-0.32791991903765594,0.7261724659606656,3
40,0.5,661,2023-07-05,2026-03-27,0.8797447861771996,0.26042406338924917,1.0882580505541655,-0.29424980374668375,0.4826021180030257,28
300,1.1,661,2023-07-05,2026-03-27,0.637380915466851,0.19820827898847848,1.074909120181866,-0.2198051268767499,0.4720121028744327,3
250,0.7,661,2023-07-05,2026-03-27,0.6554958524276508,0.20305262747824204,1.060044903945685,-0.21980512687675002,0.41603630862329805,13
200,0.9,661,2023-07-05,2026-03-27,0.7014876910065866,0.21520296004281603,1.043599982921836,-0.2198051268767497,0.4735249621785174,7
400,0.9,661,2023-07-05,2026-03-27,0.2978583341194849,0.10032848802484495,1.021201108688411,-0.13069522498364716,0.1951588502269289,3
160,0.5,661,2023-07-05,2026-03-27,0.6187907962706385,0.193201437582339,1.0163690456852417,-0.25369506153513377,0.3857791225416036,22
300,1.3,661,2023-07-05,2026-03-27,0.5856474218403296,0.18418388490118454,1.0145366061926742,-0.2198051268767497,0.4735249621785174,3
200,1.1,661,2023-07-05,2026-03-27,0.7395288241561428,0.2250965983580706,1.0036195406354051,-0.21980512687674936,0.529500756429652,5
60,1.5,661,2023-07-05,2026-03-27,1.0116482688374488,0.2921640558444505,0.9962015064570285,-0.45515672705665255,0.8154311649016641,3
400,0.7,661,2023-07-05,2026-03-27,0.2793389985460004,0.0945445386159327,0.955693855650702,-0.1172017997896232,0.22239031770045387,6
120,1.3,661,2023-07-05,2026-03-27,0.7499049058396285,0.22777135694743822,0.9238712932100402,-0.32791991903765594,0.6550680786686838,5
80,1.5,661,2023-07-05,2026-03-27,0.8723197545013466,0.2585960009975985,0.8827518518386197,-0.45515672705665244,0.8547655068078669,1
40,0.3,661,2023-07-05,2026-03-27,0.6149227244806841,0.19215508669178938,0.8775942152693467,-0.299962332804919,0.44175491679273826,32
100,0.3,661,2023-07-05,2026-03-27,0.6222342248334765,0.19413158701846878,0.8397388149756604,-0.45920983416160843,0.44478063540090773,30
120,0.9,661,2023-07-05,2026-03-27,0.5198933950541991,0.16593392922274997,0.8185873367219251,-0.28206705927983,0.5158850226928896,9
60,0.9,661,2023-07-05,2026-03-27,0.6020447652158822,0.18865999210394757,0.8125525686736466,-0.45515672705665255,0.5446293494704992,20
300,0.5,661,2023-07-05,2026-03-27,0.3244206497651496,0.10853388200551817,0.8056117386695955,-0.21980512687674958,0.2859304084720121,12
100,0.5,661,2023-07-05,2026-03-27,0.5757984051421918,0.1814812181734673,0.7907053815614604,-0.4423046568047134,0.4659606656580938,22
100,1.3,661,2023-07-05,2026-03-27,0.5804817925684826,0.1827677155322709,0.7855492856479175,-0.32791991903765594,0.6414523449319214,5
40,0.9,661,2023-07-05,2026-03-27,0.549013234329786,0.17407656992763032,0.7683586001787444,-0.45515672705665267,0.5219364599092284,20
300,0.7,661,2023-07-05,2026-03-27,0.3273689518780625,0.1094381976337202,0.7608762460182668,-0.21980512687674958,0.291981845688351,9
60,1.3,661,2023-07-05,2026-03-27,0.6169593984665436,0.1927062243265547,0.7452586164084045,-0.45515672705665255,0.7473524962178517,7
40,1.5,661,2023-07-05,2026-03-27,0.6013223966257972,0.18846341417491286,0.7420643207041445,-0.45515672705665255,0.735249621785174,6
200,0.7,661,2023-07-05,2026-03-27,0.42417510601638275,0.13845084928757068,0.7387991480361574,-0.2198051268767498,0.4236006051437216,15
100,0.9,661,2023-07-05,2026-03-27,0.37631522815736185,0.12426890544769464,0.6560269440137596,-0.28206705927983,0.4795763993948563,11
40,1.3,661,2023-07-05,2026-03-27,0.45371116514370424,0.1470529585572644,0.6481705366696533,-0.45515672705665255,0.5627836611195158,18
80,0.7,661,2023-07-05,2026-03-27,0.4317739016992388,0.14067464214085645,0.6445874874916981,-0.45515672705665244,0.5310136157337367,20
120,1.1,661,2023-07-05,2026-03-27,0.4236371400902723,0.13829312865763477,0.63816205662398,-0.32791991903765627,0.6414523449319214,7
500,1.1,661,2023-07-05,2026-03-27,0.18110437962908654,0.06294142215494669,0.6340317583248158,-0.1306952249836475,0.2102874432677761,1
500,0.7,661,2023-07-05,2026-03-27,0.13925419423384322,0.04897162926026111,0.6334547695637499,-0.11720179978962297,0.14674735249621784,4
40,1.1,661,2023-07-05,2026-03-27,0.39940879219462655,0.13115038031906834,0.5993679660415312,-0.45515672705665255,0.5476550680786687,20
160,0.7,661,2023-07-05,2026-03-27,0.31693737694944724,0.10623284190177218,0.5761454257051671,-0.26922956286419264,0.4523449319213313,17
80,1.3,661,2023-07-05,2026-03-27,0.403565068984006,0.13238122467511682,0.5749754717196123,-0.45515672705665244,0.7186081694402421,7
100,1.1,661,2023-07-05,2026-03-27,0.3213752472621145,0.1075984438021389,0.5658341936419935,-0.28206705927983,0.4962178517397882,11
160,1.1,661,2023-07-05,2026-03-27,0.34192806997831493,0.11388528268306941,0.5581023663224104,-0.32791991903765627,0.5627836611195158,7
500,0.3,661,2023-07-05,2026-03-27,0.08089863669842323,0.02893873791240953,0.5266448400490968,-0.1078095607375893,0.0832072617246596,8
80,0.9,661,2023-07-05,2026-03-27,0.2859780537851542,0.09662410488200845,0.49264322932546734,-0.45515672705665244,0.5204236006051437,16
160,0.9,661,2023-07-05,2026-03-27,0.25459953119777956,0.08673458700743475,0.47383415444140176,-0.32791991903765627,0.5204236006051437,11
500,0.5,661,2023-07-05,2026-03-27,0.05521422885535765,0.019904260351594427,0.3755783869934654,-0.08288578008646785,0.07866868381240545,6
60,1.1,661,2023-07-05,2026-03-27,0.18915449272207807,0.06559247938894841,0.37114567160822043,-0.45515672705665255,0.7155824508320726,11
300,0.9,661,2023-07-05,2026-03-27,0.11674315323977003,0.04132257445734555,0.33218812471953374,-0.26285148830525396,0.3177004538577912,7
80,1.1,661,2023-07-05,2026-03-27,0.1074045220718991,0.03812073329581511,0.2822111050972801,-0.45515672705665244,0.6127080181543116,13
500,1.3,661,2023-07-05,2026-03-27,0.033625603856785924,0.0122021354822488,0.1985084311486935,-0.13069522498364716,0.0680786686838124,1
500,0.9,661,2023-07-05,2026-03-27,0.012436475636121491,0.004542826532679012,0.09743037372668535,-0.13069522498364738,0.10892586989409984,3
500,1.5,661,2023-07-05,2026-03-27,0.0,0.0,0.0,0.0,0.0,0
