family,direction,scale,tested,robust_cells,best_score,median_score,best_10y_ann,best_5y_ann,best_3y_ann,best_10y_dd,best_5y_dd,best_3y_dd
cyb,above,0.0,42,0,3.3228975127030937e-14,-1.5400977398706033,0.0,0.0,0.16789224147684223,1.0658141036401503e-14,0.9103318305368706,1.5952356080811256
cyb,above,0.25,42,0,3.3228975127030937e-14,-1.1087674681058122,0.0,0.0,0.1275743925093451,1.2223330157625103,1.3940999559555642,1.394099955955543
cyb,above,0.5,42,0,3.3228975127030937e-14,-0.6998927934129944,0.0,0.0,0.08615239764586491,0.8457439340523116,1.41122064771797,1.4112206477179718
cyb,above,0.75,42,0,3.3228975127030937e-14,-0.33248111298704697,0.0,0.0,0.04362726892541602,0.4229212636999602,0.7046629255992425,0.7046629255991981
hs300,above,0.0,42,0,3.3228975127030937e-14,-0.9563084113448668,0.0,0.0,0.0,0.0,0.0,0.0
hs300,above,0.25,42,0,3.3228975127030937e-14,-0.6791986971056716,0.0,0.0,0.0,0.0,0.24939178717745492,0.24939178717740162
hs300,above,0.5,42,0,3.3228975127030937e-14,-0.41927500881884455,0.0,0.0,0.0,0.15327756193037523,0.8457439340523241,0.8457439340522903
hs300,above,0.75,42,0,3.3228975127030937e-14,-0.1956879111229025,0.0,0.0,0.0,0.5366972870089359,0.8652524930415346,0.8652524930415026
hs300,below,0.0,42,0,3.3228975127030937e-14,-1.0500444789632009,0.0,0.0,1.5101052516573787,0.7261890172917003,0.857487346654974,2.668733080154297
hs300,below,0.25,42,0,3.3228975127030937e-14,-0.7258050975285287,0.0,0.0,1.1358771827978167,1.4253245277331406,1.4253245277331743,2.668733080154297
hs300,below,0.5,42,0,3.3228975127030937e-14,-0.44836412098803086,0.0,0.0,0.7594482940699514,1.4253245277331406,1.425324527733185,2.6687330801542846
hs300,below,0.75,42,0,3.3228975127030937e-14,-0.20957077114492342,0.0,0.0,0.38082156043837045,1.358406743668228,1.358406743668251,2.5097943460809304
sh_comp,above,0.0,42,0,3.3228975127030937e-14,-1.0670203760615258,0.0,0.0,0.0,2.3092638912203256e-14,0.0,1.2434497875801753e-14
sh_comp,above,0.25,42,0,3.3228975127030937e-14,-0.7651267758234468,0.0,0.0,0.0,0.0,0.9886524744051499,0.9886524744051943
sh_comp,above,0.5,42,0,3.3228975127030937e-14,-0.49292219034756074,0.0,0.0,0.0,1.0658141036401503e-14,1.4611451733307472,1.4611451733307366
sh_comp,above,0.75,42,0,3.3228975127030937e-14,-0.23838095332938525,0.0,0.0,0.0,0.2215222790199487,1.0648948894012804,1.0648948894012698
zz2000_and_cyb,above,0.0,42,0,3.3228975127030937e-14,-1.0757543843774702,0.0,0.0,0.2193258770185622,1.0658141036401503e-14,2.3092638912203256e-14,1.1324478329052372
zz2000_and_cyb,above,0.25,42,0,3.3228975127030937e-14,-0.7613730186136071,0.0,0.0,0.17328720896867722,0.3526621493935007,0.3526621493935682,0.8514271219195688
zz2000_and_cyb,above,0.5,42,0,3.3228975127030937e-14,-0.47678273646147806,0.0,0.0,0.12141093752480359,0.5690121118639873,1.010178854025357,1.0101788540253356
zz2000_and_cyb,above,0.75,42,0,3.3228975127030937e-14,-0.22821511133999253,0.0,0.0,0.06366066863763464,0.2852030001938797,0.6841119483101181,0.6841119483101181
zz2000,above,0.75,42,0,-0.0012339703015719768,-0.35985031092391695,-0.015389306233927869,-0.03084741748683939,0.0,0.3956540368870396,0.816985161243112,0.816985161243112
zz1000,above,0.75,42,0,-0.0018829495331370274,-0.27750927942205206,-0.024432927036599494,0.0,0.0,0.3513152773210191,0.8834965743429901,0.8834965743429688
sh_comp,below,0.5,42,0,-0.002593939154082914,-0.4976247213754649,0.060008792528787325,0.33418893672102,0.22752139638857471,1.4253245277331619,1.4253245277332187,2.668733080154274
zz2000,above,0.5,42,0,-0.0026640853376945486,-0.7489914651221729,-0.031003489271164142,-0.06214191389721435,0.0,0.4438051447163254,1.01017885402538,1.3067345862414772
zz1000,below,0.5,42,0,-0.0033819764974763866,-0.5154324193579211,0.002658092408825752,1.3992610290644691,0.5070096602767045,2.8083395898902968,2.80833958989032,2.981207681514732
zz1000,above,0.5,42,0,-0.0037747262718521466,-0.5842378567978346,-0.04889972322856906,0.0,0.0,0.25700451897365717,0.9465975121660808,0.9465975121660364
sh_comp,below,0.25,42,0,-0.0038940248032538153,-0.818653393064517,0.08911563521840549,0.4938135173006728,0.33639277601396245,1.4253245277331743,1.4253245277331743,2.668733080154274
zz2000,above,0.25,42,0,-0.004290031887527506,-1.1691169643648864,-0.04684228996563178,-0.09388280977810837,0.0,1.0658141036401503e-14,1.5139223213184732,1.513922321318507
sh_comp,below,0.0,42,0,-0.005196187323258872,-1.1869571701814992,0.1176241524165853,0.6484568628488034,0.44200414435773183,1.4226193441322597,1.4226193441322597,2.668733080154297
zz1000,below,0.25,42,0,-0.0052063589493099765,-0.849557540042143,0.003574445748430577,2.0551588029076555,0.7161761525634951,2.6688862027882347,2.668886202788258,2.668886202788258
zz1000,above,0.25,42,0,-0.00567532042933462,-0.9344502596749428,-0.07340041479775294,0.0,0.0,2.3092638912203256e-14,1.3919857736564243,1.3919857736563905
zz2000,above,0.0,42,0,-0.006111260686064833,-1.6317615771804825,-0.06290545846841056,-0.12606944225097294,0.0,1.0658141036401503e-14,1.4747112183208682,1.6251532922994762
zz1000,below,0.0,42,0,-0.007119728061484656,-1.241832762641796,0.0042160906183355,2.681553230663262,0.895673409971053,2.6687330801542615,2.6687330801542846,2.6687330801542632
zz1000,above,0.0,42,0,-0.0075847216824444525,-1.3103812040367402,-0.0979350280994069,0.0,0.0,1.0658141036401503e-14,0.9845519320140994,1.1549563234233187
zz2000_or_cyb,below,0.25,42,0,-0.018783997470076426,-0.7054432270802318,-0.1602447832969922,1.1193124749082202,0.0,2.8083395898903074,2.8083395898903625,3.753544406856081
zz2000_or_cyb,below,0.0,42,0,-0.025494859364797885,-1.0507521096295962,-0.21449738491716985,1.4140745251419276,0.0,2.8083395898902968,2.80833958989032,3.3628651893585886
