序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
41,000998,中证TMT,3077.63,1.51,45.67,60368134,370780741437.0,1.33,3105.5,3065.1,3065.12,3031.96,1.34
42,000698,科创100,1592.15,1.5,23.46,9933788,65569677288.0,1.51,1606.9,1583.2,1583.2,1568.69,1.07
43,000110,380金融,3999.64,1.48,58.35,10508560,7059145890.0,2.17,4052.97,3967.6,3967.6,3941.29,1.6
44,000510,中证A500,5781.99,1.46,83.04,312975355,885007334089.0,1.36,5808.29,5730.63,5736.26,5698.95,1.1
45,000123,180动态,6827.38,1.46,98.05,73379323,194483148475.0,1.28,6891.26,6805.24,6805.24,6729.33,1.16
46,000904,中证200,5933.66,1.46,85.21,123318395,332513422533.0,1.3,5966.17,5890.2,5894.34,5848.45,1.07
47,000162,沪互联+,3369.2,1.37,45.69,19769793,47893267080.0,1.34,3388.91,3344.41,3344.41,3323.51,1.21
48,000906,中证800,5207.56,1.35,69.34,407088578,1047677452942.5,1.26,5232.76,5167.78,5172.49,5138.22,1.1
49,000109,380医药,9626.29,1.26,120.0,3633176,10079031848.0,1.7,9699.93,9538.66,9538.66,9506.29,0.99
50,000931,800可选,5686.6,1.25,70.0,14540136,43500852571.0,1.26,5710.79,5640.13,5640.4,5616.6,1.2
51,000067,上证新兴,8910.79,1.22,107.6,28806838,131623451373.0,1.19,9001.04,8896.57,8896.57,8803.19,1.05
52,000851,百发100,22115.53,1.22,266.14,31255651,93236526904.0,1.37,22287.18,21988.9,22014.63,21849.39,1.11
53,000114,持续产业,1297.39,1.21,15.51,18273215,31588057025.0,1.17,1304.53,1289.51,1293.44,1281.88,0.9
54,000695,科长三角,1064.43,1.2,12.62,5894338,40526817054.0,1.71,1081.89,1063.94,1067.27,1051.81,1.01
55,000907,中证700,6857.44,1.19,80.45,324379120,761672656327.0,1.38,6918.17,6824.96,6829.36,6776.99,1.11
56,000846,ESG 100,1387.05,1.18,16.15,72966461,217527812891.0,1.13,1392.18,1376.69,1379.17,1370.9,1.2
57,000858,500信息,10991.29,1.18,128.21,22824626,102995405302.0,1.58,11159.45,10987.83,11014.88,10863.08,1.25
58,000095,上证中游,4100.44,1.17,47.54,102378814,299014020944.0,1.1,4140.07,4095.6,4095.6,4052.9,1.05
59,000985,中证全指,6090.45,1.17,70.4,1174987136,2264100805231.0,1.17,6127.27,6056.94,6060.57,6020.05,1.03
60,000902,中证流通,6470.36,1.17,74.61,1179547541,2271243646748.0,1.17,6509.76,6434.83,6438.84,6395.75,1.03
61,000072,工业等权,3257.0,1.16,37.43,39198360,53164074553.0,0.8,3279.21,3253.3,3253.99,3219.57,0.96
62,000989,全指可选,5172.44,1.15,58.69,25751402,63662036532.4,1.12,5193.15,5135.91,5135.91,5113.75,1.17
63,000681,科创价格,1684.03,1.14,18.97,41291406,248530130653.0,1.29,1703.47,1681.99,1682.01,1665.06,1.08
64,000853,CSSW丝路,1674.49,1.14,18.86,27761091,161935740995.0,1.32,1681.34,1659.56,1663.12,1655.63,1.11
65,000680,科创综指,1744.73,1.14,19.65,41291406,248530130653.0,1.29,1764.88,1742.62,1742.64,1725.08,1.08
66,000992,全指金融,5472.34,1.13,61.34,89211429,98089700071.1,1.52,5525.85,5443.64,5444.2,5411.0,1.25
67,000974,800金融,6430.76,1.13,72.16,71653320,84195442909.0,1.57,6495.86,6396.29,6397.94,6358.6,1.33
68,000934,中证金融,5718.76,1.12,63.38,75993800,86400870327.9,1.55,5776.2,5688.69,5689.89,5655.38,1.28
69,000020,中型综指,1763.24,1.08,18.83,84195560,239255423285.0,1.15,1780.19,1760.1,1760.1,1744.41,1.04
70,000855,央视500,1635.73,1.07,17.24,263665055,837429272192.0,1.12,1642.62,1624.43,1627.47,1618.49,1.07
71,000141,380动态,4108.04,1.06,43.02,49485944,143577860182.0,1.47,4159.6,4099.73,4103.04,4065.02,1.12
72,000966,基本400,9465.32,1.05,98.23,189267658,411278757783.0,1.49,9547.36,9408.18,9427.79,9367.09,1.11
73,000914,300金融,6100.01,1.05,63.32,51787969,70235787462.3,1.45,6156.96,6069.49,6071.26,6036.69,1.16
74,000699,科创200,1521.91,1.04,15.67,12890518,69914607325.0,1.27,1537.13,1518.02,1519.38,1506.24,1.1
75,000852,中证1000,8003.13,1.03,81.68,259174201,489635337072.7,0.99,8059.76,7981.62,7981.62,7921.45,1.05
76,000984,300等权,4691.47,1.02,47.5,206027853,618518219008.0,1.0,4714.34,4667.85,4672.78,4643.97,1.08
77,000049,上证民企,2037.22,0.99,19.96,32908546,117291347158.0,1.14,2055.95,2032.87,2036.59,2017.26,1.02
78,000062,上证沪企,2061.53,0.99,20.26,20509027,51393588826.0,1.02,2079.59,2058.76,2058.76,2041.27,1.16
79,000064,非周期,3583.94,0.98,34.89,62228934,198717916846.0,0.9,3606.18,3574.28,3575.95,3549.05,0.96
80,000693,科创机械,1580.19,0.97,15.2,3241559,20012235978.0,1.62,1598.18,1572.9,1581.23,1564.99,1.04
81,000911,300可选,5987.52,0.97,57.41,5399396,23719855802.0,1.08,6003.39,5939.14,5947.15,5930.11,1.12
82,000691,科创ESG,1411.95,0.95,13.29,5616360,57763909846.0,1.74,1435.47,1411.1,1414.5,1398.66,1.1
83,000905,中证500,7972.9,0.94,74.27,201060725,429159233888.3,1.48,8070.65,7953.5,7958.81,7898.63,1.13
84,000687,科创高装,1364.19,0.9,12.11,3932269,22615787677.0,1.44,1382.97,1363.55,1365.62,1352.08,1.04
85,000034,上证工业,2307.5,0.9,20.48,39198360,53164074553.0,0.73,2321.25,2304.46,2305.2,2287.02,0.96
86,000018,180金融,5395.06,0.87,46.64,34546489,47893754522.0,1.26,5439.39,5372.19,5375.93,5348.42,1.12
87,000044,上证中盘,4587.93,0.86,39.28,82924949,147604901344.0,0.87,4616.35,4576.8,4580.58,4548.65,1.0
88,000035,上证可选,2597.61,0.86,22.15,8784697,19935442553.0,1.04,2612.29,2585.53,2585.53,2575.46,0.98
89,000030,180R成长,2542.96,0.86,21.69,84457690,221614869330.0,0.84,2559.89,2538.69,2541.92,2521.27,1.04
90,000011,基金指数,6931.23,0.85,58.55,1241353158,334949906593.0,1.02,6972.79,6902.57,6902.57,6872.68,1.23
91,000982,500等权,9545.47,0.84,79.78,201060725,429159233888.3,1.36,9650.99,9522.59,9531.24,9465.69,1.13
92,000153,上民红利,3341.05,0.83,27.65,6050516,6796636653.0,0.88,3359.39,3330.22,3344.77,3313.4,0.85
93,000046,上证中小,5272.28,0.82,42.78,201719147,391293299273.0,1.03,5316.12,5262.29,5269.61,5229.5,1.04
94,000059,全R成长,3364.94,0.82,27.45,160503519,425039978994.0,0.91,3391.69,3361.27,3365.68,3337.49,1.09
95,000005,商业指数,2684.39,0.81,21.7,33137229,38269374019.0,1.13,2702.2,2672.03,2674.12,2662.69,1.17
96,000865,上海国企,1433.89,0.81,11.57,16334376,29825049656.0,0.94,1444.25,1430.9,1431.3,1422.32,1.11
97,000170,50AH优选,6054.14,0.8,47.86,22276216,79858912609.2,0.73,6088.72,6045.06,6045.93,6006.28,0.95
98,000073,可选等权,3143.85,0.8,25.0,8784697,19935442553.0,1.01,3161.19,3129.58,3129.58,3118.85,0.98
99,000978,医药100,10543.37,0.78,81.97,15894556,46480750219.0,1.75,10644.19,10461.02,10480.78,10461.4,0.95
100,000038,上证金融,5348.35,0.78,41.56,27562029,41714739537.0,1.19,5392.86,5329.7,5333.67,5306.79,1.02
101,000045,上证小盘,6059.29,0.77,46.43,118794198,243688397929.0,1.23,6123.14,6049.23,6062.92,6012.86,1.06
102,000091,沪财中小,15657.01,0.75,116.56,31026757,58282817778.0,1.08,15768.37,15600.73,15633.34,15540.45,0.94
103,000028,180成长,3862.28,0.75,28.68,32440244,119678644478.0,0.9,3889.67,3855.28,3864.16,3833.6,1.08
104,000119,380R成长,4579.57,0.74,33.49,64449429,187291372538.0,1.27,4635.63,4577.75,4584.49,4546.08,1.08
105,000860,结构调整,1258.11,0.74,9.2,59091917,101992445741.0,0.8,1263.31,1253.31,1255.22,1248.91,0.98
106,000813,细分化工,4212.91,0.73,30.71,19174505,46301487254.0,1.91,4246.78,4166.74,4194.8,4182.2,1.04
107,000155,市值百强,3169.56,0.73,22.98,87183991,211108591941.0,0.79,3187.02,3162.21,3165.97,3146.58,0.99
108,000104,380能源,1515.8,0.73,10.96,7848422,6581534895.0,2.13,1525.64,1493.53,1494.42,1504.84,0.74
109,000102,沪投资品,8234.77,0.72,59.04,34116147,87640637772.0,1.31,8318.41,8210.93,8256.59,8175.73,1.02
110,000051,180等权,9339.71,0.72,67.22,124783642,268790687110.0,0.79,9399.32,9326.03,9336.67,9272.49,0.99
111,000131,上证高新,3820.93,0.72,27.47,4683771,45227039332.0,1.53,3870.1,3811.94,3818.04,3793.46,1.1
112,000948,内地地产,2253.24,0.72,16.07,4340481,2205427408.0,1.34,2275.16,2245.24,2245.24,2237.17,0.83
113,000857,500医药,10652.02,0.7,74.43,6880454,18418655627.0,1.74,10768.73,10584.86,10602.48,10577.59,1.03
114,000159,沪股通,3705.13,0.69,25.54,458199990,833905630224.0,0.9,3732.48,3699.49,3703.89,3679.59,1.01
115,000047,上证全指,3928.14,0.69,27.08,243577840,512479085039.0,0.89,3955.92,3921.13,3927.33,3901.06,1.02
116,000075,医药等权,6957.35,0.69,47.44,6722302,22483735681.0,1.95,7028.33,6893.49,6921.45,6909.91,0.89
117,000006,地产指数,4067.59,0.69,28.0,6309060,4190583415.8,0.96,4092.04,4053.12,4053.12,4039.59,0.91
118,000010,上证180,9859.43,0.69,67.72,124783642,268790687110.0,0.78,9917.92,9841.82,9855.78,9791.71,0.99
119,000090,上证流通,1464.88,0.68,9.96,531090764,927544704370.0,0.9,1475.77,1462.7,1464.4,1454.92,1.0
120,000980,中证超大,3253.27,0.68,21.89,46230277,161957379923.0,0.84,3264.17,3236.92,3242.52,3231.38,1.11
121,000099,上证F300,9358.31,0.68,62.83,107355526,181443503782.0,1.07,9435.38,9336.01,9358.34,9295.48,1.1
122,000967,基本600,6486.67,0.67,42.86,349425971,674579547501.0,0.96,6519.39,6457.84,6471.25,6443.81,1.05
123,000806,消费服务,8117.12,0.66,53.13,46924206,124862961548.0,0.98,8160.96,8082.04,8096.46,8063.99,1.14
124,000148,消费领先,9087.46,0.66,59.48,41508248,108471543562.0,0.98,9145.97,9057.33,9072.8,9027.98,1.05
125,000106,380工业,6379.72,0.65,41.38,25906796,54289338086.0,1.43,6468.77,6377.88,6395.91,6338.34,1.09
126,000959,银河99,7835.1,0.64,49.61,81275477,348629761519.0,0.83,7864.59,7799.73,7817.6,7785.49,1.22
127,000050,50等权,2301.73,0.64,14.68,41858693,121185785766.0,0.81,2314.62,2296.13,2299.58,2287.05,0.97
128,000802,500沪市,7951.13,0.64,50.65,101553050,174761033461.0,1.27,8045.99,7945.97,7962.66,7900.48,1.08
129,000863,CS精准医,2803.58,0.63,17.5,4812879,22931607481.0,2.68,2849.67,2775.13,2789.21,2786.08,0.86
130,000004,工业指数,3773.85,0.63,23.48,351021816,757124244900.6,0.88,3800.37,3767.25,3773.17,3750.37,1.01
131,000121,医药主题,7856.45,0.63,49.57,5876634,22292771927.0,1.87,7937.95,7792.06,7814.99,7806.88,0.84
132,000117,380成长,4393.25,0.62,27.01,20808943,59737143341.0,1.19,4442.62,4390.52,4402.68,4366.24,1.11
133,000043,超大盘,2529.64,0.62,15.67,18945429,72414824326.0,0.8,2541.13,2520.91,2524.02,2513.97,0.99
134,000076,金融等权,5286.77,0.61,31.87,26946673,41610909771.0,1.16,5335.53,5274.51,5278.2,5254.9,1.03
135,000009,上证380,6952.92,0.6,41.29,103565325,218386652038.0,1.2,7030.88,6948.12,6963.14,6911.63,1.01
136,000115,380等权,9091.78,0.59,53.23,103565325,218386652038.0,1.03,9174.12,9080.85,9095.11,9038.55,1.01
137,000808,医药生物,8318.57,0.58,48.24,15784080,45537734644.0,1.68,8408.4,8269.16,8287.36,8270.33,0.96
138,000060,全R价值,4403.79,0.57,24.89,212004632,365112519403.0,0.88,4431.13,4392.71,4400.93,4378.9,1.01
139,000927,央企100,1994.1,0.57,11.32,84124389,130822965876.0,0.65,2002.98,1990.09,1991.97,1982.78,0.95
140,000867,港中小企,2690.49,0.57,15.33,20585556,20231491439.5,0.98,2715.54,2689.26,2692.07,2675.16,0.69
141,000113,380公用,3207.67,0.56,17.95,14621525,6730526674.0,1.05,3227.75,3194.21,3222.22,3189.72,0.8
142,000150,380红利,12160.59,0.55,66.02,6791851,7908820183.0,1.03,12225.98,12101.1,12160.8,12094.57,0.88
143,000057,全指成长,3844.56,0.55,21.18,49326366,178464834511.0,0.86,3874.08,3841.29,3851.56,3823.38,1.1
144,000991,全指医药,8769.03,0.55,48.34,17161604,49392112159.4,1.67,8862.0,8716.55,8737.83,8720.69,0.93
145,000933,中证医药,8142.34,0.53,42.73,11026817,36652804873.4,1.63,8227.88,8095.47,8116.59,8099.61,0.98
146,000888,上证综合全收益,4572.53,0.52,23.56,539458291,945156493697.6,0.79,4600.41,4564.61,4571.09,4548.97,1.0
