序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
22,603459,C红板,55.45,10.3,5.18,491961.0,2649368789.0,12.45,57.76,51.5,52.0,50.27,0.89,62.23,77.42,15.64,41795636455.0,4383425526.0,-0.77,-0.81,213.28,213.28
23,301517,陕西华达,65.38,10.27,6.09,167470.0,1060312317.49,17.27,68.75,58.51,59.39,59.29,3.38,17.06,-518.39,7.38,9887899904.0,6417509890.0,-0.26,0.23,-6.51,-5.9
24,301667,纳百川,90.31,10.24,8.39,82330.0,718102827.47,12.37,92.15,82.02,82.8,81.92,2.02,36.6,129.76,10.99,10084881576.0,2031474592.0,-0.76,-1.73,21.42,12.54
25,300458,全志科技,38.44,10.21,3.56,672136.0,2647752338.94,6.79,40.5,38.13,39.51,34.88,4.79,10.19,121.04,10.19,31729428564.0,25367329759.0,-0.26,-0.39,-13.93,-8.54
26,600103,青山纸业,3.91,10.14,0.36,914713.0,357652728.0,0.0,3.91,3.91,3.91,3.55,1.42,4.13,101.11,2.2,8761632581.0,8650206574.0,0.0,0.0,-6.68,-6.68
27,000889,中嘉博创,4.35,10.13,0.4,1787970.0,774583412.01,6.33,4.35,4.1,4.35,3.95,4.42,20.55,-104.12,57.38,4072866355.0,3783846091.0,0.0,0.0,22.88,20.83
28,300050,世纪鼎利,7.84,10.11,0.72,1220246.0,946827985.77,14.19,8.09,7.08,7.08,7.12,2.94,22.41,275.6,10.43,4271598269.0,4268994064.0,0.13,-0.13,41.26,41.77
29,002263,大东南,4.9,10.11,0.45,4205335.0,2019445829.28,13.26,4.9,4.31,4.31,4.45,0.82,22.39,572.46,3.33,9203964490.0,9203890990.0,0.0,0.0,44.12,47.15
30,002418,康盛股份,5.69,10.06,0.52,1421214.0,795632981.87,11.22,5.69,5.11,5.16,5.17,1.74,12.51,350.59,4.49,6466116000.0,6466100853.0,0.0,0.0,10.7,19.29
31,603889,新澳股份,8.75,10.06,0.8,288110.0,250143359.0,4.53,8.75,8.39,8.74,7.95,4.46,3.98,13.31,1.73,6388877626.0,6341309126.0,0.0,0.0,13.05,10.06
32,600983,惠而浦,11.17,10.05,1.02,75573.0,83954548.0,4.83,11.17,10.68,10.68,10.15,1.83,0.99,16.47,2.88,8561123630.0,8561123630.0,0.0,0.0,10.16,16.84
33,600707,彩虹股份,7.02,10.03,0.64,922597.0,646002921.0,2.19,7.02,6.88,7.02,6.38,3.97,2.57,49.8,1.16,25190495919.0,25185441519.0,0.0,0.0,0.86,8.17
34,002363,隆基机械,8.67,10.03,0.79,290401.0,244062645.96,9.39,8.67,7.93,8.01,7.88,5.27,6.98,65.38,1.7,3614482260.0,3604623308.0,0.0,0.0,-10.8,-14.16
35,002580,圣阳股份,18.98,10.03,1.73,1879047.0,3463122580.57,12.41,18.98,16.84,17.25,17.25,1.69,41.54,40.34,3.7,8614433487.0,8585390424.0,0.0,0.0,48.51,52.57
36,603093,南华期货,19.31,10.03,1.76,108085.0,202644475.0,9.17,19.31,17.7,17.71,17.55,0.93,1.77,28.5,2.48,13859267684.0,11780372394.0,0.0,0.0,-3.45,-0.92
37,002962,五方光电,16.91,10.02,1.54,357640.0,591080079.22,5.86,16.91,16.01,16.29,15.37,5.74,17.1,101.87,2.79,4932061102.0,3537301525.0,0.0,0.0,15.27,14.1
38,001269,欧晶科技,23.18,10.01,2.11,44826.0,103861168.12,2.9,23.18,22.57,23.18,21.07,1.76,2.33,-38.37,5.11,4460109905.0,4460109905.0,0.0,0.0,-1.4,-3.74
39,002074,国轩高科,38.81,10.01,3.53,1046863.0,4028001451.3,8.87,38.81,35.68,35.7,35.28,3.73,6.03,20.84,2.47,70405756733.0,67381626035.0,0.0,0.0,-5.64,-0.77
40,003036,泰坦股份,26.48,10.01,2.41,89397.0,227756914.96,10.26,26.48,24.01,24.29,24.07,0.85,4.13,101.98,4.14,5727201273.0,5727054309.0,0.0,0.0,65.29,71.06
41,603272,联翔股份,37.02,10.01,3.37,45420.0,165064569.0,8.68,37.02,34.1,34.1,33.65,0.7,4.38,1311.28,6.87,3836271540.0,3836271540.0,0.0,0.0,90.82,84.09
42,601999,出版传媒,8.46,10.01,0.77,214219.0,174383209.0,10.27,8.46,7.67,7.7,7.69,1.49,3.89,44.38,1.74,4660738362.0,4660738362.0,0.0,0.0,21.38,23.14
43,002328,新朋股份,10.11,10.01,0.92,719119.0,717846158.47,4.9,10.11,9.66,9.78,9.19,0.87,12.6,41.3,2.35,7802594700.0,5770706069.0,0.0,0.0,44.02,52.95
44,002824,和胜股份,25.27,10.01,2.3,276860.0,695717048.56,4.14,25.27,24.32,24.77,22.97,1.84,12.58,58.81,3.48,7863489236.0,5559428808.0,0.0,0.0,32.51,30.26
45,605060,联德股份,59.03,10.01,5.37,70172.0,403506342.0,8.31,59.03,54.57,55.7,53.66,1.19,2.94,62.37,5.75,14202145760.0,14104651812.0,0.0,0.0,66.0,59.71
46,002988,豪美新材,35.38,10.01,3.22,99170.0,342446533.95,11.13,35.38,31.8,32.44,32.16,3.07,3.97,46.3,3.3,8836941427.0,8836941427.0,0.0,0.0,-9.47,-3.86
47,600482,中国动力,40.44,10.01,3.68,442425.0,1786801358.0,2.56,40.44,39.5,39.5,36.76,1.03,1.95,56.97,2.27,91727883122.0,91727883122.0,0.0,0.0,77.91,95.36
48,605255,天普股份,105.31,10.0,9.57,24421.0,247730754.0,10.0,105.31,95.74,96.19,95.74,1.7,1.82,593.25,17.5,14119964800.0,14119964800.0,0.0,0.0,-51.7,-51.7
49,603950,长源东谷,49.37,10.0,4.49,64693.0,319391612.0,0.0,49.37,49.37,49.37,44.88,1.07,2.0,41.14,5.31,16002337596.0,15976467716.0,0.0,0.0,74.88,70.54
50,605006,山东玻纤,10.12,10.0,0.92,485768.0,481430246.0,10.87,10.12,9.12,9.16,9.2,1.2,8.1,-452.09,2.48,6072489545.0,6072489545.0,0.0,0.0,39.78,38.63
51,605117,德业股份,139.6,10.0,12.69,127299.0,1770039600.0,3.03,139.6,135.76,136.0,126.91,0.97,1.4,40.04,12.3,126942822863.0,126942822863.0,0.0,0.0,58.2,61.95
52,600537,亿晶光电,4.07,10.0,0.37,2097743.0,834169983.0,10.0,4.07,3.7,3.73,3.7,1.79,17.72,-16.9,21.43,4817720123.0,4817720123.0,0.0,0.0,-5.57,-2.16
53,002733,雄韬股份,30.25,10.0,2.75,425382.0,1235681688.87,11.05,30.25,27.21,27.5,27.5,1.77,11.53,81.94,4.23,11622501118.0,11158098460.0,0.0,0.0,47.2,54.1
54,601010,文峰股份,2.42,10.0,0.22,1111306.0,264418502.0,9.55,2.42,2.21,2.21,2.2,5.27,6.01,197.37,1.04,4472160000.0,4472160000.0,0.0,0.0,-11.36,-11.36
55,603933,睿能科技,24.53,10.0,2.23,160702.0,391979063.0,4.17,24.53,23.6,24.53,22.3,4.09,7.74,93.71,3.86,5091068425.0,5091068425.0,0.0,0.0,1.36,-5.87
56,600713,南京医药,6.05,10.0,0.55,1065868.0,629627922.0,10.0,6.05,5.5,5.5,5.5,2.07,8.26,14.77,1.14,7918802335.0,7803307981.0,0.0,0.0,10.0,10.81
57,603200,上海洗霸,61.71,10.0,5.61,85425.0,513714815.0,9.32,61.71,56.48,56.6,56.1,1.87,4.87,67.99,9.98,10828877156.0,10828877156.0,0.0,0.0,-20.47,-13.26
58,001309,德明利,447.24,10.0,40.66,231413.0,10152358259.51,5.96,447.24,423.0,428.0,406.58,1.4,14.38,147.39,31.03,101454452084.0,71950152722.0,0.0,0.0,79.18,93.2
59,600345,长江通信,54.36,10.0,4.94,258227.0,1396999952.0,3.72,54.36,52.52,53.28,49.42,1.22,12.21,807.79,5.09,17917715496.0,11500363385.0,0.0,0.0,53.95,56.84
60,000762,西藏矿业,33.88,10.0,3.08,824578.0,2728415418.33,10.94,33.88,30.51,30.8,30.8,1.83,15.83,-584.07,6.04,17645355851.0,17644724938.0,0.0,0.0,20.57,28.97
61,001211,双枪科技,30.68,10.0,2.79,111352.0,334582468.62,10.0,30.68,27.89,28.1,27.89,3.59,16.62,196.33,2.56,2208960000.0,2055454921.0,0.0,0.0,14.91,16.04
62,603026,石大胜华,85.16,10.0,7.74,274770.0,2289894560.0,9.55,85.16,77.77,78.11,77.42,1.58,11.81,1246.46,4.04,19816818352.0,19816818352.0,0.0,0.0,11.92,13.84
63,600105,永鼎股份,38.1,9.99,3.46,2326168.0,8404829837.0,11.89,38.1,33.98,34.65,34.64,1.38,15.91,126.94,16.88,55702001956.0,55702001956.0,0.0,0.0,39.61,51.79
64,603773,沃格光电,43.14,9.99,3.92,309823.0,1299774573.0,8.82,43.14,39.68,40.5,39.22,2.82,13.79,-108.62,8.31,9695138348.0,9691773428.0,0.0,0.0,24.18,21.93
65,002364,中恒电气,35.12,9.99,3.19,33307.0,116972428.0,0.0,35.12,35.12,35.12,31.93,0.12,0.6,204.54,8.18,19792401395.0,19600604051.0,0.0,0.0,20.69,32.83
66,000670,盈方微,8.15,9.99,0.74,790030.0,639278190.7,9.04,8.15,7.48,7.48,7.41,1.17,9.61,-83.6,152.28,6884510828.0,6698182268.0,0.0,0.0,5.43,10.43
67,000534,万泽股份,45.68,9.99,4.15,220533.0,988536771.3,6.26,45.68,43.08,44.0,41.53,1.09,4.41,102.73,14.86,23276176211.0,22838648603.0,0.0,0.0,118.56,107.64
68,600156,华升股份,8.15,9.99,0.74,175463.0,139764568.0,9.58,8.15,7.44,7.48,7.41,2.31,4.36,-93.06,8.74,3277202221.0,3277202221.0,0.0,0.0,-0.24,-1.33
69,600480,凌云股份,10.79,9.99,0.98,633199.0,661361452.0,9.28,10.79,9.88,9.9,9.81,4.39,5.22,16.81,1.69,13188448967.0,13087139381.0,0.0,0.0,-10.68,-12.21
70,603088,宁波精达,13.44,9.98,1.22,465123.0,612745977.0,9.41,13.44,12.29,12.29,12.22,2.9,10.62,56.21,5.92,6752094263.0,5884997530.0,0.0,0.0,25.96,30.11
71,001299,美能能源,15.32,9.98,1.39,141139.0,208925996.1,10.7,15.32,13.83,13.9,13.93,2.73,6.46,36.27,3.06,3717223444.0,3345886759.0,0.0,0.0,19.87,4.15
72,603777,来伊份,16.97,9.98,1.54,396767.0,665817660.0,6.29,16.97,16.0,16.67,15.43,4.24,11.86,-33.96,3.58,5675178097.0,5675178097.0,0.0,0.0,24.41,23.6
73,002787,华源控股,13.78,9.98,1.25,391640.0,533979571.25,9.9,13.78,12.54,12.54,12.53,5.4,15.61,40.7,2.5,4618733534.0,3456852371.0,0.0,0.0,10.51,10.68
74,002950,奥美医疗,13.56,9.98,1.23,276442.0,370909645.29,9.81,13.56,12.35,12.35,12.33,1.56,6.12,18.46,2.3,8587078919.0,6129055034.0,0.0,0.0,21.07,24.18
75,000659,珠海中富,4.3,9.97,0.39,660414.0,273313946.2,10.74,4.3,3.88,3.91,3.91,1.04,5.14,-77.33,32.52,5528520836.0,5528520836.0,0.0,0.0,6.17,5.91
76,002177,御银股份,8.16,9.97,0.74,1504210.0,1193617043.07,9.97,8.16,7.42,7.47,7.42,2.28,22.29,398.46,3.64,6211320959.0,5507338738.0,0.0,0.0,-8.31,-13.28
77,000626,远大控股,8.61,9.96,0.78,96581.0,83156241.0,0.0,8.61,8.61,8.61,7.83,0.89,1.92,101.66,1.84,4362057299.0,4336999246.0,0.0,0.0,8.85,8.58
78,605069,正和生态,12.36,9.96,1.12,68567.0,81800550.0,9.25,12.36,11.32,11.46,11.24,2.21,3.24,-92.47,3.07,2616584536.0,2616584536.0,0.0,0.0,-18.84,-15.92
79,600876,凯盛新能,9.94,9.96,0.9,97075.0,94101232.0,9.18,9.94,9.11,9.11,9.04,1.4,2.45,-7.02,2.07,6418009132.0,3933009132.0,0.0,0.0,0.2,0.81
80,600743,华远控股,2.65,9.96,0.24,1633506.0,430078398.0,5.39,2.65,2.52,2.59,2.41,2.03,6.96,-127.75,9.82,6217167316.0,6217167316.0,0.0,0.0,33.17,32.5
81,603101,汇嘉时代,8.83,9.96,0.8,211880.0,181198417.0,9.71,8.83,8.05,8.05,8.03,5.76,4.5,38.74,2.93,4153632000.0,4153632000.0,0.0,0.0,-12.14,-7.64
82,300390,天华新能,68.14,9.9,6.14,1029455.0,6916348054.38,15.11,71.18,61.81,62.37,62.0,2.13,15.31,140.75,4.99,56607358694.0,45808312969.0,0.21,0.21,24.0,24.78
83,000402,金 融 街,2.78,9.88,0.25,628092.0,173469431.98,5.93,2.78,2.63,2.63,2.53,5.33,2.1,-4.62,0.35,8309225141.0,8308494738.0,0.0,0.0,-1.07,1.09
84,688275,万润新能,124.9,9.83,11.18,85230.0,1025787138.0,11.34,125.79,112.89,114.7,113.72,1.74,6.76,-35.34,3.01,15752196029.0,15752196029.0,0.18,0.43,66.62,65.65
85,301372,科净源,31.03,9.72,2.75,52664.0,160236379.73,13.05,31.99,28.3,28.49,28.28,3.16,12.79,99.92,2.7,2127771473.0,1277518908.0,-0.35,0.19,22.26,22.36
86,301393,昊帆生物,54.4,9.66,4.79,63011.0,338924978.09,14.37,56.64,49.51,49.76,49.61,2.76,14.97,44.4,2.5,5875200000.0,2290499760.0,0.17,0.18,3.72,7.32
87,920779,武汉蓝电,35.22,9.48,3.05,35256.0,125276170.17,17.16,37.8,32.28,32.28,32.17,3.31,17.6,44.9,5.75,2820231638.0,705569374.0,-0.42,-0.79,-2.46,4.08
88,300905,宝丽迪,34.89,9.44,3.01,95290.0,329137307.71,8.75,35.5,32.71,32.81,31.88,4.22,6.82,44.14,3.23,6245857633.0,4872257000.0,0.09,0.0,2.5,8.25
89,301391,卡莱特,77.05,9.29,6.55,33801.0,255626200.15,9.87,77.95,70.99,71.0,70.5,3.09,3.64,410.22,3.53,7320891188.0,7152984521.0,-0.12,-0.18,-10.18,-9.19
90,300881,盛德鑫泰,47.8,9.23,4.04,57305.0,269196487.81,14.03,49.9,43.76,43.76,43.76,4.3,9.98,26.0,4.81,5258000000.0,2744018750.0,-0.5,-1.04,35.72,41.17
91,688498,源杰科技,1232.1,9.21,103.92,38086.0,4559500946.0,12.89,1268.0,1122.63,1129.0,1128.18,1.38,4.49,554.65,45.4,105896193205.0,104529639060.0,-0.04,0.34,75.84,91.92
92,300145,南方泵业,4.94,9.05,0.41,2344067.0,1160004113.15,16.56,5.28,4.53,4.55,4.53,4.07,12.27,25.04,3.23,9485995658.0,9439493768.0,0.2,0.41,4.66,4.66
93,002384,东山精密,143.6,8.87,11.7,1430037.0,19815100196.19,9.72,145.09,132.27,132.3,131.9,2.68,10.32,197.89,12.39,263018841595.0,199075799423.0,-0.32,-0.35,78.16,69.64
94,603538,美诺华,49.53,8.86,4.03,880471.0,4189184030.0,12.18,50.05,44.51,47.46,45.5,1.22,40.72,85.38,4.86,10920763111.0,10710048623.0,0.18,0.55,141.85,157.43
95,688279,峰岹科技,170.39,8.78,13.75,25004.0,421318750.0,11.17,175.5,158.0,158.85,156.64,2.16,2.67,89.59,3.86,19614288091.0,15941361251.0,-0.09,-0.68,-11.6,-16.27
96,688625,呈和科技,64.38,8.75,5.18,61914.0,393397123.0,10.59,65.48,59.21,60.0,59.2,1.86,3.29,43.05,8.0,12124102825.0,12124102825.0,-0.29,0.12,23.9,56.26
97,603800,洪田股份,43.6,8.67,3.48,120678.0,521229564.0,10.27,44.13,40.01,40.01,40.12,3.71,5.8,108.92,10.52,9068800000.0,9068800000.0,-0.02,-0.07,-12.96,-10.6
98,688175,高凌信息,35.71,8.64,2.84,52112.0,181569253.0,10.34,36.05,32.65,32.89,32.87,1.99,4.03,-113.63,2.67,4617910070.0,4617910070.0,-0.14,0.0,24.86,10.87
99,300853,申昊科技,20.31,8.61,1.61,56351.0,112241920.2,9.41,20.46,18.7,18.7,18.7,2.23,5.73,-17.36,4.89,2984535043.0,1996757726.0,0.0,0.05,-2.64,-1.98
100,301310,鑫宏业,47.11,8.6,3.73,63858.0,287604785.93,10.07,47.49,43.12,43.38,43.38,1.7,12.71,51.34,2.82,6433079668.0,2367002378.0,0.11,-0.02,10.98,9.69
101,003019,宸展光电,34.75,8.59,2.75,219996.0,756803135.94,8.88,34.95,32.11,32.11,32.0,7.96,12.87,31.64,3.6,6143040157.0,5937763219.0,-0.03,-0.11,3.58,3.79
102,600864,哈投股份,7.04,8.31,0.54,2495012.0,1759149465.0,8.77,7.15,6.58,6.59,6.5,4.83,11.99,20.18,1.11,14647216461.0,14647216461.0,0.14,0.14,3.07,6.18
103,300068,南都电源,12.47,8.25,0.95,1218455.0,1540291783.03,15.97,13.42,11.58,11.66,11.52,2.57,14.28,-38.14,2.91,11202640219.0,10639151283.0,0.0,0.0,-23.64,-19.76
104,300904,威力传动,60.99,8.18,4.61,24291.0,145238227.56,9.1,61.6,56.47,56.47,56.38,2.52,11.13,-57.19,6.7,4414653320.0,1330716292.0,0.28,0.36,-3.94,-2.59
105,300432,富临精工,25.81,8.04,1.92,1024067.0,2604928354.15,10.0,26.3,23.91,23.91,23.89,1.63,6.06,101.82,9.62,44128911846.0,43633242385.0,0.31,0.23,43.55,54.55
106,001228,永泰运,34.15,7.97,2.52,40615.0,135901187.86,7.87,34.28,31.79,31.79,31.63,3.49,5.09,27.85,2.07,3546976397.0,2727376397.0,0.06,0.32,29.45,30.14
107,688686,奥普特,101.76,7.96,7.5,20009.0,199811110.0,7.49,103.18,96.12,96.12,94.26,1.92,1.64,66.81,4.06,12438679901.0,12438679901.0,0.11,-0.1,-18.91,-18.02
108,603045,福达合金,34.14,7.9,2.5,85985.0,294629054.0,9.26,34.8,31.87,31.95,31.64,1.75,6.35,62.48,4.54,4624097592.0,4624097592.0,-0.61,0.06,70.36,73.74
109,920627,力王股份,20.51,7.78,1.48,44479.0,92357222.59,12.19,21.45,19.13,19.27,19.03,4.88,9.5,74.16,4.19,1937169500.0,960226925.0,-0.29,-0.19,-15.25,-3.66
110,920225,利通科技,27.05,7.73,1.94,50445.0,135355810.23,13.26,28.3,24.97,24.97,25.11,1.52,6.09,41.25,4.69,3433156083.0,2239257266.0,-0.33,-0.33,-29.61,-15.6
111,688293,奥浦迈,51.93,7.65,3.69,31297.0,161402341.0,10.61,53.27,48.15,48.15,48.24,1.95,2.75,161.94,2.81,6752770830.0,5910680597.0,-0.08,-0.06,0.82,5.98
112,688398,赛特新材,26.11,7.63,1.85,40428.0,102972106.0,10.59,26.76,24.19,24.24,24.26,2.93,2.41,175.6,3.82,4381628893.0,4381628893.0,0.42,1.36,49.11,53.59
113,002916,深南电路,261.5,7.61,18.5,226778.0,5900747887.37,9.18,267.3,245.0,245.0,243.0,1.95,3.41,54.38,10.17,178125064593.0,173847671175.0,-0.38,-0.29,7.04,12.57
114,600929,雪天盐业,6.65,7.61,0.47,622595.0,404874473.0,10.19,6.77,6.14,6.2,6.18,3.52,3.8,250.7,1.45,10906753152.0,10906753152.0,0.0,0.0,18.33,17.7
115,688758,赛分科技,20.75,7.57,1.46,109976.0,227498273.0,10.01,21.48,19.55,19.6,19.29,3.48,3.69,68.37,6.38,8641629743.0,6187311194.0,0.24,0.05,11.86,17.03
116,001283,豪鹏科技,69.54,7.48,4.84,111281.0,779750480.24,7.96,71.17,66.02,66.02,64.7,2.37,13.96,34.22,1.98,6950040879.0,5545030380.0,0.03,0.03,-2.41,-0.66
117,688022,瀚川智能,16.76,7.44,1.16,98141.0,161921870.0,8.01,17.05,15.8,16.11,15.6,2.33,5.58,83.29,4.32,2947720710.0,2947720710.0,0.36,0.36,7.09,9.54
118,600166,福田汽车,3.33,7.42,0.23,5329612.0,1783299351.0,9.35,3.41,3.12,3.12,3.1,4.29,6.73,17.77,1.72,26364943222.0,26364943222.0,-0.3,0.0,14.04,14.04
119,688234,天岳先进,96.98,7.42,6.7,192504.0,1831581945.0,15.23,102.4,88.65,91.29,90.28,1.95,4.48,-225.61,6.55,46998306397.0,41673377047.0,-0.02,-0.03,3.12,9.11
120,920171,志晟信息,21.9,7.35,1.5,131332.0,302434302.22,25.49,25.55,20.35,20.4,20.4,2.6,19.42,458.35,10.05,2195107847.0,1481140362.0,-0.23,0.0,-7.52,-6.41
121,600030,中信证券,25.92,7.33,1.77,4216339.0,10925543733.0,6.17,26.5,25.01,25.01,24.15,4.52,3.46,9.4,1.32,384148573808.0,315616201246.0,0.0,0.0,-11.26,-8.8
122,300438,鹏辉能源,57.29,7.3,3.9,519940.0,2972247123.45,7.3,58.89,54.99,55.0,53.39,1.63,12.86,188.8,5.53,28836541094.0,23154569195.0,-0.02,0.19,9.23,7.65
123,000967,盈峰环境,10.19,7.26,0.69,2204439.0,2266730795.37,9.79,10.45,9.52,9.7,9.5,2.28,6.96,51.35,1.89,32271164200.0,32255681066.0,-0.29,-0.1,40.75,38.83
124,600749,西藏旅游,17.0,7.26,1.15,289675.0,495597789.0,9.97,17.44,15.86,15.86,15.85,6.7,12.76,88.88,3.59,3858413789.0,3858413789.0,0.06,0.06,-1.11,-0.47
125,603798,康普顿,16.54,7.19,1.11,164853.0,268571463.0,7.97,16.66,15.43,15.53,15.43,1.8,6.43,58.1,3.67,4241677211.0,4241677211.0,-0.12,-0.36,0.36,0.18
126,688183,生益电子,95.35,7.15,6.36,322569.0,3084498546.0,6.17,98.48,92.99,92.99,88.99,2.0,3.88,53.84,13.66,79314149036.0,79314149036.0,-0.2,-0.27,-4.22,-0.36
127,300773,拉卡拉,25.57,7.12,1.7,955291.0,2416455088.81,11.19,26.68,24.01,24.09,23.87,1.93,13.0,43.94,5.61,19859322567.0,18782644276.0,0.2,0.27,-2.92,-10.22
128,600499,科达制造,18.25,7.1,1.21,595487.0,1079830590.0,4.99,18.45,17.6,17.96,17.04,2.56,3.1,26.74,2.78,35000879136.0,35000879136.0,0.11,-0.16,25.6,31.58
129,920799,艾融软件,37.02,7.09,2.45,79647.0,291583757.95,8.91,37.96,34.88,34.9,34.57,1.97,6.6,118.95,18.7,7766057451.0,4468483218.0,-0.13,-0.16,-23.42,-22.47
130,300668,杰恩设计,51.26,6.95,3.33,91135.0,454418923.95,14.15,54.0,47.22,48.88,47.93,1.11,9.14,261.84,7.87,6170744054.0,5110307366.0,2.25,2.11,67.52,75.67
131,300522,世名科技,13.02,6.9,0.84,181979.0,234133079.88,8.78,13.29,12.22,12.39,12.18,2.48,6.92,205.69,5.32,4198318621.0,3425635185.0,-0.08,0.08,0.62,3.5
132,300191,潜能恒信,41.4,6.76,2.62,226992.0,915998227.62,13.13,42.88,37.79,37.93,38.78,1.13,10.26,-546.27,12.47,13248000000.0,9157473000.0,0.0,-0.05,115.96,124.03
133,002083,孚日股份,12.81,6.75,0.81,903892.0,1146417835.97,8.17,13.08,12.1,12.1,12.0,1.69,9.55,28.3,2.58,12126445744.0,12126445744.0,0.0,-0.08,-8.76,7.65
134,300813,泰林生物,29.11,6.71,1.83,69794.0,201502326.92,8.8,29.68,27.28,27.28,27.28,1.29,9.18,214.01,4.39,3528109265.0,2213846735.0,0.07,0.03,13.84,18.48
135,002517,恺英网络,20.19,6.66,1.26,1057428.0,2119917155.88,7.87,20.54,19.05,19.21,18.93,2.25,5.6,20.43,4.22,43134788894.0,38140659928.0,0.1,0.1,-16.71,-7.68
