symbol,code,name,change_date,total_shares
sh600236,600236,桂冠电力,2025-06-30,7882377802.0
sh600237,600237,铜峰电子,2026-01-19,630704155.0
sh600239,600239,云南城投,2025-06-30,1605686908.9999998
sh600241,600241,时代万恒,2025-06-30,294302115.0
sh600246,600246,万通发展,2026-01-30,1942987476.0
sh600248,600248,陕建股份,2025-06-30,3739735286.0
sh600249,600249,两面针,2025-12-31,550000000.0
sh600250,600250,南京商旅,2026-02-13,312791404.0
sh600251,600251,冠农股份,2025-06-30,776993583.0000001
sh600252,600252,中恒集团,2025-12-24,3184163069.9999995
sh600255,600255,鑫科材料,2025-06-30,1806146955.0
sh600256,600256,广汇能源,2025-07-22,6392002964.0
sh600257,600257,大湖股份,2025-06-30,481237188.0
sh600258,600258,首旅酒店,2025-06-30,1116603126.0
sh600259,600259,中稀有色,2025-12-31,336435910.0
sh600261,600261,阳光照明,2025-06-30,1335052966.0
sh600262,600262,北方股份,2025-06-30,170000000.0
sh600266,600266,城建发展,2025-06-30,2075743507.0
sh600267,600267,海正药业,2026-03-16,1198848196.0
sh600268,600268,国电南自,2025-12-31,1015870778.0
sh600269,600269,赣粤高速,2025-06-30,2335407014.0
sh600271,600271,航天信息,2025-06-30,1852884638.0
sh600272,600272,开开实业,2025-12-31,262651945.0
sh600273,600273,嘉化能源,2025-06-30,1356879522.0
sh600276,600276,恒瑞医药,2025-12-31,6637199874.0
sh600278,600278,东方创业,2025-10-24,871915557.0
sh600279,600279,重庆港,2025-06-30,1186866283.0
sh600280,600280,中央商场,2025-06-30,1128334788.0
sh600281,600281,华阳新材,2025-06-30,514402025.0
sh600282,600282,南钢股份,2025-12-31,6165091011.0
sh600283,600283,钱江水利,2025-06-30,560824898.0
sh600284,600284,浦东建设,2025-06-30,970256000.0
sh600285,600285,羚锐制药,2025-06-30,567115486.0
sh600287,600287,苏豪时尚,2026-01-06,436796074.0
sh600288,600288,大恒科技,2025-06-30,436800000.0
sh600292,600292,电投水电,2025-11-12,4380206201.0
sh600293,600293,三峡新材,2025-06-30,1160145046.0
sh600295,600295,鄂尔多斯,2025-06-30,2798776254.0
sh600298,600298,安琪酵母,2026-03-24,867928671.0
sh600299,600299,安迪苏,2025-12-31,3079779257.0
sh600300,600300,维维股份,2025-06-30,1617142180.0
sh600301,600301,华锡有色,2025-06-30,632567479.0
sh600302,600302,标准股份,2025-06-30,346009804.0
sh600303,600303,曙光股份,2025-06-30,683604211.0000001
sh600305,600305,恒顺醋业,2025-06-30,1106471528.0
sh600307,600307,酒钢宏兴,2025-07-17,6263357424.0
sh600308,600308,华泰股份,2025-06-30,1516870176.0
sh600309,600309,万华化学,2025-07-14,3130471626.0
sh600310,600310,广西能源,2025-12-31,1465710722.0
sh600312,600312,平高电气,2025-06-30,1356921309.0
sh600313,600313,农发种业,2026-01-29,1161373969.0
sh600315,600315,上海家化,2025-12-31,672225980.0
sh600316,600316,洪都航空,2025-12-31,717114512.0
sh600318,600318,新力金融,2025-12-31,512727632.0
sh600319,600319,亚星化学,2025-08-25,387709384.0
sh600320,600320,振华重工,2025-06-30,5268353501.0
sh600322,600322,津投城开,2025-06-30,1105700000.0
