candidate,version,target_vol,vol_window,max_leverage,scale_threshold,financing_rate,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,final_nav,holding_days,holding_day_ratio,avg_execution_scale,max_execution_scale,cap_clipped_days,cap_clipped_ratio,avg_target_vol_turnover,cost_total,cost_days
v2_0_tv15,v2.0,0.15,60,1.5,0.1,0.03,last_3y,2023-05-22,2026-05-20,714,0.23375201557854153,0.12921521237429975,1.8090131284343547,-0.1207993487049146,1.876059167035476,538,0.7535014005602241,0.63223770481318,1.3439703757003025,0,0.0,0.005408585330546503,0.2501897962282206,265
v2_0_tv15,v2.0,0.15,60,1.5,0.1,0.03,last_1y,2025-05-20,2026-05-20,232,0.08446191573986717,0.11540177052336441,0.7318944532377594,-0.0980882581563558,1.0844017309362155,149,0.6422413793103449,0.5185296455103912,1.127804176481935,0,0.0,0.002945904379817158,0.09410271913747839,56
v2_0_tv18,v2.0,0.18,60,1.5,0.1,0.03,full,2010-05-05,2026-05-20,3884,0.3189527242855428,0.13578128338718712,2.349018335436064,-0.17944351121831914,84.84088952598397,2908,0.748712667353244,0.9864781702826154,1.5,2142,0.5514933058702368,0.003338812886017453,1.7484621584682265,2562
v2_0_tv18,v2.0,0.18,60,1.5,0.1,0.03,last_10y,2016-05-20,2026-05-20,2416,0.27361865094538684,0.14562410981429688,1.8789378441132547,-0.15047113904175724,11.226653315312701,1780,0.7367549668874173,0.9143150238999256,1.5,893,0.36961920529801323,0.0040532565757843576,1.0427429343172299,1443
v2_0_tv18,v2.0,0.18,60,1.5,0.1,0.03,last_5y,2021-05-20,2026-05-20,1200,0.25122162523645364,0.15995267451435566,1.5705997164424197,-0.1446144460564046,3.0662290044032487,889,0.7408333333333333,0.7890601399998246,1.5,77,0.06416666666666666,0.006030226995367732,0.513405156660502,553
v2_0_tv18,v2.0,0.18,60,1.5,0.1,0.03,last_3y,2023-05-22,2026-05-20,714,0.27902715308197257,0.15398702206505932,1.8120173332794496,-0.14461444605640417,2.089908184617303,538,0.7535014005602241,0.7528082697144706,1.5,40,0.056022408963585436,0.006500213514951308,0.2768920161565924,270
v2_0_tv18,v2.0,0.18,60,1.5,0.1,0.03,last_1y,2025-05-20,2026-05-20,232,0.09803050997531959,0.13844700934475043,0.7080724274166972,-0.11712921093081463,1.097960227652851,149,0.6422413793103449,0.6222730514207349,1.353365011778322,0,0.0,0.0035350852557805884,0.10321980254458668,60
v2_0_tv20,v2.0,0.2,60,1.5,0.1,0.03,full,2010-05-05,2026-05-20,3884,0.331259037510929,0.14277575909789486,2.3201350117410318,-0.17944351121831914,98.47008004572481,2908,0.748712667353244,1.0178727044915146,1.5,2432,0.6261585993820803,0.0022435482041903293,1.7902274798604263,2692
v2_0_tv20,v2.0,0.2,60,1.5,0.1,0.03,last_10y,2016-05-20,2026-05-20,2416,0.2863276342406744,0.15504940701201803,1.8466864192423573,-0.16644021325296576,12.39841882342119,1780,0.7367549668874173,0.9594927374052606,1.5,1130,0.46771523178807944,0.002634400102365946,1.0830352445319225,1566
v2_0_tv20,v2.0,0.2,60,1.5,0.1,0.03,last_5y,2021-05-20,2026-05-20,1200,0.2720271469833335,0.17295118006963361,1.5728551078622877,-0.1448892841585777,3.3297404016300374,889,0.7408333333333333,0.8513945254398697,1.5,193,0.16083333333333333,0.0042497106898002875,0.5408704993457678,676
v2_0_tv20,v2.0,0.2,60,1.5,0.1,0.03,last_3y,2023-05-22,2026-05-20,714,0.3012253711506607,0.16442270121455582,1.8320181393783974,-0.14488928415857805,2.2004407411126685,538,0.7535014005602241,0.8049553386386226,1.5,107,0.14985994397759103,0.004221994325954935,0.2887216083733596,360
v2_0_tv20,v2.0,0.2,60,1.5,0.1,0.03,last_1y,2025-05-20,2026-05-20,232,0.1075416408050982,0.15378247187339844,0.699310132650436,-0.1296432481181421,1.1074642120075002,149,0.6422413793103449,0.6913714285511329,1.5,4,0.017241379310344827,0.0038988637841959614,0.10946353713463172,115
v2_0_tv22,v2.0,0.22,60,1.5,0.1,0.03,full,2010-05-05,2026-05-20,3884,0.339570309176382,0.1494050237209769,2.2728172100193267,-0.17944351121831914,108.80839363418472,2908,0.748712667353244,1.0452821460622554,1.5,2825,0.7273429454170958,0.0018112351108035653,1.8271888267219838,2841
v2_0_tv22,v2.0,0.22,60,1.5,0.1,0.03,last_10y,2016-05-20,2026-05-20,2416,0.29451276610781085,0.16393924518393074,1.7964750647557506,-0.17550488486277516,13.210215779492582,1780,0.7367549668874173,0.9990422783995939,1.5,1488,0.6158940397350994,0.002106991368912813,1.118221480643705,1715
v2_0_tv22,v2.0,0.22,60,1.5,0.1,0.03,last_5y,2021-05-20,2026-05-20,1200,0.28717962741157543,0.18642076803505067,1.5404916010086396,-0.15370882627435434,3.532813759963311,889,0.7408333333333333,0.9138676901130938,1.5,393,0.3275,0.0035207250449117854,0.5677875718305246,800
v2_0_tv22,v2.0,0.22,60,1.5,0.1,0.03,last_3y,2023-05-22,2026-05-20,714,0.3209908689404286,0.17760040142855085,1.8073769336020569,-0.15370882627435478,2.3020788088151938,538,0.7535014005602241,0.8670049020230359,1.5,191,0.26750700280112044,0.0037834917300265058,0.30431920766286613,436
v2_0_tv22,v2.0,0.22,60,1.5,0.1,0.03,last_1y,2025-05-20,2026-05-20,232,0.11640140011544498,0.16590234744103657,0.7016259981301063,-0.14202620513184416,1.1163172640043635,149,0.6422413793103449,0.7487179015575819,1.4960694530768104,30,0.12931034482758622,0.0034754494594791993,0.1155706758229771,141
v2_0_tv25,v2.0,0.25,60,1.5,0.1,0.03,full,2010-05-05,2026-05-20,3884,0.35387953645793635,0.15602239540360624,2.268132953237282,-0.18333843538827044,129.02803451722812,2908,0.748712667353244,1.0707559852845456,1.5,3012,0.7754891864057673,0.0013628476721813275,1.863956515421812,2891
v2_0_tv25,v2.0,0.25,60,1.5,0.1,0.03,last_10y,2016-05-20,2026-05-20,2416,0.3077299348862321,0.1721363486529187,1.7877103661976295,-0.1833384353882711,14.622483740747297,1780,0.7367549668874173,1.0312016069755934,1.5,1657,0.6858443708609272,0.0016491676094251384,1.1513387555650036,1765
v2_0_tv25,v2.0,0.25,60,1.5,0.1,0.03,last_5y,2021-05-20,2026-05-20,1200,0.3127747404144652,0.1992634473628765,1.5696543673906962,-0.16040697565467787,3.8982542561600124,889,0.7408333333333333,0.9695938015575013,1.5,491,0.4091666666666667,0.0029771068872406865,0.5952567374140099,850
v2_0_tv25,v2.0,0.25,60,1.5,0.1,0.03,last_3y,2023-05-22,2026-05-20,714,0.34856960418112437,0.19190802451505667,1.816336784571384,-0.1604069756546782,2.4490510947736848,538,0.7535014005602241,0.9299874811673036,1.5,209,0.2927170868347339,0.004046773775351956,0.32298266514329593,486
v2_0_tv25,v2.0,0.25,60,1.5,0.1,0.03,last_1y,2025-05-20,2026-05-20,232,0.12737250417041168,0.182108937813826,0.6994302734368119,-0.16040697565467754,1.1272799957416173,149,0.6422413793103449,0.8252154341159904,1.5,38,0.16379310344827586,0.002397037906842259,0.12393315637632199,156
v2_0_tv28,v2.0,0.28,60,1.5,0.1,0.03,full,2010-05-05,2026-05-20,3884,0.361492787600594,0.16112623272682225,2.243537762181026,-0.18707993046423632,141.17221567103095,2908,0.748712667353244,1.089034389010003,1.5,3224,0.8300720906282183,0.001078538100791262,1.8898292862255432,2893
v2_0_tv28,v2.0,0.28,60,1.5,0.1,0.03,last_10y,2016-05-20,2026-05-20,2416,0.31852940871669233,0.17928151151449015,1.7766997055407339,-0.1870799304642362,15.875734020303756,1780,0.7367549668874173,1.0593168737230345,1.5,1824,0.7549668874172185,0.0013613584368680717,1.1770184665534207,1767
v2_0_tv28,v2.0,0.28,60,1.5,0.1,0.03,last_5y,2021-05-20,2026-05-20,1200,0.3301985200028008,0.21082556890785467,1.5662166677094103,-0.17847454961113474,4.163873099940912,889,0.7408333333333333,1.0213286851464598,1.5,641,0.5341666666666667,0.0024314399572388052,0.619207053907352,852
v2_0_tv28,v2.0,0.28,60,1.5,0.1,0.03,last_3y,2023-05-22,2026-05-20,714,0.37501284607780083,0.2067714041864522,1.813659135088332,-0.17847454961113474,2.595718581672692,538,0.7535014005602241,0.9912784147744222,1.5,259,0.3627450980392157,0.0037715516288900335,0.34007385282869707,488
v2_0_tv28,v2.0,0.28,60,1.5,0.1,0.03,last_1y,2025-05-20,2026-05-20,232,0.1385414562640599,0.1973217073055158,0.7021095557903031,-0.17847454961113451,1.1384403495295587,149,0.6422413793103449,0.8985722908894126,1.5,57,0.24568965517241378,0.0,0.13143824526984738,156
v2_0_tv30,v2.0,0.3,60,1.5,0.1,0.03,full,2010-05-05,2026-05-20,3884,0.3632150102889311,0.16303585200624252,2.227822934767893,-0.1881467315548555,144.06417885008608,2908,0.748712667353244,1.0959439196182184,1.5,3442,0.8861997940267765,0.0008509898145476284,1.899110508439282,2917
v2_0_tv30,v2.0,0.3,60,1.5,0.1,0.03,last_10y,2016-05-20,2026-05-20,2416,0.3212062489344507,0.18203780440102554,1.764502983275056,-0.1881467315548554,16.200954092886477,1780,0.7367549668874173,1.070424744949156,1.5,2034,0.8418874172185431,0.0009955481952413033,1.1862996887671593,1791
v2_0_tv30,v2.0,0.3,60,1.5,0.1,0.03,last_5y,2021-05-20,2026-05-20,1200,0.33375316393668486,0.21522230990288918,1.5507368361917413,-0.1881467315548555,4.21979840710668,889,0.7408333333333333,1.0413718198309672,1.5,841,0.7008333333333333,0.0020043703664191573,0.6283500986032275,876
v2_0_tv30,v2.0,0.3,60,1.5,0.1,0.03,last_3y,2023-05-22,2026-05-20,714,0.383660450967489,0.21269636533941388,1.8037941097641996,-0.18814673155485573,2.6449220486699603,538,0.7535014005602241,1.0189976536741852,1.5,412,0.5770308123249299,0.002862409218633312,0.3474103201109404,512
v2_0_tv30,v2.0,0.3,60,1.5,0.1,0.03,last_1y,2025-05-20,2026-05-20,232,0.13576275271376148,0.20509571844669774,0.6619482539273233,-0.18814673155485517,1.1356637921675539,149,0.6422413793103449,0.9288997248520555,1.5,153,0.6594827586206896,0.0,0.13546039933990184,156
v2_0_tv32,v2.0,0.32,60,1.5,0.1,0.03,full,2010-05-05,2026-05-20,3884,0.36540126289086206,0.16455371939008784,2.220559123459549,-0.1949583847565428,147.81538574356085,2908,0.748712667353244,1.1013412652227454,1.5,3587,0.9235324407826982,0.0006617114583146016,1.9057135065766828,2917
v2_0_tv32,v2.0,0.32,60,1.5,0.1,0.03,last_10y,2016-05-20,2026-05-20,2416,0.32460727287465296,0.1842224808966775,1.7620394172018088,-0.1949583847565427,16.62280171079671,1780,0.7367549668874173,1.079101603528619,1.5,2179,0.9019039735099338,0.0006912613013633743,1.19290268690456,1791
v2_0_tv32,v2.0,0.32,60,1.5,0.1,0.03,last_5y,2021-05-20,2026-05-20,1200,0.340628645867896,0.218932256654542,1.5558632203082865,-0.19495838475654292,4.329675386937208,889,0.7408333333333333,1.0588412284376194,1.5,963,0.8025,0.0013917394200782603,0.634953096740628,876
v2_0_tv32,v2.0,0.32,60,1.5,0.1,0.03,last_3y,2023-05-22,2026-05-20,714,0.39044272724534546,0.21779847857012208,1.792678855282449,-0.1949583847565427,2.6839438993044413,538,0.7535014005602241,1.042170131827932,1.5,480,0.6722689075630253,0.002339057848871026,0.3535002278881701,512
v2_0_tv32,v2.0,0.32,60,1.5,0.1,0.03,last_1y,2025-05-20,2026-05-20,232,0.1348178318972506,0.20991361252405102,0.6422538789941683,-0.1949583847565427,1.134719600121059,149,0.6422413793103449,0.956250490423094,1.5,196,0.8448275862068966,0.0,0.13826069141378788,156
v2_0_tv35,v2.0,0.35,60,1.5,0.1,0.03,full,2010-05-05,2026-05-20,3884,0.3663184920414224,0.16530160245756392,2.216061348440124,-0.20005542596810588,149.41629194962806,2908,0.748712667353244,1.1049963437391261,1.5,3650,0.9397528321318228,0.0005859489346798286,1.9111931434502702,2918
v2_0_tv35,v2.0,0.35,60,1.5,0.1,0.03,last_10y,2016-05-20,2026-05-20,2416,0.3260351326211608,0.18529665502531517,1.7595305893493758,-0.20005542596810566,16.80283402804958,1780,0.7367549668874173,1.0849775658455156,1.5,2242,0.9279801324503312,0.0005694642641955521,1.1983823237781475,1792
v2_0_tv35,v2.0,0.35,60,1.5,0.1,0.03,last_5y,2021-05-20,2026-05-20,1200,0.3435204636000375,0.2207495239015392,1.556154946695413,-0.200055425968106,4.376567692243158,889,0.7408333333333333,1.070671499235638,1.5,1026,0.855,0.001146521385247045,0.6404327336142155,877
v2_0_tv35,v2.0,0.35,60,1.5,0.1,0.03,last_3y,2023-05-22,2026-05-20,714,0.39545243276966136,0.2208583150186523,1.790525444949917,-0.20005542596810588,2.713012202468681,538,0.7535014005602241,1.0620529398918281,1.5,540,0.7563025210084033,0.0019269266978941932,0.3589798647617574,513
v2_0_tv35,v2.0,0.35,60,1.5,0.1,0.03,last_1y,2025-05-20,2026-05-20,232,0.12762793964805974,0.21147230934460987,0.6035208110395225,-0.20005542596810544,1.1275352354175823,149,0.6422413793103449,0.9633620689655172,1.5,232,1.0,0.0,0.13950983606557302,156
