window,variant,annual,vol,sharpe,max_dd,calmar,total_return,win_rate,active_days_pct,signal_changes,entry_days,exit_days,entry_exit_cost_sum,rebalance_cost_sum,total_cost_sum,base_annual,base_max_dd,base_sharpe,annual_delta,max_dd_delta,sharpe_delta
last_1y,buffer_0p0075,0.3753227005066857,0.13109980032543342,2.862877743329964,-0.09636521920049826,3.8947942382176937,0.3750227336455474,0.6923076923076923,0.7845528455284553,145,73,73,0.438,0.1944899999999936,0.6324899999999937,0.35488345333603566,-0.09040489130668063,2.70972362932481,0.020439247170650043,-0.005960327893817632,0.153154114005154
last_1y,buffer_0p010,0.3753227005066857,0.13109980032543342,2.862877743329964,-0.09636521920049826,3.8947942382176937,0.3750227336455474,0.6923076923076923,0.7916666666666666,131,66,66,0.396,0.1956899999999936,0.5916899999999936,0.35488345333603566,-0.09040489130668063,2.70972362932481,0.020439247170650043,-0.005960327893817632,0.153154114005154
last_1y,buffer_0p015,0.3672107278293151,0.1346975080335216,2.7261879836554135,-0.07923315485573253,4.634558960802851,0.36691806498206914,0.6923076923076923,0.8079268292682927,107,54,54,0.324,0.2018699999999932,0.5258699999999932,0.35488345333603566,-0.09040489130668063,2.70972362932481,0.012327274493279416,0.0111717364509481,0.01646435433060356
last_1y,buffer_0p020,0.3672107278293151,0.1346975080335216,2.7261879836554135,-0.07923315485573253,4.634558960802851,0.36691806498206914,0.6923076923076923,0.8226626016260162,95,48,48,0.28800000000000003,0.20660999999999308,0.4946099999999931,0.35488345333603566,-0.09040489130668063,2.70972362932481,0.012327274493279416,0.0111717364509481,0.01646435433060356
last_1y,buffer_0p030,0.32575309814679776,0.1373090378604077,2.3724082786012066,-0.08690911710501752,3.7482039744250386,0.325497245526553,0.6153846153846154,0.8541666666666666,75,38,38,0.22800000000000004,0.21563999999999262,0.44363999999999265,0.35488345333603566,-0.09040489130668063,2.70972362932481,-0.0291303551892379,0.00349577420166311,-0.3373153507236033
last_1y,buffer_0p040,0.3625397318296337,0.15755959153063634,2.3009689750251763,-0.07374054269839109,4.916423429543648,0.36225125982343176,0.6923076923076923,0.8894817073170732,55,28,28,0.168,0.2216999999999924,0.3896999999999924,0.35488345333603566,-0.09040489130668063,2.70972362932481,0.007656278493598068,0.01666434860828954,-0.40875465429963365
last_1y,buffer_0p050,0.3625397318296337,0.15755959153063634,2.3009689750251763,-0.07374054269839109,4.916423429543648,0.36225125982343176,0.6923076923076923,0.9100609756097561,45,23,23,0.138,0.2271299999999924,0.3651299999999924,0.35488345333603566,-0.09040489130668063,2.70972362932481,0.007656278493598068,0.01666434860828954,-0.40875465429963365
last_3y,base_0p000,0.3871288446835326,0.14094898307556322,2.746588419697867,-0.1190375768696529,3.252156628721045,1.6696091486879525,0.7567567567567568,0.7601626016260162,211,106,106,0.6360000000000001,0.18458999999999398,0.820589999999994,0.3871288446835326,-0.1190375768696529,2.746588419697867,0.0,0.0,0.0
last_3y,buffer_0p001,0.3970740054516657,0.14110397578264283,2.814052568322527,-0.12212408565459335,3.251397980368264,1.727455248159771,0.7567567567567568,0.7654979674796748,187,94,94,0.5640000000000001,0.18752999999999387,0.7515299999999938,0.3871288446835326,-0.1190375768696529,2.746588419697867,0.009945160768133121,-0.0030865087849404477,0.06746414862465988
last_3y,buffer_0p0015,0.3970740054516657,0.14110397578264283,2.814052568322527,-0.12212408565459335,3.251397980368264,1.727455248159771,0.7567567567567568,0.7665142276422764,185,93,93,0.558,0.18752999999999387,0.7455299999999938,0.3871288446835326,-0.1190375768696529,2.746588419697867,0.009945160768133121,-0.0030865087849404477,0.06746414862465988
last_3y,buffer_0p002,0.3970740054516657,0.14110397578264283,2.814052568322527,-0.12212408565459335,3.251397980368264,1.727455248159771,0.7567567567567568,0.7680386178861789,179,90,90,0.54,0.18752999999999387,0.7275299999999939,0.3871288446835326,-0.1190375768696529,2.746588419697867,0.009945160768133121,-0.0030865087849404477,0.06746414862465988
last_3y,buffer_0p0025,0.40264300877467973,0.140808912610034,2.8594994543405594,-0.12212408565459335,3.2969991678257897,1.7602094220917026,0.7567567567567568,0.7693089430894309,175,88,88,0.528,0.18752999999999387,0.7155299999999939,0.3871288446835326,-0.1190375768696529,2.746588419697867,0.015514164091147142,-0.0030865087849404477,0.11291103464269225
last_3y,buffer_0p003,0.40264300877467973,0.140808912610034,2.8594994543405594,-0.12212408565459335,3.2969991678257897,1.7602094220917026,0.7567567567567568,0.7710873983739838,169,85,85,0.51,0.1881899999999939,0.6981899999999939,0.3871288446835326,-0.1190375768696529,2.746588419697867,0.015514164091147142,-0.0030865087849404477,0.11291103464269225
last_3y,buffer_0p0035,0.40264300877467973,0.140808912610034,2.8594994543405594,-0.12212408565459335,3.2969991678257897,1.7602094220917026,0.7567567567567568,0.7736280487804879,163,82,82,0.49200000000000005,0.18932999999999378,0.6813299999999938,0.3871288446835326,-0.1190375768696529,2.746588419697867,0.015514164091147142,-0.0030865087849404477,0.11291103464269225
last_3y,buffer_0p004,0.40006333845653863,0.14088759150292537,2.8395924310213774,-0.12212408565459335,3.27587581362163,1.7450046411293836,0.7567567567567568,0.7751524390243902,161,81,81,0.48600000000000004,0.1907099999999937,0.6767099999999937,0.3871288446835326,-0.1190375768696529,2.746588419697867,0.01293449377300604,-0.0030865087849404477,0.09300401132351022
last_3y,buffer_0p0045,0.35224730261233006,0.1510425281850884,2.332106770489727,-0.20030879190798614,1.7585214271280634,1.4731933748841723,0.7567567567567568,0.7771849593495935,157,79,79,0.47400000000000003,0.1928699999999936,0.6668699999999936,0.3871288446835326,-0.1190375768696529,2.746588419697867,-0.03488154207120253,-0.08127121503833325,-0.41448164920814
last_3y,buffer_0p005,0.35224730261233006,0.1510425281850884,2.332106770489727,-0.20030879190798614,1.7585214271280634,1.4731933748841723,0.7567567567567568,0.7789634146341463,153,77,77,0.462,0.1938899999999936,0.6558899999999936,0.3871288446835326,-0.1190375768696529,2.746588419697867,-0.03488154207120253,-0.08127121503833325,-0.41448164920814
last_3y,buffer_0p0075,0.34981388424234705,0.1510619536291021,2.315698134695349,-0.20030879190798614,1.7463730918163471,1.4598625497454116,0.7567567567567568,0.7845528455284553,145,73,73,0.438,0.1944899999999936,0.6324899999999937,0.3871288446835326,-0.1190375768696529,2.746588419697867,-0.03731496044118554,-0.08127121503833325,-0.43089028500251825
