date,return_raw,return,holding,next_holding,signal_on,microcap_ret,microcap_mom,hedge_ret,hedge_mom,momentum_gap,entry_exit_cost,rebalance_cost,total_cost,return_net,nav_net
2015-03-20,0.0134182472317956,0.0134182472317956,long_microcap,long_microcap,True,0.0134182472317956,0.2048958495623702,0.0124394215626375,0.1807680897964165,0.0241277597659537,0.0,0.0,0.0,0.013418247231795633,5.3970818408829535
2015-03-23,0.0239642526680428,0.0239642526680428,long_microcap,long_microcap,True,0.0239642526680428,0.2200037703192867,0.0290437477385643,0.1986238936752036,0.0213798766440831,0.0,0.0,0.0,0.023964252668042807,5.5264188737879785
2015-03-24,-0.0082054720512848,-0.0082054720512848,long_microcap,long_microcap,True,-0.0082054720512848,0.1884825981870106,0.0110905514202539,0.1828038394682465,0.0056787587187641,0.0,0.0,0.0,-0.008205472051284746,5.481071998175419
2015-03-25,0.0136099688318254,0.0136099688318254,long_microcap,long_microcap,True,0.0136099688318254,0.2137223406630466,0.0149652586021642,0.2063687585054332,0.0073535821576133,0.0,0.0,0.0,0.013609968831825414,5.555669217235577
2015-03-26,-0.0140204288939188,-0.0140204288939188,long_microcap,long_microcap,True,-0.0140204288939188,0.1774739940690721,-0.0196985512657499,0.1620328078553183,0.0154411862137537,0.0,0.0007199999999999,0.0007199999999999,-0.014730334185115046,5.473832353043741
2015-03-27,0.0252758448468912,0.0252758448468912,long_microcap,long_microcap,True,0.0252758448468912,0.1956804875331357,0.0114295866398199,0.1690236494602675,0.0266568380728682,0.0,0.0,0.0,0.02527584484689127,5.612188090317168
2015-03-30,0.0110055028590754,0.0110055028590754,long_microcap,long_microcap,True,0.0110055028590754,0.217943722821194,0.0010252241888615,0.1881636323994331,0.0297800904217608,0.0,0.0,0.0,0.011005502859075422,5.673953042390822
2015-03-31,0.0071584298460392,0.0071584298460392,long_microcap,long_microcap,True,0.0071584298460392,0.2145829650378554,0.0070556769986307,0.178493105456849,0.0360898595810064,0.0,0.0,0.0,0.007158429846039205,5.714569637194498
2015-04-01,0.0282555330772191,0.0282555330772191,long_microcap,long_microcap,True,0.0282555330772191,0.2315816125782623,0.0259044226340834,0.1905403833750967,0.0410412292031656,0.0,0.0,0.0,0.028255533077219175,5.87603784860032
2015-04-02,0.0224430705351601,0.0224430705351601,long_microcap,long_microcap,True,0.0224430705351601,0.2450995012598351,0.0255156413045889,0.2209452163604186,0.0241542848994165,0.0,0.0,0.0,0.022443070535160148,6.007914180503728
2015-04-03,0.0310639829215058,0.0310639829215058,long_microcap,long_microcap,True,0.0310639829215058,0.283716214499478,0.0196091166425815,0.2534782984782653,0.0302379160212127,0.0,0.0,0.0,0.031063982921505806,6.194543924000769
2015-04-07,0.0192470770884718,0.0192470770884718,long_microcap,long_microcap,True,0.0192470770884718,0.291401799851313,0.0192712756922031,0.2551027211462411,0.0362990787050718,0.0,0.0,0.0,0.019247077088471842,6.313770788433937
2015-04-08,-0.002450967615295,-0.002450967615295,long_microcap,long_microcap,True,-0.002450967615295,0.2509614435066918,-0.0151165745902389,0.196401277431371,0.0545601660753207,0.0,0.0,0.0,-0.0024509676152949522,6.29829594070109
2015-04-09,0.0009138519472664,0.0009138519472664,long_microcap,long_microcap,True,0.0009138519472664,0.2303114967018662,-0.0090877459788336,0.1721980073161821,0.058113489385684,0.0,0.00048,0.00048,0.0004334132983316863,6.301025705918618
2015-04-10,0.0294706293176949,0.0294706293176949,long_microcap,long_microcap,True,0.0294706293176949,0.2356483612445432,0.0246262938036172,0.1778258975947588,0.0578224636497843,0.0,0.0,0.0,0.029470629317694952,6.486720898819013
2015-04-13,0.0250911453455087,0.0250911453455087,long_microcap,long_microcap,True,0.0250911453455087,0.2500826464441421,0.0222074080246656,0.1943597245582733,0.0557229218858688,0.0,0.0,0.0,0.025091145345508714,6.64948015570703
2015-04-14,0.0012917122878013,0.0012917122878013,long_microcap,long_microcap,True,0.0012917122878013,0.235124191791886,0.0016772642047768,0.1816637676211678,0.0534604241707181,0.0,0.0,0.0,0.0012917122878013387,6.658069370931648
2015-04-15,-0.0354922457249362,-0.0354922457249362,long_microcap,long_microcap,True,-0.0354922457249362,0.1634066886338818,-0.0395592702384318,0.1028860666040529,0.0605206220298288,0.0,0.0,0.0,-0.035492245724936256,6.4217595367648705
2015-04-16,0.0073103282540851,0.0073103282540851,long_microcap,long_microcap,True,0.0073103282540851,0.1816072184271944,0.0106533180668961,0.1024091374382176,0.0791980809889767,0.0,0.0,0.0,0.007310328254085174,6.468704706947424
2015-04-17,-3.0111551829192784e-05,-3.0111551829192784e-05,long_microcap,long_microcap,True,-3.0111551829192784e-05,0.1657064104864158,0.002717525155186,0.0891062059827592,0.0766002045036566,0.0,0.0,0.0,-3.0111551829192784e-05,6.468509924210373
2015-04-20,-0.0229920381093631,-0.0229920381093631,long_microcap,long_microcap,True,-0.0229920381093631,0.1550994337484594,-0.0223763286892356,0.0861312190397893,0.0689682147086701,0.0,0.0,0.0,-0.022992038109363122,6.319785697522135
2015-04-21,0.0378364105068669,0.0378364105068669,long_microcap,long_microcap,True,0.0378364105068669,0.1692504569626705,0.0387807488231817,0.1155024689189452,0.0537479880437252,0.0,0.0,0.0,0.037836410506866924,6.558903703489008
2015-04-22,0.0339270099195851,0.0339270099195851,long_microcap,long_microcap,True,0.0339270099195851,0.1957596921043014,0.0287052236693821,0.1463479531425977,0.0494117389617037,0.0,0.0,0.0,0.033927009919585194,6.781427694498884
2015-04-23,0.0144063216683041,0.0144063216683041,long_microcap,long_microcap,True,0.0144063216683041,0.2043648297241311,0.0110062169468327,0.1508449173987613,0.0535199123253697,0.0,0.0007199999999999,0.0007199999999999,0.013675949116703112,6.8741701545874525
2015-04-24,0.0142456191643549,0.0142456191643549,long_microcap,long_microcap,True,0.0142456191643549,0.1879554382437651,0.0018445820843975,0.123854932172909,0.0641005060708561,0.0,0.0,0.0,0.014245619164354961,6.972096964680681
2015-04-27,0.0173057734518977,0.0173057734518977,long_microcap,long_microcap,True,0.0173057734518977,0.1819865191089902,0.0050365915935641,0.1014120945437619,0.0805744245652282,0.0,0.0,0.0,0.017305773451897766,7.092754495236108
2015-04-28,-0.0166665492386076,-0.0166665492386076,long_microcap,long_microcap,True,-0.0166665492386076,0.1272694050427072,-0.0321388907999096,0.0455123577373872,0.0817570473053199,0.0,0.0,0.0,-0.016666549238607553,6.974542753203901
2015-04-29,0.039639436585771,0.039639436585771,long_microcap,long_microcap,True,0.039639436585771,0.1498229972723781,0.0263518378048495,0.0527752085260273,0.0970477887463507,0.0,0.0,0.0,0.03963943658577107,7.251009698384276
2015-04-30,0.0180695769906433,0.0180695769906433,long_microcap,long_microcap,True,0.0180695769906433,0.1734759640323744,0.0072313354571897,0.0766636455260856,0.0968123185062888,0.0,0.0,0.0,0.018069576990643377,7.382032376389132
2015-05-04,0.0193476854992025,0.0193476854992025,long_microcap,long_microcap,True,0.0193476854992025,0.1950878745440396,0.0088050771622976,0.0961048746699453,0.0989829998740943,0.0,0.0,0.0,0.019347685499202516,7.524857617152439
2015-05-05,-0.0092342574126542,-0.0092342574126542,long_microcap,long_microcap,True,-0.0092342574126542,0.1501562956337234,-0.025594612726421,0.0423805258114247,0.1077757698222987,0.0,0.0,0.0,-0.009234257412654157,7.455371144922082
2015-05-06,0.0041336635819424,0.0041336635819424,long_microcap,long_microcap,True,0.0041336635819424,0.1266419186922756,-0.0033255823016667,0.0163436455531098,0.1102982731391657,0.0,0.0,0.0,0.004133663581942448,7.4861891411137105
2015-05-07,-0.0162619645094435,-0.0162619645094435,long_microcap,long_microcap,True,-0.0162619645094435,0.1068907234469207,-0.0167916751470574,-0.0023957127423432,0.109286436189264,0.0,0.0009,0.0009,-0.017147328741385026,7.357820994890847
2015-05-08,0.0484028340053739,0.0484028340053739,long_microcap,long_microcap,True,0.0484028340053739,0.203170597905905,0.047710143567895,0.0882505277406766,0.1149200701652284,0.0,0.0,0.0,0.04840283400537393,7.713960383147804
2015-05-11,0.0527857250338066,0.0527857250338066,long_microcap,long_microcap,True,0.0527857250338066,0.2574881788923919,0.0483961075996801,0.1288911805671275,0.1285969983252644,0.0,0.0,0.0,0.05278572503380663,8.121147374854322
2015-05-12,0.0361792943456087,0.0361792943456087,long_microcap,long_microcap,True,0.0361792943456087,0.3030224498806972,0.0259765940499199,0.155076977748048,0.1479454721326492,0.0,0.0,0.0,0.03617929434560874,8.414964756153244
2015-05-13,0.0178513503133119,0.0178513503133119,long_microcap,long_microcap,True,0.0178513503133119,0.3574947306806979,0.007770035190016,0.1906953571936396,0.1667993734870583,0.0,0.0,0.0,0.017851350313311976,8.56518323988951
2015-05-14,0.0269302265644222,0.0269302265644222,long_microcap,long_microcap,True,0.0269302265644222,0.3432293926333725,0.0066263816185252,0.1538386328199374,0.189390759813435,0.0,0.0,0.0,0.026930226564422233,8.795845565105527
2015-05-15,0.0221824722082966,0.0221824722082966,long_microcap,long_microcap,True,0.0221824722082966,0.3279714410513541,0.0006092176503642,0.1223249820414875,0.2056464590098665,0.0,0.0,0.0,0.02218247220829661,8.990959164901948
2015-05-18,0.0469405643549125,0.0469405643549125,long_microcap,long_microcap,True,0.0469405643549125,0.370562407039219,0.0289135339585824,0.1422040182993627,0.2283583887398563,0.0,0.0,0.0,0.04694056435491256,9.412999862194418
2015-05-19,0.0272111251170175,0.0272111251170175,long_microcap,long_microcap,True,0.0272111251170175,0.388082852492662,0.0250453116715241,0.1686551934973741,0.2194276589952879,0.0,0.0,0.0,0.02721112511701751,9.669138179171059
2015-05-20,0.0196993109834309,0.0196993109834309,long_microcap,long_microcap,True,0.0196993109834309,0.3913487618102165,0.0254417074622022,0.1923822347148376,0.1989665270953788,0.0,0.0,0.0,0.019699310983430918,9.859613539104314
2015-05-21,0.0372374738121088,0.0372374738121088,long_microcap,long_microcap,True,0.0372374738121088,0.4676192229341944,0.0373941777245498,0.2780453477851601,0.1895738751490343,0.0,0.00162,0.00162,0.035557149104533226,10.210193287827321
2015-05-22,0.0209974058854234,0.0209974058854234,long_microcap,long_microcap,True,0.0209974058854234,0.4413029813146869,0.0080438262997526,0.2552476403427193,0.1860553409719676,0.0,0.0,0.0,0.020997405885423426,10.424580860460457
