date,A_1_100,B_101_200,C_201_300,D_301_400
2017-05-05,291831.06886321504,10291.574385677442,5842.279467691468,2881.253970858083
2017-05-08,286531.9830943721,10025.421341509425,5713.28518303603,2807.319960392125
2017-05-09,291890.2918088523,10158.472692573208,5783.4214277061765,2849.203830108403
2017-05-10,287758.672057201,9957.50117567991,5654.5495886532535,2800.683864303192
2017-05-11,286568.3022400576,9896.57285720574,5620.831401805111,2791.004400523821
2017-05-12,285641.58839041,9849.748404584683,5595.696141377261,2783.7274986939506
2017-05-15,288036.782242244,9889.959525192393,5601.082563101807,2781.263769980267
2017-05-16,297239.6435980981,10152.755373049436,5750.662445080761,2858.3658614336787
2017-05-17,298706.07857571414,10253.82213964084,5786.6742024229,2883.15336070304
2017-05-18,296071.43390687153,10185.262901942056,5749.910138834502,2870.9798939680168
2017-05-19,293674.2387486133,10099.66117154421,5698.89334704412,2854.970691117277
2017-05-22,282153.2296937076,9664.510126472233,5493.7216835241215,2741.280275704142
2017-05-23,270735.6327447878,9188.046177058584,5221.650333344111,2594.78250190465
2017-05-24,272803.49400976,9254.31001056343,5258.407731343912,2616.029105003023
2017-05-25,273837.32323717204,9266.512655554168,5288.32373771837,2617.6493810895386
2017-05-26,275243.04392231605,9293.674459928698,5307.890382023092,2632.5311659082163
2017-05-31,274961.3865463541,9278.910568994206,5288.486100958073,2609.5741208591617
2017-06-01,261924.90892979273,8831.271342168086,5068.516982361058,2474.6540181962323
2017-06-02,268850.4708845239,9057.344923848661,5159.049091271877,2516.1135868133697
2017-06-05,274440.75973265804,9170.300767206889,5230.004857297859,2551.215826110962
2017-06-06,278644.8485916924,9234.412408800961,5258.084901678564,2567.5715164960866
2017-06-07,288730.67436040274,9551.827075303781,5442.816673596395,2645.158660978834
2017-06-08,288923.1028573208,9511.292235239125,5433.596181018199,2628.5041448700604
2017-06-09,290633.04848300095,9542.130247934541,5431.14871438656,2597.312361460383
2017-06-12,282440.6722852065,9219.275295263345,5259.391070095934,2502.364140233613
2017-06-13,291343.8145307874,9511.59562855026,5406.400208029725,2561.014555794357
2017-06-14,291379.7756782765,9577.51729675397,5447.562044440408,2576.8847955766582
2017-06-15,297156.6428741745,9741.54312028045,5569.337318835865,2632.946191087808
2017-06-16,295818.9547917718,9696.728680381868,5516.484435754759,2615.095338929133
2017-06-19,297330.66954376956,9754.307849136349,5552.47423924966,2638.3419638991177
2017-06-20,297297.17778145516,9749.112966805846,5547.969671293672,2628.040744985365
2017-06-21,297777.85923628724,9758.081709572358,5542.519544444631,2618.565487323936
2017-06-22,288810.45584757545,9474.612224192444,5395.135151263977,2552.381029602236
2017-06-23,289107.9892853421,9501.041483198596,5399.719335169714,2551.0408566665446
2017-06-26,292128.1045789225,9633.513484245146,5461.507093588869,2597.1988484159747
2017-06-27,292131.8502388944,9621.071050529281,5485.36648753583,2610.5066061912758
2017-06-28,288674.40937278327,9503.701108827017,5423.857368582808,2583.373491692341
2017-06-29,290796.2866460874,9547.338723908882,5448.010493092493,2594.956636472953
2017-06-30,293643.68468099716,9619.851885594917,5471.463871391588,2596.3117664404263
2017-07-03,296474.9336054677,9733.677677616164,5536.06392693104,2621.3294230277347
2017-07-04,297709.2378598005,9747.211494028246,5533.849741753133,2614.003440247584
2017-07-05,302969.1261641347,9892.419335115901,5605.201802226364,2640.055865816519
2017-07-06,306912.0935099162,9967.779717033227,5623.7342611749455,2652.426437963009
2017-07-07,312152.4167145896,10076.282025714343,5665.266342355775,2691.3624401606003
2017-07-10,306442.9489888406,9860.805988106433,5568.622614689224,2649.3622660112883
2017-07-11,302001.7125477103,9692.189596853717,5470.477427562775,2599.6301474431343
2017-07-12,303432.1674637861,9677.90686636514,5472.369945479564,2606.2656212305624
2017-07-13,300433.63364770374,9614.516952214819,5431.4550514849925,2582.284860031257
2017-07-14,298116.5600526961,9515.252754021862,5365.666160962754,2565.112474079912
2017-07-17,274297.2928741529,8723.116649615,4927.033481284162,2373.3587260935647
2017-07-18,275389.6025207136,8783.391755373259,4959.912137284573,2396.9040761989
2017-07-19,276691.63918361557,8860.293687493702,5020.234111326597,2424.2789351406514
2017-07-20,277313.81552416715,8858.886730156772,5029.03378125168,2425.7078890754137
2017-07-21,276306.847984292,8805.329443021508,5008.329637917747,2415.001230991707
2017-07-24,278514.25811336236,8860.058187670706,5032.616738610953,2441.0464299252676
2017-07-25,278848.6821225707,8863.510617501395,5025.651594260023,2438.265334303848
2017-07-26,278305.8784053741,8864.322111411504,5001.985184398873,2434.879308860244
2017-07-27,286480.19676393905,9136.33317633434,5138.817911064072,2498.1106021778305
2017-07-28,283070.28793277167,9048.6161146242,5126.548613123714,2471.0664777243815
2017-07-31,283597.08070487645,9072.572657181587,5146.985627133355,2473.739674571457
2017-08-01,283618.4881269417,9076.84364791772,5159.427605592463,2475.3292295390406
2017-08-02,279756.5584630181,8942.706342922016,5097.912130728042,2444.788884600804
2017-08-03,284128.32665393484,9073.26693496201,5147.821506962907,2473.131033847138
2017-08-04,282948.9208481091,8963.045989968048,5128.4278975493435,2466.2231906731186
2017-08-07,285382.8650644342,9055.220361851098,5166.220419751105,2488.524684720834
2017-08-08,286865.81888282317,9102.617641547324,5178.0579900852135,2506.5537747115923
2017-08-09,286527.09620661184,9116.12519299221,5178.396225956409,2507.603060910123
2017-08-10,283466.5158199001,8991.211367549575,5106.042520948029,2480.210826547392
