date,return_raw,holding,next_holding,signal_on,microcap_ret,hedge_ret,microcap_mom,hedge_mom,momentum_gap,hedge_ratio,futures_drag,weight,realized_vol,scale_raw,return,nav,entry_exit_cost,rebalance_cost,total_cost,return_net,nav_net
2022-08-16,0.009401475054649958,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.014752548714291658,0.005645637399601888,0.0935765190033837,0.05406747245251409,0.03950904655086962,0.9,0.00027,1.0,,,0.009401475054649958,96801326.23812434,0.0,0.0,0.0,0.009401475054650055,47866395.46279622
2022-08-17,0.002664990774700874,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.0034326275121698835,0.0005529297082988993,0.08907170788126129,0.04286779500869442,0.046203912872566866,0.9,0.00027,1.0,,,0.002664990774700874,97059300.87952776,0.0,0.0,0.0,0.0026649907747009483,47993958.96512276
2022-08-18,-0.0025217262396855697,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.0005445519390290254,0.003106975754127328,0.08104833283543611,0.03549721597367661,0.0455511168617595,0.9,0.00027,1.0,,,-0.0025217262396855697,96814543.89369431,0.0,0.0,0.0,-0.0025217262396856066,47872931.33945402
2022-08-19,0.005498523107822521,long_microcap_short_zz1000,long_microcap_short_zz1000,True,-0.008558873973565584,-0.015919330090431227,0.06867627227977802,0.011777292942854789,0.05689897933692323,0.9,0.00027,1.0,,,0.005498523107822521,97346880.9004671,0.0,0.0,0.0,0.005498523107822617,48136161.758663215
2022-08-22,-0.005408326279360661,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.0016007167110145826,0.007487825544861382,0.06607444786024574,0.024046601090562225,0.04202784676968352,0.9,0.00027,1.0,,,-0.005408326279360661,96820397.20627931,0.0,0.0,0.0,-0.005408326279360609,47875825.69003628
2022-08-23,-0.0015306465274038306,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.0008928593681205577,0.002392784328360431,0.059491169551522116,0.01748776190907253,0.042003407642449586,0.9,0.00027,1.0,,,-0.0015306465274038306,96672199.40151365,0.0,0.0,0.0,-0.0015306465274038672,47802544.72369724
2022-08-24,0.007298689750854451,long_microcap_short_zz1000,long_microcap_short_zz1000,True,-0.025273952344294526,-0.03649182455016553,0.08086387379784155,0.011703109235726483,0.06916076456211506,0.9,0.00027,1.0,,,0.007298689750854451,97377779.79247804,0.0,0.001,0.001,0.006291391061103546,48103289.22626991
2022-08-25,-0.0038868294710879565,long_microcap_short_zz1000,long_microcap_short_zz1000,True,-0.006570201983841062,-0.003281525014170117,0.05969393542473633,0.014405776189987396,0.04528815923474894,0.9,0.00027,1.0,,,-0.0038868294710879565,96999288.96815152,0.0,0.0,0.0,-0.0038868294710879825,47916319.94404897
2022-08-26,-0.005869755664517636,long_microcap_short_zz1000,long_microcap_short_zz1000,True,-0.010234243023257483,-0.00514943039859983,0.02485580616120653,0.0028547579058979533,0.022001048255308575,0.9,0.00027,1.0,,,-0.005869755664517636,96429926.84227653,0.0,0.0,0.0,-0.00586975566451764,47635062.85363455
2022-08-29,0.011445753009405061,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.017018911380679125,0.005892398190304515,0.038487925460022554,-0.0096882933709449,0.048176218830967454,0.9,0.00027,1.0,,,0.011445753009405061,97533639.96762821,0.0,0.0,0.0,0.01144575300940498,48180282.01764473
