rebalance_date,entry_count,exit_count,turnover_frac_one_side,two_side_cost_rate,effective_date,blocked_entry_count,blocked_exit_count,buy_turnover_frac,sell_turnover_frac,holding_count_after
2015-12-03,16,16,0.16,0.00096,,,,,,
2015-12-17,18,18,0.18,0.00108,,,,,,
2015-12-31,24,24,0.24,0.0014399999999999,,,,,,
2016-01-14,35,35,0.35,0.0021,,,,,,
2016-01-28,24,24,0.24,0.0014399999999999,,,,,,
2016-02-15,20,20,0.2,0.0012,,,,,,
2016-02-25,16,16,0.16,0.00096,,,,,,
2016-03-10,20,20,0.2,0.0012,,,,,,
2016-03-24,18,18,0.18,0.00108,,,,,,
2016-04-07,16,16,0.16,0.00096,,,,,,
2016-04-21,21,21,0.21,0.00126,,,,,,
2016-05-05,19,19,0.19,0.00114,,,,,,
2016-05-19,32,32,0.32,0.00192,,,,,,
2016-06-02,18,18,0.18,0.00108,,,,,,
2016-06-16,16,16,0.16,0.00096,,,,,,
2016-06-30,22,22,0.22,0.00132,,,,,,
2016-07-14,14,14,0.14,0.00084,,,,,,
2016-07-28,16,16,0.16,0.00096,,,,,,
2016-08-11,12,12,0.12,0.0007199999999999,,,,,,
2016-08-25,15,15,0.15,0.0009,,,,,,
2016-09-08,18,18,0.18,0.00108,,,,,,
2016-09-22,19,19,0.19,0.00114,,,,,,
2016-10-10,15,15,0.15,0.0009,,,,,,
2016-10-20,14,14,0.14,0.00084,,,,,,
2016-11-03,18,18,0.18,0.00108,,,,,,
2016-11-17,17,17,0.17,0.00102,,,,,,
2016-12-01,20,20,0.2,0.0012,,,,,,
2016-12-15,27,27,0.27,0.00162,,,,,,
2016-12-29,24,24,0.24,0.0014399999999999,,,,,,
2017-01-12,26,26,0.26,0.00156,,,,,,
2017-01-26,27,27,0.27,0.00162,,,,,,
2017-02-09,18,18,0.18,0.00108,,,,,,
2017-02-23,26,26,0.26,0.00156,,,,,,
2017-03-09,25,25,0.25,0.0015,,,,,,
2017-03-23,19,19,0.19,0.00114,,,,,,
