rebalance_date,execution_timing,constraint_trade_date,execution_date,effective_date,return_start_date,exit_count,entry_count,blocked_entry_count,blocked_exit_count,buy_turnover_frac,sell_turnover_frac,turnover_frac_one_side,two_side_cost_rate,holding_count_after
2020-04-01,close,2020-04-01,2020-04-01,2020-04-01,2020-04-02,17,17,3,3,0.17,0.17,0.17,0.00102,100
2020-05-06,close,2020-05-06,2020-05-06,2020-05-06,2020-05-07,15,15,4,4,0.15,0.15,0.15,0.0009,100
2020-06-01,close,2020-06-01,2020-06-01,2020-06-01,2020-06-02,15,15,3,3,0.15,0.15,0.15,0.0009,100
2020-07-01,close,2020-07-01,2020-07-01,2020-07-01,2020-07-02,12,12,3,3,0.12,0.12,0.12,0.0007199999999999999,100
2020-08-03,close,2020-08-03,2020-08-03,2020-08-03,2020-08-04,17,17,2,2,0.17,0.17,0.17,0.00102,100
2020-09-01,close,2020-09-01,2020-09-01,2020-09-01,2020-09-02,18,18,4,4,0.18,0.18,0.18,0.00108,100
2020-10-09,close,2020-10-09,2020-10-09,2020-10-09,2020-10-12,13,13,2,2,0.13,0.13,0.13,0.0007800000000000001,100
2020-11-02,close,2020-11-02,2020-11-02,2020-11-02,2020-11-03,15,15,4,4,0.15,0.15,0.15,0.0009,100
2020-12-01,close,2020-12-01,2020-12-01,2020-12-01,2020-12-02,9,9,2,2,0.09,0.09,0.09,0.00054,100
2021-01-04,close,2021-01-04,2021-01-04,2021-01-04,2021-01-05,16,16,2,2,0.16,0.16,0.16,0.00096,100
2021-02-01,close,2021-02-01,2021-02-01,2021-02-01,2021-02-02,18,18,2,2,0.18,0.18,0.18,0.00108,100
2021-03-01,close,2021-03-01,2021-03-01,2021-03-01,2021-03-02,9,9,2,2,0.09,0.09,0.09,0.00054,100
2021-04-01,close,2021-04-01,2021-04-01,2021-04-01,2021-04-02,19,19,1,1,0.19,0.19,0.19,0.00114,100
2021-05-06,close,2021-05-06,2021-05-06,2021-05-06,2021-05-07,13,13,1,1,0.13,0.13,0.13,0.0007800000000000001,100
2021-06-01,close,2021-06-01,2021-06-01,2021-06-01,2021-06-02,10,10,2,2,0.1,0.1,0.1,0.0006000000000000001,100
2021-07-01,close,2021-07-01,2021-07-01,2021-07-01,2021-07-02,14,14,1,1,0.14,0.14,0.14,0.0008400000000000001,100
2021-08-02,close,2021-08-02,2021-08-02,2021-08-02,2021-08-03,17,17,1,1,0.17,0.17,0.17,0.00102,100
2021-09-01,close,2021-09-01,2021-09-01,2021-09-01,2021-09-02,18,18,1,1,0.18,0.18,0.18,0.00108,100
2021-10-08,close,2021-10-08,2021-10-08,2021-10-08,2021-10-11,15,15,1,1,0.15,0.15,0.15,0.0009,100
2021-11-01,close,2021-11-01,2021-11-01,2021-11-01,2021-11-02,15,15,1,1,0.15,0.15,0.15,0.0009,100
2021-12-01,close,2021-12-01,2021-12-01,2021-12-01,2021-12-02,19,19,1,1,0.19,0.19,0.19,0.00114,100
2022-01-04,close,2022-01-04,2022-01-04,2022-01-04,2022-01-05,21,21,1,1,0.21,0.21,0.21,0.00126,100
2022-02-07,close,2022-02-07,2022-02-07,2022-02-07,2022-02-08,11,11,3,3,0.11,0.11,0.11,0.00066,100
2022-03-01,close,2022-03-01,2022-03-01,2022-03-01,2022-03-02,16,16,1,1,0.16,0.16,0.16,0.00096,100
2022-04-01,close,2022-04-01,2022-04-01,2022-04-01,2022-04-06,22,22,1,1,0.22,0.22,0.22,0.00132,100
2022-05-05,close,2022-05-05,2022-05-05,2022-05-05,2022-05-06,19,19,1,1,0.19,0.19,0.19,0.00114,100
2022-06-01,close,2022-06-01,2022-06-01,2022-06-01,2022-06-02,18,18,1,1,0.18,0.18,0.18,0.00108,100
2022-07-01,close,2022-07-01,2022-07-01,2022-07-01,2022-07-04,12,12,1,1,0.12,0.12,0.12,0.0007199999999999999,100
2022-08-01,close,2022-08-01,2022-08-01,2022-08-01,2022-08-02,16,16,2,2,0.16,0.16,0.16,0.00096,100
2022-09-01,close,2022-09-01,2022-09-01,2022-09-01,2022-09-02,19,19,0,0,0.19,0.19,0.19,0.00114,100
2022-10-10,close,2022-10-10,2022-10-10,2022-10-10,2022-10-11,21,21,0,0,0.21,0.21,0.21,0.00126,100
2022-11-01,close,2022-11-01,2022-11-01,2022-11-01,2022-11-02,23,23,0,0,0.23,0.23,0.23,0.0013800000000000002,100
2022-12-01,close,2022-12-01,2022-12-01,2022-12-01,2022-12-02,18,18,0,0,0.18,0.18,0.18,0.00108,100
2023-01-03,close,2023-01-03,2023-01-03,2023-01-03,2023-01-04,13,13,0,0,0.13,0.13,0.13,0.0007800000000000001,100
2023-02-01,close,2023-02-01,2023-02-01,2023-02-01,2023-02-02,11,11,0,0,0.11,0.11,0.11,0.00066,100
2023-03-01,close,2023-03-01,2023-03-01,2023-03-01,2023-03-02,16,16,0,0,0.16,0.16,0.16,0.00096,100
2023-04-03,close,2023-04-03,2023-04-03,2023-04-03,2023-04-04,22,22,0,0,0.22,0.22,0.22,0.00132,100
2023-05-04,close,2023-05-04,2023-05-04,2023-05-04,2023-05-05,23,23,1,1,0.23,0.23,0.23,0.0013800000000000002,100
2023-06-01,close,2023-06-01,2023-06-01,2023-06-01,2023-06-02,19,19,0,0,0.19,0.19,0.19,0.00114,100
2023-07-03,close,2023-07-03,2023-07-03,2023-07-03,2023-07-04,12,12,1,1,0.12,0.12,0.12,0.0007199999999999999,100
2023-08-01,close,2023-08-01,2023-08-01,2023-08-01,2023-08-02,17,17,1,1,0.17,0.17,0.17,0.00102,100
2023-09-01,close,2023-09-01,2023-09-01,2023-09-01,2023-09-04,15,15,0,0,0.15,0.15,0.15,0.0009,100
2023-10-09,close,2023-10-09,2023-10-09,2023-10-09,2023-10-10,14,14,0,0,0.14,0.14,0.14,0.0008400000000000001,100
2023-11-01,close,2023-11-01,2023-11-01,2023-11-01,2023-11-02,18,18,0,0,0.18,0.18,0.18,0.00108,100
2023-12-01,close,2023-12-01,2023-12-01,2023-12-01,2023-12-04,12,12,0,0,0.12,0.12,0.12,0.0007199999999999999,100
2024-01-02,close,2024-01-02,2024-01-02,2024-01-02,2024-01-03,14,14,0,0,0.14,0.14,0.14,0.0008400000000000001,100
2024-02-01,close,2024-02-01,2024-02-01,2024-02-01,2024-02-02,18,18,0,0,0.18,0.18,0.18,0.00108,100
2024-03-01,close,2024-03-01,2024-03-01,2024-03-01,2024-03-04,15,15,0,0,0.15,0.15,0.15,0.0009,100
2024-04-01,close,2024-04-01,2024-04-01,2024-04-01,2024-04-02,14,14,0,0,0.14,0.14,0.14,0.0008400000000000001,100
2024-05-06,close,2024-05-06,2024-05-06,2024-05-06,2024-05-07,16,16,0,0,0.16,0.16,0.16,0.00096,100
2024-06-03,close,2024-06-03,2024-06-03,2024-06-03,2024-06-04,15,15,0,0,0.15,0.15,0.15,0.0009,100
2024-07-01,close,2024-07-01,2024-07-01,2024-07-01,2024-07-02,16,16,1,1,0.16,0.16,0.16,0.00096,100
2024-08-01,close,2024-08-01,2024-08-01,2024-08-01,2024-08-02,16,16,0,0,0.16,0.16,0.16,0.00096,100
2024-09-02,close,2024-09-02,2024-09-02,2024-09-02,2024-09-03,19,19,0,0,0.19,0.19,0.19,0.00114,100
2024-10-08,close,2024-10-08,2024-10-08,2024-10-08,2024-10-09,20,20,0,0,0.2,0.2,0.2,0.0012000000000000001,100
2024-11-01,close,2024-11-01,2024-11-01,2024-11-01,2024-11-04,17,17,3,3,0.17,0.17,0.17,0.00102,100
2024-12-02,close,2024-12-02,2024-12-02,2024-12-02,2024-12-03,19,19,0,0,0.19,0.19,0.19,0.00114,100
2025-01-02,close,2025-01-02,2025-01-02,2025-01-02,2025-01-03,18,18,1,1,0.18,0.18,0.18,0.00108,100
2025-02-05,close,2025-02-05,2025-02-05,2025-02-05,2025-02-06,7,7,1,1,0.07,0.07,0.07,0.00042000000000000007,100
2025-03-03,close,2025-03-03,2025-03-03,2025-03-03,2025-03-04,12,12,1,1,0.12,0.12,0.12,0.0007199999999999999,100
2025-04-01,close,2025-04-01,2025-04-01,2025-04-01,2025-04-02,14,14,0,0,0.14,0.14,0.14,0.0008400000000000001,100
2025-05-06,close,2025-05-06,2025-05-06,2025-05-06,2025-05-07,16,16,0,0,0.16,0.16,0.16,0.00096,100
2025-06-03,close,2025-06-03,2025-06-03,2025-06-03,2025-06-04,14,14,0,0,0.14,0.14,0.14,0.0008400000000000001,100
2025-07-01,close,2025-07-01,2025-07-01,2025-07-01,2025-07-02,16,16,1,1,0.16,0.16,0.16,0.00096,100
2025-08-01,close,2025-08-01,2025-08-01,2025-08-01,2025-08-04,16,16,0,0,0.16,0.16,0.16,0.00096,100
2025-09-01,close,2025-09-01,2025-09-01,2025-09-01,2025-09-02,14,14,0,0,0.14,0.14,0.14,0.0008400000000000001,100
2025-10-09,close,2025-10-09,2025-10-09,2025-10-09,2025-10-10,10,10,1,1,0.1,0.1,0.1,0.0006000000000000001,100
2025-11-03,close,2025-11-03,2025-11-03,2025-11-03,2025-11-04,14,14,0,0,0.14,0.14,0.14,0.0008400000000000001,100
2025-12-01,close,2025-12-01,2025-12-01,2025-12-01,2025-12-02,14,14,0,0,0.14,0.14,0.14,0.0008400000000000001,100
2026-01-05,close,2026-01-05,2026-01-05,2026-01-05,2026-01-06,15,15,1,1,0.15,0.15,0.15,0.0009,100
2026-02-02,close,2026-02-02,2026-02-02,2026-02-02,2026-02-03,14,14,5,5,0.14,0.14,0.14,0.0008400000000000001,100
2026-03-02,close,2026-03-02,2026-03-02,2026-03-02,2026-03-03,16,16,1,1,0.16,0.16,0.16,0.00096,100
