label,dd_moderate,dd_severe,hedge_ratio_moderate,hedge_ratio_severe,recover_dd,annual_return,annual_vol,sharpe,max_drawdown,total_return,start,end,days,latest_nav,hedge_ratio_mean_live,hedge_ratio_median_live,hedge_ratio_max_live,hedge_ratio_mean_active,hedge_ratio_median_active,share_above_0p8,share_above_1p0,moderate_or_worse_share,severe_share,recovery_band_share,n_ratio_changes
dd4_10_hr90_110_rec3,0.04,0.1,0.9,1.1,0.03,0.23876982214937525,0.10817862468040877,2.207181158521575,-0.14593335536212548,30.98215306842646,2010-02-02,2026-04-10,3928,31.98215306842646,0.63668533604888,0.8,1.1,0.8437584345479082,0.8,0.27774949083503053,0.026221995926680244,0.505346232179226,0.05244399185336049,0.0985234215885947,317
dd5_10_hr100_130_rec2,0.05,0.1,1.0,1.3,0.02,0.23906798385896533,0.10832052199741128,2.2070423909578163,-0.15544866834106688,31.106958484917286,2010-02-02,2026-04-10,3928,32.106958484917286,0.6661914460285133,0.8,1.3,0.8828609986504724,0.8,0.2668024439918534,0.03054989816700611,0.5944501018329938,0.06491853360488799,0.2634928716904277,293
dd3_10_hr90_120_rec2,0.03,0.1,0.9,1.2,0.02,0.23865625822809822,0.10816343179533196,2.2064412553004624,-0.15220665367845534,30.934736953628136,2010-02-02,2026-04-10,3928,31.934736953628136,0.6445773930753566,0.8,1.2,0.8542172739541163,0.8,0.3335030549898167,0.025203665987780042,0.5957230142566191,0.05015274949083503,0.09597759674134419,337
dd4_10_hr90_110_rec2,0.04,0.1,0.9,1.1,0.02,0.23849711189600353,0.10810228129837247,2.2062171957105052,-0.14593335536212573,30.86839987419627,2010-02-02,2026-04-10,3928,31.86839987419627,0.6383401221995927,0.8,1.1,0.8459514170040487,0.8,0.29480651731160895,0.025967413441955193,0.5921588594704684,0.05218940936863544,0.1815173116089613,307
dd4_6_hr90_100_rec2,0.04,0.06,0.9,1.0,0.02,0.23802103209326142,0.10793871312850004,2.2051498039438324,-0.15053644232113644,30.670726206963284,2010-02-02,2026-04-10,3928,31.670726206963284,0.6447046843177191,0.8,1.0,0.8543859649122809,0.8,0.2904786150712831,0.0,0.590122199592668,0.23370672097759673,0.19959266802443992,359
dd5_6_hr90_110_rec2,0.05,0.06,0.9,1.1,0.02,0.23700701025041893,0.10781999294004668,2.198173119731205,-0.15836946999665513,30.25352110519747,2010-02-02,2026-04-10,3928,31.25352110519747,0.6537678207739308,0.8,1.1,0.8663967611336032,0.8,0.25509164969450104,0.12296334012219959,0.5931771894093686,0.21919551934826884,0.3044806517311609,323
dd3_10_hr90_130_rec3,0.03,0.1,0.9,1.3,0.03,0.2388193633513065,0.10864547435892935,2.198152889114598,-0.15385312954253422,31.00285859192602,2010-02-02,2026-04-10,3928,32.00285859192602,0.6445264765784114,0.8,1.3,0.8541497975708503,0.8,0.3037169042769857,0.026221995926680244,0.5068737270875764,0.051171079429735235,0.0,378
dd5_8_hr90_110_rec2,0.05,0.08,0.9,1.1,0.02,0.23787663229543687,0.10826544478084206,2.1971611789612298,-0.15975446770491358,30.610997542798902,2010-02-02,2026-04-10,3928,31.610997542798902,0.6434063136456212,0.8,1.1,0.8526653171390014,0.8,0.2721486761710794,0.06262729124236252,0.5931771894093686,0.13569246435845214,0.27825865580448067,306
dd4_6_hr90_110_rec3,0.04,0.06,0.9,1.1,0.03,0.23872815230518252,0.10868223888160579,2.1965700629818983,-0.15836946999665488,30.964747076038325,2010-02-02,2026-04-10,3928,31.964747076038325,0.6491853360488798,0.8,1.1,0.8603238866396761,0.8,0.24236252545824846,0.10641547861507128,0.4831975560081466,0.21232179226069248,0.1295824847250509,365
dd4_10_hr90_120_rec3,0.04,0.1,0.9,1.2,0.03,0.23826148952917992,0.10849005846298919,2.196159656513242,-0.14758281584363772,30.770422597867263,2010-02-02,2026-04-10,3928,31.770422597867263,0.6397148676171079,0.8,1.2,0.8477732793522268,0.8,0.27494908350305497,0.028513238289205704,0.5066191446028513,0.0554989816700611,0.0995417515274949,319
