rebalance_date,removed_count,added_count,removed_symbols,added_symbols
2023-11-14,13,13,"000007,000692,000889,002021,002052,002800,300209,300220,600530,600671,600847,603880,688309","000890,002247,002494,300594,300923,301125,600156,600615,600697,600883,603499,605303,688193"
2023-11-28,15,15,"000007,000637,000692,000889,002021,002052,002800,300209,300220,600530,600671,600847,603030,603880,688309","000890,002494,002862,300640,300703,300923,300984,301079,301125,600678,600778,600883,603022,688296,688500"
2023-12-12,13,13,"000007,000637,000692,000889,002021,002052,300209,300220,600671,600847,603030,603880,688309","002205,002295,002830,002856,002883,002899,300816,301209,688171,688395,688501,688616,688655"
2023-12-26,11,11,"000007,000637,000692,002052,002800,300209,300220,600671,600847,603880,688309","002247,002719,300640,300823,300931,301300,603955,605303,688217,688501,688517"
2024-01-09,11,11,"000007,000637,000692,000889,002800,300209,300220,600671,600847,603880,688309","000953,002890,003017,300405,300845,300849,300906,300970,300992,301057,301209"
2024-01-23,9,9,"000007,000637,000692,300209,300220,600671,600847,603880,688309","000890,002295,002890,003017,300823,301273,600778,605303,688229"
2024-02-06,7,7,"300209,300220,300427,600671,600847,603880,688309","002247,002836,300640,300956,301198,605303,688395"
2024-02-20,7,7,"300209,300220,300427,600671,600847,603880,688309","000702,002295,300594,300807,300992,600302,688013"
2024-03-05,7,7,"002800,300209,300220,600671,600847,603880,688309","002715,300521,300816,600493,688379,688395,688485"
2024-03-19,10,10,"002052,002800,300209,300220,300427,600234,600671,600847,603880,688309","000702,002836,002883,300405,300640,300948,301209,301300,600493,688622"
2024-04-02,8,8,"000007,000692,300209,300220,600671,600847,603880,688309","002207,300845,300912,300948,301300,603716,688288,688329"
2024-04-16,8,8,"000692,300209,300220,600234,600671,600847,603880,688309","300106,300640,300649,300844,300923,600778,688115,688485"
2024-04-30,10,10,"000889,002141,300013,300209,300220,600234,600671,600847,603880,688309","002207,300391,300865,300995,301057,600149,600302,600493,605069,688379"
2024-05-14,13,13,"002052,002141,300013,300163,300209,300220,300300,600234,600671,600847,603879,603880,688309","002205,002861,300385,300923,301010,301037,603139,688115,688217,688328,688335,688379,688528"
2024-05-28,15,15,"002052,002141,002748,300013,300163,300209,300300,300368,600234,600671,600847,603879,603880,603959,688309","002188,002207,002494,002861,300030,300385,300535,301010,301037,301105,603139,603716,688115,688335,688379"
2024-06-11,15,15,"000506,002052,002141,300013,300163,300209,300300,600234,600671,600847,603608,603879,603880,603959,688309","002316,002856,002861,002910,300535,300626,300923,301010,301037,301079,301178,600302,688171,688335,688379"
2024-06-25,14,14,"000506,002052,002141,300013,300163,300209,300300,600234,600671,600847,603608,603879,603959,688309","002513,002622,002652,300535,300640,301010,301125,600149,600448,603616,688171,688272,688379,688395"
2024-07-09,14,14,"000506,002052,002141,300013,300163,300209,300300,600234,600671,600847,603608,603879,603959,688309","002316,002486,002513,300640,300886,300935,300948,300955,301024,301105,600149,605178,688335,688448"
2024-07-23,12,12,"002052,300013,300163,300209,300300,600234,600671,600847,603608,603879,603959,688309","002188,002513,002778,300886,301167,301228,600156,600857,603139,688328,688485,688655"
2024-08-06,12,12,"002052,300013,300163,300209,300300,600234,600671,600847,603608,603879,603959,688309","002207,002513,002921,300591,300877,300886,300995,301037,301167,600319,688156,688669"
2024-08-20,12,12,"000506,002316,300013,300163,300300,600234,600671,600847,603608,603879,603959,688309","002295,002486,002591,002798,003011,300640,600149,600156,600302,600448,603045,688227"
2024-09-03,10,10,"002316,300013,300163,300300,600234,600671,600847,603879,603959,688309","002718,300591,300955,301105,605069,688011,688051,688328,688450,688669"
2024-09-18,10,10,"002316,300013,300163,300300,600234,600671,600847,603879,603959,688309","002188,003011,300931,301024,301228,600857,605069,688013,688288,688670"
2024-10-08,15,15,"002052,002141,002316,002748,300013,300163,300300,600234,600287,600671,600847,603608,603879,603959,688309","000590,000632,002205,002207,003003,301010,301027,301037,600149,600302,603159,688013,688038,688655,688669"
2024-10-22,11,11,"002141,002316,002748,300013,300163,600234,600671,603608,603879,603959,688309","000590,300948,301098,600149,600448,603159,603810,688638,688655,688669,688671"
2024-11-05,11,11,"002141,002316,002748,300163,600234,600671,600847,603608,603879,603959,688309","002652,002798,002910,300649,300886,300970,301098,603810,688171,688450,688573"
2024-11-19,12,12,"002141,002316,002748,300013,300163,600234,600671,600847,603608,603879,603959,688309","002205,002718,002857,003017,300417,300717,301040,301075,301098,600539,600883,688350"
2024-12-03,11,11,"002141,002316,002748,300163,600234,600671,600847,603608,603879,603959,688309","002591,002798,002857,002910,003017,300931,301231,600539,600561,600857,603810"
2024-12-17,9,9,"002316,300163,600234,600671,600847,603608,603879,603959,688309","001259,002798,003017,603045,603177,603810,605178,688011,688316"
2024-12-31,7,7,"002316,300163,600234,600671,600847,603879,688309","300069,301227,600561,600883,603023,688011,688350"
2025-01-14,7,7,"002316,300163,600234,600671,600847,603879,688309","002205,002591,300417,300923,688051,688316,688395"
2025-02-05,8,8,"002316,300163,600234,600671,600847,603608,603879,688309","002800,300417,300591,300594,603177,603272,688573,688638"
2025-02-18,8,8,"002141,002316,300163,600234,600671,600847,603879,688309","002193,002921,300931,301037,600561,605178,688069,688251"
2025-03-04,8,8,"002141,002316,300163,600234,600671,600847,603879,688309","001259,002193,002513,002633,300877,600149,603177,605069"
2025-03-18,9,9,"002141,002316,300163,600234,600671,600847,603608,603879,688309","002486,002494,002513,300329,300877,605178,688011,688069,688638"
2025-04-01,7,7,"002316,300163,600234,600671,600847,603879,688309","002830,301024,301125,603022,603177,688069,688350"
2025-04-15,5,5,"002316,300163,600671,600847,688309","002828,301037,301198,688156,688350"
2025-04-29,5,5,"002316,300163,600671,600847,688309","001259,301125,605287,688189,688395"
2025-05-13,6,6,"002316,300163,300391,600671,600847,688309","002513,002828,301125,600149,603272,688013"
2025-05-27,5,5,"002316,300163,300391,600847,688309","000692,002205,605287,688038,688619"
2025-06-10,4,4,"002316,300391,600847,688309","000692,002634,688038,688328"
2025-06-24,4,4,"300391,600234,600847,688309","300935,301231,603073,605567"
2025-07-08,3,3,"300391,600847,688309","000692,300329,603073"
2025-07-22,4,4,"002316,300391,600847,688309","001231,300935,603903,688679"
2025-08-05,4,4,"002316,300391,600847,688309","001231,300931,600149,688156"
2025-08-19,3,3,"300391,600847,688309","000637,603860,605567"
2025-09-02,3,3,"300391,600847,688309","300668,688178,688193"
2025-09-16,3,3,"300391,600847,688309","300635,301105,688156"
2025-09-30,3,3,"300391,600847,688309","002780,002800,003011"
2025-10-14,3,3,"300391,600847,688309","002780,300334,300649"
2025-10-28,3,3,"300391,600847,688309","002800,300069,300849"
2025-11-11,3,3,"300391,600847,688309","002800,600671,688485"
2025-11-25,3,3,"300391,600847,688309","001259,301390,688638"
2025-12-09,3,3,"300391,600847,688309","300246,301336,688355"
2025-12-23,3,3,"300391,600847,688309","002188,301163,603073"
2026-01-06,3,3,"300391,600847,688309","603183,605122,688058"
2026-01-20,3,3,"300391,600847,688309","600202,603073,603879"
2026-02-03,1,1,600847,605122
2026-02-24,1,1,600847,301336
2026-03-10,1,1,600847,688420
