date,baseline_v1.1,old_best_mild,best_v1.1_scan
2019-01-16,2.182154084622749,2.16075985855975,2.1471530211965826
2019-01-17,2.1736472499045556,2.1523364263594282,2.138782633424838
2019-01-18,2.1679436016941427,2.14668869772869,2.133170469933208
2019-01-21,2.1610528623585368,2.139865516424905,2.1263902558837118
2019-01-22,2.1713665453278006,2.150078082215258,2.136538510630327
2019-01-23,2.1770883278119006,2.1557437673280444,2.1421685175276126
2019-01-24,2.1863900713792472,2.1649543149500348,2.151321064061226
2019-01-25,2.166269169956759,2.1450306824173366,2.1315228955528993
2019-01-28,2.1597703624468885,2.138595590370085,2.125128326866241
2019-01-29,2.1597703624468885,2.138595590370085,2.125128326866241
2019-01-30,2.1597703624468885,2.138595590370085,2.125128326866241
2019-01-31,2.1597703624468885,2.138595590370085,2.125128326866241
2019-02-01,2.1597703624468885,2.138595590370085,2.125128326866241
2019-02-11,2.1597703624468885,2.138595590370085,2.125128326866241
2019-02-12,2.1597703624468885,2.138595590370085,2.125128326866241
2019-02-13,2.1597703624468885,2.138595590370085,2.125128326866241
2019-02-14,2.1597703624468885,2.138595590370085,2.125128326866241
2019-02-15,2.1597703624468885,2.138595590370085,2.125128326866241
2019-02-18,2.1597703624468885,2.138595590370085,2.125128326866241
2019-02-19,2.1597703624468885,2.138595590370085,2.125128326866241
2019-02-20,2.1597703624468885,2.138595590370085,2.125128326866241
2019-02-21,2.1597703624468885,2.138595590370085,2.125128326866241
2019-02-22,2.1597703624468885,2.138595590370085,2.125128326866241
2019-02-25,2.1597703624468885,2.138595590370085,2.125128326866241
2019-02-26,2.1597703624468885,2.138595590370085,2.125128326866241
2019-02-27,2.1597703624468885,2.138595590370085,2.125128326866241
2019-02-28,2.1597703624468885,2.138595590370085,2.125128326866241
2019-03-01,2.1597703624468885,2.138595590370085,2.125128326866241
2019-03-04,2.14386167380737,2.1228428733384,2.109474808576068
2019-03-05,2.127271991821573,2.1064158395401065,2.093151219858155
2019-03-06,2.120890175846108,2.100096592021486,2.0868717661985805
2019-03-07,2.120890175846108,2.100096592021486,2.0868717661985805
2019-03-08,2.120890175846108,2.100096592021486,2.0868717661985805
2019-03-11,2.120890175846108,2.100096592021486,2.0868717661985805
2019-03-12,2.120890175846108,2.100096592021486,2.0868717661985805
2019-03-13,2.120890175846108,2.100096592021486,2.0868717661985805
2019-03-14,2.120890175846108,2.100096592021486,2.0868717661985805
2019-03-15,2.120890175846108,2.100096592021486,2.0868717661985805
2019-03-18,2.120890175846108,2.100096592021486,2.0868717661985805
2019-03-19,2.120890175846108,2.100096592021486,2.0868717661985805
2019-03-20,2.1225763865559126,2.101766270822124,2.088530930620307
2019-03-21,2.1283864542324413,2.1075193755636388,2.094247806643373
2019-03-22,2.129957770230431,2.109075286100614,2.0957939192282327
2019-03-25,2.1504481165608835,2.1293647414378083,2.115955606864695
2019-03-26,2.159683304827502,2.1385093862790554,2.1250426656236177
2019-03-27,2.1634285136007474,2.142217876360567,2.1287278024291036
2019-03-28,2.1758134341468676,2.1544813729468473,2.140914072754959
2019-03-29,2.1610836825813995,2.1398960344808318,2.1264205817599184
2019-04-01,2.1504651100011696,2.1293815682713886,2.115972327735557
2019-04-02,2.1561071667448717,2.1349683092890905,2.1215238876681806
2019-04-03,2.1646722831465213,2.143449451768897,2.129951622303557
2019-04-04,2.1682719163565585,2.1470137935358675,2.1334935185319654
2019-04-08,2.18647804606816,2.1650414271194798,2.1514076276638696
2019-04-09,2.2091026565266993,2.1874442218803334,2.173669346504795
2019-04-10,2.223333357807833,2.2015354028396033,2.1876717918246977
2019-04-11,2.2415265897708414,2.2195502651264394,2.2055732100838292
2019-04-12,2.241393348585805,2.2194183302616364,2.2054421060453864
2019-04-15,2.249749563022917,2.2276926188888537,2.213664289437864
2019-04-16,2.2367027650314655,2.214773734021225,2.2008267579721927
2019-04-17,2.2436182239941593,2.2216213925964854,2.207631295153753
2019-04-18,2.262278711644561,2.2400989295129987,2.2259924744663895
2019-04-19,2.2641924062540744,2.2419938619208053,2.227875474017805
2019-04-22,2.2594241040102214,2.2372723089587105,2.223183653838371
2019-04-23,2.25080641178148,2.2287391061145554,2.214704186675591
2019-04-24,2.253189917810502,2.231099243827304,2.217049462019491
2019-04-25,2.2518745702032494,2.2297967921215185,2.2157552121730943
2019-04-26,2.250362599000241,2.2282996445526178,2.214267492511417
2019-04-29,2.2352079051813165,2.213293530042443,2.199355875202671
2019-04-30,2.2438367611837684,2.2218377872086883,2.207846327075751
2019-05-06,2.2547176232849604,2.2326119714060635,2.2185526635798647
2019-05-07,2.2760166299734204,2.2537021588515462,2.2395100409171844
2019-05-08,2.2953039798955666,2.2728004121708,2.2584880278283936
2019-05-09,2.3358859214109127,2.312984481126654,2.298419047798398
2019-05-10,2.317609018656464,2.294886768371672,2.2804353008009377
2019-05-13,2.340927198051745,2.3179763321962765,2.3033794639515603
2019-05-14,2.3499017343503397,2.32686288054767,2.3122100515178357
2019-05-15,2.345599925048392,2.3226032469478577,2.3079772418806166
2019-05-16,2.3534689492639886,2.330395121852986,2.3157200494291073
2019-05-17,2.35019053358392,2.3271488483422913,2.3124942185027755
2019-05-20,2.3793352320159857,2.3560078069766095,2.3411714451620886
2019-05-21,2.3743127079096484,2.3510345245883046,2.3362294807586816
2019-05-22,2.374746917980686,2.3514644775867164,2.3366567262370976
2019-05-23,2.3706202771162985,2.347378295042003,2.3325962753909355
2019-05-24,2.381254904410849,2.357908658562497,2.343060326617062
2019-05-27,2.3809700721319125,2.357626618829792,2.342780062958065
2019-05-28,2.3831205201462153,2.3597559834699746,2.3448960184643113
2019-05-29,2.400287947583351,2.3767550984006296,2.3617880857787017
2019-05-30,2.407022047902373,2.383423176404559,2.3684141732520474
2019-05-31,2.4154539593677824,2.3917724199129684,2.376710839516357
2019-06-03,2.4103853545332936,2.386753508580152,2.3717235335051474
