symbol,exists,date_min,date_max,need_backfill
300536,True,2025-01-02,2026-04-10,True
300549,True,2025-01-02,2026-04-10,True
300556,True,2025-01-02,2026-04-10,True
300591,True,2025-01-02,2026-04-10,True
300594,True,2025-01-02,2026-04-10,True
300606,False,,,True
300611,False,,,True
300614,True,2025-01-02,2026-04-10,True
300621,True,2025-01-02,2026-04-10,True
300626,False,,,True
300635,True,2025-01-02,2026-04-10,True
300637,True,2025-01-02,2026-04-10,True
300640,True,2025-01-02,2026-04-10,True
300644,False,,,True
300649,True,2025-01-02,2026-04-10,True
300665,True,2025-01-02,2026-04-10,True
300668,False,,,True
300669,False,,,True
300670,True,2025-01-02,2026-04-10,True
300675,True,2025-01-02,2026-04-10,True
300703,False,,,True
300710,True,2025-01-02,2026-04-10,True
300717,True,2025-01-02,2026-04-10,True
300721,True,2025-01-02,2026-04-10,True
300736,True,2025-01-02,2026-04-10,True
300743,True,2025-01-02,2026-04-10,True
300749,False,,,True
300789,False,,,True
300807,False,,,True
300816,False,,,True
300823,True,2025-01-02,2026-04-10,True
300836,False,,,True
300838,True,2025-01-02,2026-04-10,True
300844,False,,,True
300845,True,2025-01-02,2026-04-10,True
300849,False,,,True
300854,True,2025-01-02,2026-04-10,True
300865,True,2025-01-02,2026-04-10,True
300877,False,,,True
300883,True,2025-01-02,2026-04-10,True
300886,True,2025-01-02,2026-04-10,True
300906,True,2025-01-02,2026-04-10,True
300912,True,2025-01-02,2026-04-10,True
300920,False,,,True
300923,True,2025-01-02,2026-04-10,True
300929,True,2025-01-02,2026-04-10,True
300931,False,,,True
300935,True,2025-01-02,2026-04-10,True
300948,False,,,True
300955,False,,,True
300958,True,2025-01-02,2026-04-10,True
300961,True,2025-01-02,2026-04-10,True
300970,False,,,True
300984,False,,,True
300992,False,,,True
300995,True,2025-01-02,2026-04-10,True
301001,True,2025-01-02,2026-04-10,True
301010,True,2025-01-02,2026-04-10,True
301024,True,2025-01-02,2026-04-10,True
301027,False,,,True
301030,True,2025-01-02,2026-04-10,True
301036,True,2025-01-02,2026-04-10,True
301037,True,2025-01-02,2026-04-10,True
301040,True,2025-01-02,2026-04-10,True
301043,False,,,True
301049,True,2025-01-02,2026-04-10,True
301052,False,,,True
301057,False,,,True
301070,False,,,True
301075,False,,,True
301079,False,,,True
301098,True,2025-01-02,2026-04-10,True
301105,False,,,True
301113,True,2025-01-02,2026-04-10,True
301125,True,2025-01-02,2026-04-10,True
301131,True,2025-01-02,2026-04-10,True
301139,True,2025-01-02,2026-04-10,True
301163,True,2025-01-02,2026-04-10,True
301167,True,2025-01-02,2026-04-10,True
301178,False,,,True
301182,False,,,True
301198,True,2025-01-02,2026-04-10,True
301209,False,,,True
301227,False,,,True
301228,False,,,True
301231,True,2025-01-02,2026-04-10,True
301273,True,2025-01-02,2026-04-10,True
301300,True,2025-01-02,2026-04-10,True
301336,True,2025-01-02,2026-04-10,True
301372,True,2025-01-02,2026-04-10,True
301390,True,2025-01-02,2026-04-10,True
301515,True,2025-01-02,2026-04-10,True
600119,True,2025-01-02,2026-04-10,True
600137,True,2025-01-02,2026-04-10,True
600149,True,2025-01-02,2026-04-10,True
600156,False,,,True
600202,True,2025-01-02,2026-04-10,True
600234,False,,,True
600250,False,,,True
600302,False,,,True
600303,True,2025-01-02,2026-04-10,True
600448,True,2025-01-02,2026-04-10,True
600455,True,2025-01-02,2026-04-10,True
600476,True,2025-01-02,2026-04-10,True
600493,True,2025-01-02,2026-04-10,True
600530,False,,,True
600539,False,,,True
600543,True,2025-01-02,2026-04-10,True
600561,True,2025-01-02,2026-04-10,True
600589,False,,,True
600593,False,,,True
600615,True,2025-01-02,2026-04-10,True
600671,True,2025-01-02,2026-04-10,True
600678,False,,,True
600689,True,2025-01-02,2026-04-10,True
600697,True,2025-01-02,2026-04-10,True
600768,True,2025-01-02,2026-04-10,True
600778,True,2025-01-02,2026-04-10,True
600791,False,,,True
600847,True,2025-01-02,2026-04-10,True
600857,True,2025-01-02,2026-04-10,True
600883,True,2025-01-02,2026-04-10,True
600889,False,,,True
603022,True,2025-01-02,2026-04-10,True
603023,True,2025-01-02,2026-04-10,True
603030,False,,,True
603037,False,,,True
603038,False,,,True
603042,False,,,True
603073,True,2025-01-02,2026-04-10,True
603139,True,2025-01-02,2026-04-10,True
603177,True,2025-01-02,2026-04-10,True
603183,True,2025-01-02,2026-04-10,True
603214,True,2025-01-02,2026-04-10,True
603226,False,,,True
603272,True,2025-01-02,2026-04-10,True
603286,False,,,True
603316,False,,,True
603320,False,,,True
603332,True,2025-01-02,2026-04-10,True
603356,True,2025-01-02,2026-04-10,True
603499,False,,,True
603536,True,2025-01-02,2026-04-10,True
603578,True,2025-01-02,2026-04-10,True
603608,False,,,True
603616,True,2025-01-02,2026-04-10,True
603685,False,,,True
603709,True,2025-01-02,2026-04-10,True
603716,False,,,True
603717,True,2025-01-02,2026-04-10,True
603725,True,2025-01-02,2026-04-10,True
603729,True,2025-01-02,2026-04-10,True
603779,True,2025-01-02,2026-04-10,True
603810,True,2025-01-02,2026-04-10,True
603860,True,2025-01-02,2026-04-10,True
603879,True,2025-01-02,2026-04-10,True
603880,True,2025-01-02,2026-04-10,True
603903,False,,,True
603908,True,2025-01-02,2026-04-10,True
603955,False,,,True
603958,False,,,True
603959,False,,,True
605069,True,2025-01-02,2026-04-10,True
605122,True,2025-01-02,2026-04-10,True
605177,True,2025-01-02,2026-04-10,True
605178,False,,,True
605303,False,,,True
605318,False,,,True
605567,True,2025-01-02,2026-04-10,True
688004,True,2025-01-02,2026-04-10,True
688011,False,,,True
688013,False,,,True
688021,True,2025-01-02,2026-04-10,True
688038,True,2025-01-02,2026-04-10,True
688051,True,2025-01-02,2026-04-10,True
688058,True,2025-01-02,2026-04-10,True
688067,True,2025-01-02,2026-04-10,True
688069,False,,,True
688078,True,2025-01-02,2026-04-10,True
688081,False,,,True
688090,False,,,True
688092,True,2025-01-02,2026-04-10,True
688096,True,2025-01-02,2026-04-10,True
688109,False,,,True
688115,True,2025-01-02,2026-04-10,True
688118,True,2025-01-02,2026-04-10,True
688129,True,2025-01-02,2026-04-10,True
688156,True,2025-01-02,2026-04-10,True
688159,False,,,True
688171,False,,,True
688178,True,2025-01-02,2026-04-10,True
688189,True,2025-01-02,2026-04-10,True
688193,True,2025-01-02,2026-04-10,True
688215,False,,,True
688217,True,2025-01-02,2026-04-10,True
688229,False,,,True
688251,False,,,True
688260,False,,,True
688272,True,2025-01-02,2026-04-10,True
688288,True,2025-01-02,2026-04-10,True
688296,True,2025-01-02,2026-04-10,True
688309,False,,,True
688316,False,,,True
688328,False,,,True
688329,True,2025-01-02,2026-04-10,True
688335,False,,,True
688350,False,,,True
688367,False,,,True
688379,False,,,True
688393,True,2025-01-02,2026-04-10,True
688395,True,2025-01-02,2026-04-10,True
688420,True,2025-01-02,2026-04-10,True
688448,False,,,True
688450,True,2025-01-02,2026-04-10,True
688466,True,2025-01-02,2026-04-10,True
688485,False,,,True
688500,False,,,True
688517,True,2025-01-02,2026-04-10,True
688528,True,2025-01-02,2026-04-10,True
688565,True,2025-01-02,2026-04-10,True
688573,True,2025-01-02,2026-04-10,True
688607,False,,,True
688616,True,2025-01-02,2026-04-10,True
688619,True,2025-01-02,2026-04-10,True
688622,False,,,True
688638,True,2025-01-02,2026-04-10,True
688655,False,,,True
688659,True,2025-01-02,2026-04-10,True
688669,False,,,True
688670,True,2025-01-02,2026-04-10,True
688671,True,2025-01-02,2026-04-10,True
688679,False,,,True
688681,True,2025-01-02,2026-04-10,True
688695,True,2025-01-02,2026-04-10,True
688701,True,2025-01-02,2026-04-10,True
688793,True,2025-01-02,2026-04-10,True
