date,return,holding,signal_on,weight,nav
2017-09-28,-0.0004333400845444643,long_microcap_short_zz1000,False,1.0,3.9134206827349636
2017-09-29,0.0,cash,False,0.0,3.9134206827349636
2017-10-09,0.0,cash,False,0.0,3.9134206827349636
2017-10-10,0.0,cash,False,0.0,3.9134206827349636
2017-10-11,0.0,cash,False,0.0,3.9134206827349636
2017-10-12,0.0,cash,True,0.0,3.9134206827349636
2017-10-13,0.007874157504857504,long_microcap_short_zz1000,True,1.0,3.944235573573586
2017-10-16,-0.011465963666243894,long_microcap_short_zz1000,True,1.0,3.8990111117958848
2017-10-17,0.008956517315140878,long_microcap_short_zz1000,True,1.0,3.9339326723306116
2017-10-18,-0.0047410508648136115,long_microcap_short_zz1000,True,1.0,3.91528169743234
2017-10-19,-0.002960607823740335,long_microcap_short_zz1000,False,1.0,3.9036900838067745
2017-10-20,0.0,cash,False,0.0,3.9036900838067745
2017-10-23,0.0,cash,False,0.0,3.9036900838067745
2017-10-24,0.0,cash,False,0.0,3.9036900838067745
2017-10-25,0.0,cash,False,0.0,3.9036900838067745
2017-10-26,0.0,cash,False,0.0,3.9036900838067745
2017-10-27,0.0,cash,False,0.0,3.9036900838067745
2017-10-30,0.0,cash,False,0.0,3.9036900838067745
2017-10-31,0.0,cash,False,0.0,3.9036900838067745
2017-11-01,0.0,cash,False,0.0,3.9036900838067745
2017-11-02,0.0,cash,False,0.0,3.9036900838067745
2017-11-03,0.0,cash,False,0.0,3.9036900838067745
2017-11-06,0.0,cash,False,0.0,3.9036900838067745
2017-11-07,0.0,cash,True,0.0,3.9036900838067745
2017-11-08,0.0067029617397806555,long_microcap_short_zz1000,True,1.0,3.9298563690824926
2017-11-09,0.0034963499027813264,long_microcap_short_zz1000,True,1.0,3.943596522016479
2017-11-10,0.002787325523150497,long_microcap_short_zz1000,True,1.0,3.954588609255303
2017-11-13,0.0008473327970072945,long_microcap_short_zz1000,True,1.0,3.9579394618825963
2017-11-14,-0.0024326627572663125,long_microcap_short_zz1000,True,1.0,3.94831112995816
2017-11-15,0.002741675001016153,long_microcap_short_zz1000,True,1.0,3.9591361158794
2017-11-16,-0.010810544790853893,long_microcap_short_zz1000,False,1.0,3.9163356975655983
2017-11-17,0.0,cash,False,0.0,3.9163356975655983
2017-11-20,0.0,cash,False,0.0,3.9163356975655983
2017-11-21,0.0,cash,False,0.0,3.9163356975655983
2017-11-22,0.0,cash,False,0.0,3.9163356975655983
2017-11-23,0.0,cash,False,0.0,3.9163356975655983
2017-11-24,0.0,cash,False,0.0,3.9163356975655983
2017-11-27,0.0,cash,False,0.0,3.9163356975655983
2017-11-28,0.0,cash,False,0.0,3.9163356975655983
2017-11-29,0.0,cash,False,0.0,3.9163356975655983
2017-11-30,0.0,cash,False,0.0,3.9163356975655983
2017-12-01,0.0,cash,False,0.0,3.9163356975655983
2017-12-04,0.0,cash,False,0.0,3.9163356975655983
2017-12-05,0.0,cash,False,0.0,3.9163356975655983
2017-12-06,0.0,cash,False,0.0,3.9163356975655983
2017-12-07,0.0,cash,False,0.0,3.9163356975655983
2017-12-08,0.0,cash,False,0.0,3.9163356975655983
2017-12-11,0.0,cash,False,0.0,3.9163356975655983
2017-12-12,0.0,cash,True,0.0,3.9163356975655983
2017-12-13,0.004260116748574483,long_microcap_short_zz1000,True,1.0,3.9330197448638375
2017-12-14,0.0017827859165892804,long_microcap_short_zz1000,True,1.0,3.9400314770746485
2017-12-15,0.0028802534908725867,long_microcap_short_zz1000,False,1.0,3.9513797664906405
2017-12-18,0.0,cash,False,0.0,3.9513797664906405
2017-12-19,0.0,cash,True,0.0,3.9513797664906405
2017-12-20,-0.004126573412174183,long_microcap_short_zz1000,True,1.0,3.9350741078048372
2017-12-21,-0.0036877367775575483,long_microcap_short_zz1000,False,1.0,3.920562590295071
2017-12-22,0.0,cash,False,0.0,3.920562590295071
2017-12-25,0.0,cash,False,0.0,3.920562590295071
2017-12-26,0.0,cash,True,0.0,3.920562590295071
2017-12-27,0.002489305708266965,long_microcap_short_zz1000,True,1.0,3.93032206913071
2017-12-28,0.0035839055923654,long_microcap_short_zz1000,True,1.0,3.944407972374065
2017-12-29,-0.001350330359298135,long_microcap_short_zz1000,True,1.0,3.939081718539511
