pair,lb_a,lb_b,last_3y_annual,last_3y_vol,last_3y_sharpe,last_3y_max_dd,last_3y_calmar,last_3y_total_return,last_3y_win_rate,last_5y_annual,last_5y_vol,last_5y_sharpe,last_5y_max_dd,last_5y_calmar,last_5y_total_return,last_5y_win_rate,full_common_annual,full_common_vol,full_common_sharpe,full_common_max_dd,full_common_calmar,full_common_total_return,full_common_win_rate,entry_exit_cost_sum,rebalance_cost_sum,total_cost_sum,avg_prev_weight,avg_next_weight,last_3y_annual_delta_vs_16,last_3y_sharpe_delta_vs_16,last_3y_maxdd_delta_vs_16,last_5y_annual_delta_vs_16,last_5y_sharpe_delta_vs_16,last_5y_maxdd_delta_vs_16,full_common_annual_delta_vs_16,full_common_sharpe_delta_vs_16,full_common_maxdd_delta_vs_16
16/26,16,26,0.24976461731607835,0.16058250871956706,1.5553662681422813,-0.2411007419620257,1.0359346689833797,0.9499377530476085,0.6486486486486487,0.361203675262741,0.1670362791126325,2.1624264931044204,-0.24110074196202563,1.498144187874926,3.6722266228940823,0.6721311475409836,0.3224259485729981,0.11860724332724408,2.7184338791468807,-0.24110074196202597,1.3373079898019604,88.03989132250763,0.6701030927835051,0.44700000000000006,0.1941899999999941,0.641189999999994,0.7818508074852601,0.7821071520123045,-0.05934202214209572,-0.5139085840182542,-0.1350369736313396,0.0028200723992104493,-0.08474721853782752,-0.1333378628278601,0.0004401478586302243,-0.08445245179210392,-0.1281782682702644
4/16,4,16,0.265020493003729,0.1473682737706884,1.7983551426822892,-0.14244319519210896,1.8605345986960178,1.0221040977611646,0.6756756756756757,0.337447105885732,0.15769917827993482,2.139815245496861,-0.14244319519210905,2.3689942185769337,3.278550328114415,0.6721311475409836,0.31764991185567437,0.11468036598291019,2.7698718009237164,-0.14244319519210882,2.23001113831566,84.3556670191,0.6391752577319587,0.933,0.1833299999999946,1.1163299999999947,0.7570953720276145,0.7573510611096906,-0.044086146454445085,-0.2709197094782463,-0.036379426861422856,-0.020936496977798535,-0.1073584661453868,-0.0346803160579435,-0.004335888858693515,-0.03301453001526822,-0.02952072150034725
16/21,16,21,0.2654394914552365,0.16047609732964957,1.6540749424505967,-0.17051509203632112,1.5566920692198651,1.0241108278268336,0.7027027027027027,0.3545734998161725,0.16606250642901652,2.1351809474689283,-0.17051509203632126,2.079425906421498,3.559557125540877,0.6885245901639344,0.32077197477922414,0.1179036197374369,2.720628726188058,-0.17051509203632162,1.881194039474794,87.20342324873533,0.654639175257732,0.49500000000000005,0.1883099999999938,0.6833099999999939,0.7741935483870968,0.7744495647721454,-0.043667148002937584,-0.4151999097099388,-0.06445132370563501,-0.003810103047358071,-0.1119927641733196,-0.06275221290215571,-0.001213825935143742,-0.08225760475092647,-0.057592618344560045
16/20,16,20,0.2412420299151541,0.15971750451141772,1.5104294964607867,-0.1795384768890005,1.3436787149770786,0.9103798551739288,0.6756756756756757,0.3531922784611303,0.1656223241374224,2.132516134528307,-0.1795384768890005,1.967223319375106,3.5363613768669833,0.6885245901639344,0.3253819195238008,0.11780017318686607,2.7621514529324878,-0.17953847688900124,1.8123241611599865,92.36515576165361,0.6494845360824743,0.49500000000000005,0.1872299999999937,0.6822299999999937,0.7724596877399539,0.7727156385973893,-0.06786460954301998,-0.5588453556997488,-0.07347470855831438,-0.005191324402400221,-0.11465757711394087,-0.07177559775483494,0.003396118809432913,-0.04073487800649689,-0.06661600319723966
16/25,16,25,0.26603235461000163,0.16004178550353076,1.6622680993779124,-0.21259351157771056,1.2513662935228258,1.0269525225954794,0.6756756756756757,0.3514542673086336,0.16531270838528833,2.1259966686258136,-0.21259351157771014,1.6531749473462418,3.5073080523704387,0.6721311475409836,0.3240936048980425,0.11789851677548419,2.748920120133645,-0.21259351157771053,1.5244755237018355,89.93060747265906,0.6649484536082474,0.42300000000000004,0.1932299999999939,0.6162299999999938,0.7801127626858022,0.7803690415171707,-0.04307428484817244,-0.4070067527826231,-0.10652974324702445,-0.006929335554896943,-0.12117704301643428,-0.1048306324435446,0.002107804183674622,-0.05396621080533981,-0.09967103788594896
16/18,16,18,0.2723030007273528,0.15935502194198453,1.7087820478383706,-0.1589588617949018,1.7130407053284917,1.0571716756899292,0.6756756756756757,0.35014687091876895,0.1650502364532055,2.121456342281833,-0.1589588617949019,2.2027514978721294,3.4855513240706983,0.6885245901639344,0.3195198570461837,0.11739406985179628,2.7217716997933574,-0.15895886179490182,2.0100789187736336,86.19698695174586,0.634020618556701,0.525,0.18788999999999412,0.712889999999994,0.7679713481708877,0.7682271680736761,-0.036803638730821264,-0.3604928043221649,-0.052895093464215684,-0.0082367319447616,-0.125717369360415,-0.051195982660736356,-0.0024659436681842006,-0.08111463114562723,-0.046036388103140244
16/24,16,24,0.2544028546119217,0.15918929793414846,1.598115312482627,-0.22988246632174567,1.1066648913356318,0.9716937764814106,0.6756756756756757,0.3520165941877298,0.16595669485354764,2.1211352425304386,-0.22988246632174641,1.531289444646217,3.516691806679936,0.6721311475409836,0.3206907930689096,0.11781633167575412,2.721955339362393,-0.22988246632174605,1.3950206738258462,86.91508734130738,0.6649484536082474,0.44100000000000006,0.1911299999999938,0.6321299999999938,0.7794004611837049,0.7796566743530617,-0.05470378484625238,-0.47115953967790847,-0.12381869799105956,-0.006367008675800756,-0.12603846911180927,-0.12211958718758087,-0.0012950076454583126,-0.08093099157659145,-0.11695999262998448
16/22,16,22,0.26326403760270334,0.15969115566639286,1.6485824559544313,-0.1936203661326542,1.3596918695130165,1.0137062408902278,0.7027027027027027,0.3464876263702479,0.16623257806086994,2.084354525521305,-0.19362036613265454,1.789520561761875,3.4251031613329443,0.6721311475409836,0.3214875780193476,0.11816588343527958,2.7206463377852117,-0.19362036613265446,1.6604016635269034,87.90816724432342,0.6494845360824743,0.477,0.1891499999999939,0.6661499999999939,0.7764404609475032,0.776696542893726,-0.04584260185547073,-0.4206923962061042,-0.0875565978019681,-0.011895976493282667,-0.16281918612094293,-0.085857486998489,-0.0004982226950203117,-0.08223999315377295,-0.08069789244089288
16/19,16,19,0.2499287001429995,0.15905731126201783,1.571312240600419,-0.18279981761010877,1.367226200827339,0.9507046546249864,0.6486486486486487,0.3413098649495907,0.16516549450488308,2.066471970872221,-0.1827998176101084,1.8671236624402248,3.340685340292473,0.6721311475409836,0.3174210213655291,0.1175325586893105,2.700707147919841,-0.18279981761010838,1.736440580277562,83.9244482231202,0.6288659793814433,0.519,0.1876499999999938,0.7066499999999938,0.7699590583418628,0.77021494370522,-0.059177939315174566,-0.49796261156011656,-0.07673604927942267,-0.017073737913939846,-0.1807017407700271,-0.07503693847594287,-0.00456477934883881,-0.10217918301914386,-0.06987734391834681
5/16,5,16,0.2669288633623781,0.15296759662839518,1.7450026623012813,-0.11992596561535267,2.22578039703694,1.0312546886033767,0.7027027027027027,0.32305675889258256,0.16072347049141744,2.010016072355989,-0.1199259656153526,2.693801606974309,3.053303864556992,0.6885245901639344,0.30946379466689367,0.11573106294293174,2.6739907747973737,-0.13667265634938242,2.2642699932296444,76.19721642778676,0.6185567010309279,0.921,0.18152999999999458,1.1025299999999947,0.7568396829455383,0.7570953720276145,-0.04217777609579598,-0.3242721898592542,-0.013862197284666561,-0.035326843970947985,-0.23715763928625888,-0.012163086481187052,-0.012522006047474221,-0.12889555614161097,-0.02375018265762084
