date,return_raw,return,holding,next_holding,signal_on,microcap_close,hedge_close,microcap_ret,hedge_ret,microcap_mom,hedge_mom,momentum_gap,annualized_log_wls_score,log_wls_r2,spread_nav,halflife,signal_score_label,momentum_gap_legacy_note,futures_drag,active_spread_ret,weight,target_vol_execution_scale,momentum_gap_exit_buffer,base_holding,base_next_holding,base_signal_on,gap_peak,gap_decay_ratio,signal_quality_derisk_triggered,execution_scale,signal_quality_execution_scale,signal_quality_next_scale,signal_quality_scale_turnover,signal_quality_scale_cost,signal_quality_derisk_enabled,trade_id,trade_return_net,entry_exit_cost,rebalance_cost,total_cost,return_net,nav_net,overlay_pre_cost_return,target_vol,target_vol_window,target_vol_return,target_vol_return_source,target_vol_realized_vol,target_vol_realtime_snapshot_vol_frozen,target_vol_frozen_lag_days,target_vol_frozen_source_date,latest_realized_vol,target_vol_scale_raw,target_vol_execution_scale_raw,current_execution_scale,next_session_target_scale,raw_next_target_scale,next_session_actionable_scale,target_vol_scale_next_session,target_vol_turnover,target_vol_costed_turnover,scale_change_cost,target_vol_trade_cost,financing_cost,idle_cash_yield,base_trade_cost,base_trade_cost_scale,base_trade_cost_scaled,base_pre_cost_return,base_pre_cost_return_source,embedded_lineage_return_net,embedded_lineage_nav_net,nav,version,base_version,overlay_type,cash_day_yield,cash_day_yield_annual,cash_day_yield_enabled,scale_rebalance_threshold,signal_spread_hedge_ratio,execution_hedge_ratio
2021-07-01,-0.00217362352946904,-0.007806762571240133,long_microcap_short_zz1000,cash,False,54836.28164502101,6969.53,-0.014827450201970738,-0.01611728334062712,-0.1795222694238901,0.0,-0.1795222694238901,-0.1795222694238901,0.2692113987951693,19.731333748479603,3.0,annualized_log_wls_score,counterfactual signal hedge ratio 0.8; score is spread-NAV log-WLS,0.00023999999999999998,-0.0019336235294690404,1.0,1.0,0.13,long_microcap_short_zz1000,cash,False,0.9143954179173576,-0.19632892499917928,False,1.5,1.0,0.0,0.0,0.0,False,55,0.003210245819904145,0.003,0.0,0.003,-0.007806762571240133,39.90711953709509,-0.00217362352946904,0.25,60,-0.0019336235294690404,constructed_microcap_minus_hedge,0.13726126844369,False,0,,0.13726126844369,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.147540983606557e-05,0.0,0.003,1.5,0.0045000000000000005,-0.00217362352946904,overlay_pre_cost_return,-0.005167102658880651,12.802386993848668,37.678818039871224,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,0.0,0.02,True,0.3,0.8,0.8
2021-07-02,0.0,0.0,cash,cash,False,54950.10624066294,6908.93,0.00207571688355479,-0.008694990910434353,-0.10497125911489565,0.0,-0.10497125911489565,-0.10497125911489565,0.10983175025460079,19.904805905051763,3.0,annualized_log_wls_score,counterfactual signal hedge ratio 0.8; score is spread-NAV log-WLS,0.0,0.0,1.0,1.0,0.13,cash,cash,False,,,False,0.0,0.0,0.0,0.0,0.0,False,,,0.0,0.0,0.0,8.196721311470867e-05,39.91039061246698,0.0,0.25,60,0.009031709611902273,constructed_microcap_minus_hedge,0.13817070591085195,False,0,,0.13817070591085195,1.5,1.5,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,overlay_pre_cost_return,0.0,12.802386993848668,37.678818039871224,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,8.19672131147541e-05,0.02,True,0.3,0.8,0.8
2021-07-05,0.0,-0.0044999999999999485,cash,long_microcap_short_zz1000,True,56282.15629594056,7006.7,0.024241082436559536,0.01415125062781053,0.13424341691006422,0.0,0.13424341691006422,0.13424341691006422,0.07321225094270867,20.15720047481438,3.0,annualized_log_wls_score,counterfactual signal hedge ratio 0.8; score is spread-NAV log-WLS,0.0,0.0,1.0,1.0,0.13,cash,long_microcap_short_zz1000,True,0.13424341691006422,,False,0.0,0.0,1.0,0.0,0.0,False,56,-0.0030000000000000027,0.003,0.0,0.003,-0.0044184016393442604,39.73405047715799,0.0,0.25,60,0.012920081934311111,constructed_microcap_minus_hedge,0.1387126397786713,False,0,,0.1387126397786713,1.5,1.5,0.0,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.003,1.5,0.0045000000000000005,0.0,overlay_pre_cost_return,-0.0030000000000000027,12.763979832867122,37.509263358691804,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,8.19672131147541e-05,0.02,True,0.3,0.8,0.8
2021-07-06,0.007396630155639868,0.011032787757318419,long_microcap_short_zz1000,long_microcap_short_zz1000,True,56534.34502162064,6979.06,0.004480793599201061,-0.003944795695548509,0.3673348494337853,0.0,0.3673348494337853,0.3673348494337853,0.2850238058870148,20.30629583169967,3.0,annualized_log_wls_score,counterfactual signal hedge ratio 0.8; score is spread-NAV log-WLS,0.00023999999999999998,0.0076366301556398675,1.0,1.0,0.13,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.3673348494337853,1.0,False,1.5,1.0,1.0,0.0,0.0,False,56,0.004374440265172863,0.0,0.0,0.0,0.011032787757318419,40.17242782281105,0.007396630155639868,0.25,60,0.0076366301556398675,constructed_microcap_minus_hedge,0.13841383739036608,False,0,,0.13841383739036608,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.7,0.0,0.0,0.0,6.147540983606557e-05,0.0,0.0,1.5,0.0,0.007396630155639868,overlay_pre_cost_return,0.0073966301556398495,12.858390271004886,37.92309510026161,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,0.0,0.02,True,0.3,0.8,0.8
2021-07-07,-0.007208589091710565,-0.010873694320948757,long_microcap_short_zz1000,long_microcap_short_zz1000,True,56857.11859377558,7089.66,0.0057093360156821316,0.01584740638424087,0.39417532060311605,0.0,0.39417532060311605,0.39417532060311605,0.36905124922330734,20.159916089074233,3.0,annualized_log_wls_score,counterfactual signal hedge ratio 0.8; score is spread-NAV log-WLS,0.00023999999999999998,-0.006968589091710565,1.0,1.0,0.13,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.39417532060311605,1.0,False,1.5,1.0,1.0,0.0,0.0,False,56,-0.0028656823689154898,0.0,0.0,0.0,-0.010873694320948757,39.735605122535425,-0.007208589091710565,0.25,60,-0.006968589091710565,constructed_microcap_minus_hedge,0.1355132027584384,False,0,,0.1355132027584384,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,6.147540983606557e-05,0.0,0.0,1.5,0.0,-0.007208589091710565,overlay_pre_cost_return,-0.0072085890917105155,12.765699419160363,37.5107309564371,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,0.0,0.02,True,0.3,0.8,0.8
2021-07-08,-0.006130351336068189,-0.010058939401083822,long_microcap_short_zz1000,long_microcap_short_zz1000,True,56584.76403885608,7099.41,-0.0047901575326982915,0.0013752422542123721,0.2997010487147141,0.0,0.2997010487147141,0.2997010487147141,0.27080408073317364,20.036328720542553,3.0,annualized_log_wls_score,counterfactual signal hedge ratio 0.8; score is spread-NAV log-WLS,0.00023999999999999998,-0.005890351336068189,1.0,1.0,0.13,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.39417532060311605,0.7603242340391843,False,1.5,1.0,1.0,0.0,0.0,False,56,-0.009513617693569398,0.0,0.00054,0.00054,-0.010058939401083822,39.33590707854245,-0.006130351336068189,0.25,60,-0.005890351336068189,constructed_microcap_minus_hedge,0.13586645398706226,False,0,,0.13586645398706226,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,6.147540983606557e-05,0.0,0.00054,1.5,0.00081,-0.006130351336068189,overlay_pre_cost_return,-0.006667040946346736,12.680589978424067,37.13341278685594,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,0.0,0.02,True,0.3,0.8,0.8
2021-07-09,0.002018940519051133,0.0029667491959468606,long_microcap_short_zz1000,long_microcap_short_zz1000,True,56989.88998186394,7142.9,0.0071596294495397395,0.006125861163110757,0.26675888480897514,0.0,0.26675888480897514,0.26675888480897514,0.26745457091697533,20.076780876449483,3.0,annualized_log_wls_score,counterfactual signal hedge ratio 0.8; score is spread-NAV log-WLS,0.00023999999999999998,0.002258940519051133,1.0,1.0,0.13,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.39417532060311605,0.6767518686883167,False,1.5,1.0,1.0,0.0,0.0,False,56,-0.007513884602762588,0.0,0.0,0.0,0.0029667491959468606,39.45260684923955,0.002018940519051133,0.25,60,0.002258940519051133,constructed_microcap_minus_hedge,0.13544473030035922,False,0,,0.13544473030035922,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,6.147540983606557e-05,0.0,0.0,1.5,0.0,0.002018940519051133,overlay_pre_cost_return,0.00201894051905116,12.706191335336982,37.24357830938411,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,0.0,0.02,True,0.3,0.8,0.8
2021-07-12,-0.009568921776620238,-0.0144139756946845,long_microcap_short_zz1000,long_microcap_short_zz1000,True,57360.3210325806,7284.23,0.006499943250189544,0.019786081283512225,0.08397634773050339,0.0,0.08397634773050339,0.08397634773050339,0.027123295139940717,19.88466773071639,3.0,annualized_log_wls_score,counterfactual signal hedge ratio 0.8; score is spread-NAV log-WLS,0.00023999999999999998,-0.009328921776620237,1.0,1.0,0.13,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.39417532060311605,0.2130431392863806,False,1.5,1.0,1.0,0.0,0.0,False,56,-0.017010906605380516,0.0,0.0,0.0,-0.0144139756946845,38.88393793302267,-0.009568921776620238,0.25,60,-0.009328921776620237,constructed_microcap_minus_hedge,0.13665068709181302,False,0,,0.13665068709181302,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,6.147540983606557e-05,0.0,0.0,1.5,0.0,-0.009568921776620238,overlay_pre_cost_return,-0.009568921776620276,12.584606784370372,36.70675027684957,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,0.0,0.02,True,0.3,0.8,0.8
2021-07-13,-0.0006965301449860563,-0.001106206398100995,long_microcap_short_zz1000,long_microcap_short_zz1000,True,57633.368717689234,7331.73,0.004760218914283021,0.006520936324086346,-0.04325654833548619,0.0,-0.04325654833548619,-0.04325654833548619,0.0076327873523686085,19.870817460218916,3.0,annualized_log_wls_score,counterfactual signal hedge ratio 0.8; score is spread-NAV log-WLS,0.00023999999999999998,-0.0004565301449860563,1.0,1.0,0.13,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.39417532060311605,-0.1097393623459242,False,1.5,1.0,1.0,0.0,0.0,False,56,-0.017695588141122376,0.0,0.0,0.0,-0.001106206398100995,38.8409242720978,-0.0006965301449860563,0.25,60,-0.0004565301449860563,constructed_microcap_minus_hedge,0.13658342024626444,False,0,,0.13658342024626444,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,6.147540983606557e-05,0.0,0.0,1.5,0.0,-0.0006965301449860563,overlay_pre_cost_return,-0.0006965301449860517,12.575841226382263,36.66614503483982,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,0.0,0.02,True,0.3,0.8,0.8
2021-07-14,0.0010150196749131718,0.0014609605044080265,long_microcap_short_zz1000,long_microcap_short_zz1000,True,57152.86437465286,7243.82,-0.008337259364276761,-0.011990348798987416,-0.10834437324018183,0.0,-0.10834437324018183,-0.10834437324018183,0.05573585904274103,19.890986730897648,3.0,annualized_log_wls_score,counterfactual signal hedge ratio 0.8; score is spread-NAV log-WLS,0.00023999999999999998,0.0012550196749131718,1.0,1.0,0.13,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.39417532060311605,-0.27486341122119795,False,1.5,1.0,1.0,0.0,0.0,False,56,-0.016698529836331577,0.0,0.0,0.0,0.0014609605044080265,38.89766932841404,0.0010150196749131718,0.25,60,0.0012550196749131718,constructed_microcap_minus_hedge,0.13643481239598937,False,0,,0.13643481239598937,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,6.147540983606557e-05,0.0,0.0,1.5,0.0,0.0010150196749131718,overlay_pre_cost_return,0.0010150196749132423,12.588605952655627,36.71971282458462,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,0.0,0.02,True,0.3,0.8,0.8
2021-07-15,-0.01667219931210218,-0.029455429916139364,long_microcap_short_zz1000,cash,False,56199.83092868938,7241.62,-0.01667516504012967,-0.00030370716003436105,-0.37487851406341405,0.0,-0.37487851406341405,-0.37487851406341405,0.2843472891297393,19.55936023560574,3.0,annualized_log_wls_score,counterfactual signal hedge ratio 0.8; score is spread-NAV log-WLS,0.00023999999999999998,-0.01643219931210218,1.0,1.0,0.13,long_microcap_short_zz1000,cash,False,0.39417532060311605,-0.9510451174107589,False,1.5,1.0,0.0,0.0,0.0,False,56,-0.0359930509469909,0.003,0.0,0.003,-0.029455429916139364,37.75192175560978,-0.01667219931210218,0.25,60,-0.01643219931210218,constructed_microcap_minus_hedge,0.13718125007310167,False,0,,0.13718125007310167,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.147540983606557e-05,0.0,0.003,1.5,0.0045000000000000005,-0.01667219931210218,overlay_pre_cost_return,-0.019622182714165826,12.341590026535982,35.638117896939306,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,0.0,0.02,True,0.3,0.8,0.8
2021-07-16,0.0,0.0,cash,cash,False,56081.97235373097,7228.36,-0.002097133977288279,-0.0018310819954651114,-0.5394045744851252,0.0,-0.5394045744851252,-0.5394045744851252,0.47019171562571616,19.542299224121273,3.0,annualized_log_wls_score,counterfactual signal hedge ratio 0.8; score is spread-NAV log-WLS,0.0,0.0,1.0,1.0,0.13,cash,cash,False,,,False,0.0,0.0,0.0,0.0,0.0,False,,,0.0,0.0,0.0,8.196721311470867e-05,37.75501617542581,0.0,0.25,60,-0.0006322683809161899,constructed_microcap_minus_hedge,0.13580423295120836,False,0,,0.13580423295120836,1.5,1.5,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,overlay_pre_cost_return,0.0,12.341590026535982,35.638117896939306,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,8.19672131147541e-05,0.02,True,0.3,0.8,0.8
2021-07-19,0.0,0.0,cash,cash,False,55763.5695711,7205.27,-0.005677453364562046,-0.003194362206641488,-0.6525439184340273,0.0,-0.6525439184340273,-0.6525439184340273,0.6025277532323763,19.47659872548415,3.0,annualized_log_wls_score,counterfactual signal hedge ratio 0.8; score is spread-NAV log-WLS,0.0,0.0,1.0,1.0,0.13,cash,cash,False,,,False,0.0,0.0,0.0,0.0,0.0,False,,,0.0,0.0,0.0,8.196721311470867e-05,37.75811084888281,0.0,0.25,60,-0.0031219635992488556,constructed_microcap_minus_hedge,0.13595530125171953,False,0,,0.13595530125171953,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,overlay_pre_cost_return,0.0,12.341590026535982,35.638117896939306,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,8.19672131147541e-05,0.02,True,0.3,0.8,0.8
2021-07-20,0.0,0.0,cash,cash,False,55842.51570740577,7253.28,0.0014157296047039303,0.006663178479085374,-0.7534941222211748,0.0,-0.7534941222211748,-0.7534941222211748,0.7157864472398616,19.395677096425896,3.0,annualized_log_wls_score,counterfactual signal hedge ratio 0.8; score is spread-NAV log-WLS,0.0,0.0,1.0,1.0,0.13,cash,cash,False,,,False,0.0,0.0,0.0,0.0,0.0,False,,,0.0,0.0,0.0,8.196721311470867e-05,37.76120577600157,0.0,0.25,60,-0.0039148131785643695,constructed_microcap_minus_hedge,0.1359828495927487,False,0,,0.1359828495927487,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,overlay_pre_cost_return,0.0,12.341590026535982,35.638117896939306,2.3,embedded_v2_base,spread_nav_log_wls_gap_target_vol,8.19672131147541e-05,0.02,True,0.3,0.8,0.8
