candidate,version,lookback,halflife,exit_buffer,target_vol,vol_window,max_leverage,scale_threshold,execution_hedge_ratio,signal_spread_hedge_ratio,financing_rate,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,final_nav,holding_days,holding_day_ratio,avg_execution_scale,max_execution_scale,cap_clipped_days,cap_clipped_ratio,avg_target_vol_turnover,cost_total,cost_days
v2_3_tv18,v2.3,17,4.0,0.13,0.18,60,1.5,0.3,0.8,1.0,0.03,last_5y,2021-05-20,2026-05-20,1200,0.27091521142032904,0.15396377081509288,1.7596036391294434,-0.1158870222522349,3.3152144356552915,898,0.7483333333333333,0.7719920875934931,1.5,77,0.06416666666666666,0.0016423847788169749,0.4365489508983278,584
v2_3_tv18,v2.3,17,4.0,0.13,0.18,60,1.5,0.3,0.8,1.0,0.03,last_3y,2023-05-22,2026-05-20,714,0.2920993600951498,0.14110725259784884,2.0700520683201424,-0.10397521158263423,2.1545396404901362,544,0.7619047619047619,0.7106390111370412,1.4152696918115593,40,0.056022408963585436,0.0015522141197529661,0.23850746530155859,256
v2_3_tv18,v2.3,17,4.0,0.13,0.18,60,1.5,0.3,0.8,1.0,0.03,last_1y,2025-05-20,2026-05-20,232,0.12752271246060798,0.13869050194513366,0.9194768976397267,-0.10397521158263423,1.1274300888958435,145,0.625,0.6030870348511994,1.2365957895957385,0,0.0,0.0024030165783009753,0.08582650336550032,52
v2_3_tv20,v2.3,17,4.0,0.13,0.2,60,1.5,0.3,0.8,1.0,0.03,full,2010-05-05,2026-05-20,3884,0.35753907265555807,0.14089818277058525,2.5375705039270393,-0.16242975105649005,134.73773863245367,2828,0.7281153450051493,0.9881629797363276,1.5,2432,0.6261585993820803,0.0007603861810491373,1.5617205805811452,2729
v2_3_tv20,v2.3,17,4.0,0.13,0.2,60,1.5,0.3,0.8,1.0,0.03,last_10y,2016-05-20,2026-05-20,2416,0.3110237179084234,0.1524063074255208,2.0407535827243706,-0.12973568415056824,14.99493150686752,1761,0.7288907284768212,0.9449192941194207,1.5,1130,0.46771523178807944,0.0007718412429858508,0.9800788571168146,1669
v2_3_tv20,v2.3,17,4.0,0.13,0.2,60,1.5,0.3,0.8,1.0,0.03,last_5y,2021-05-20,2026-05-20,1200,0.29873299031574185,0.16983954907212315,1.7589129972835922,-0.12833837688128324,3.6942107080315654,898,0.7483333333333333,0.8498412726722304,1.5,193,0.16083333333333333,0.0015539737025448462,0.4663181599225301,784
v2_3_tv20,v2.3,17,4.0,0.13,0.2,60,1.5,0.3,0.8,1.0,0.03,last_3y,2023-05-22,2026-05-20,714,0.3268460782269962,0.15650237761412614,2.088441614816046,-0.11427662804899175,2.3327767211339543,544,0.7619047619047619,0.7878444845421569,1.5,107,0.14985994397759103,0.001689559205838285,0.253967870159171,420
v2_3_tv20,v2.3,17,4.0,0.13,0.2,60,1.5,0.3,0.8,1.0,0.03,last_1y,2025-05-20,2026-05-20,232,0.1426270374102132,0.1542293948735226,0.9247720742675284,-0.1142766280489923,1.1425227666737592,145,0.625,0.6712618171861282,1.3600631391607367,4,0.017241379310344827,0.0025619239000665237,0.09104010096782895,135
v2_3_tv22,v2.3,17,4.0,0.13,0.22,60,1.5,0.3,0.8,1.0,0.03,full,2010-05-05,2026-05-20,3884,0.37117256079185745,0.1474163513733867,2.517852038351736,-0.16242975105649005,158.16263321741314,2828,0.7281153450051493,1.0143603783101758,1.5,2825,0.7273429454170958,0.0006348210604360565,1.5939706313250372,2736
v2_3_tv22,v2.3,17,4.0,0.13,0.22,60,1.5,0.3,0.8,1.0,0.03,last_10y,2016-05-20,2026-05-20,2416,0.3245133428201725,0.16067192328613727,2.0197265096668664,-0.14066622625018643,16.61101958518965,1761,0.7288907284768212,0.9796010991475618,1.5,1488,0.6158940397350994,0.0005492466060701113,1.0089248519364928,1676
v2_3_tv22,v2.3,17,4.0,0.13,0.22,60,1.5,0.3,0.8,1.0,0.03,last_5y,2021-05-20,2026-05-20,1200,0.322642158991002,0.1829657266119243,1.7634021680756393,-0.140666226250187,4.046957890514464,898,0.7483333333333333,0.9092806365719738,1.5,393,0.3275,0.0011058165002211574,0.48975511480590117,791
v2_3_tv22,v2.3,17,4.0,0.13,0.22,60,1.5,0.3,0.8,1.0,0.03,last_3y,2023-05-22,2026-05-20,714,0.3615960887491725,0.17153541096451638,2.107996749568938,-0.12519829193785348,2.520592433506369,544,0.7619047619047619,0.8622171682904902,1.5,191,0.26750700280112044,0.0018585151264221135,0.27044781167393195,427
v2_3_tv22,v2.3,17,4.0,0.13,0.22,60,1.5,0.3,0.8,1.0,0.03,last_1y,2025-05-20,2026-05-20,232,0.15458493512414262,0.16963617205158857,0.911273422729271,-0.12519829193785348,1.154471346532621,145,0.625,0.7383879989047412,1.4960694530768104,30,0.12931034482758622,0.002818116290073176,0.09728401966181628,142
v2_3_tv25,v2.3,17,4.0,0.13,0.25,60,1.5,0.3,0.8,1.0,0.03,full,2010-05-05,2026-05-20,3884,0.38440325858222213,0.15328590255478905,2.5077534996724484,-0.16242975105649005,184.5028780385117,2828,0.7281153450051493,1.0373758115206089,1.5,3012,0.7754891864057673,0.0003403895249606843,1.6253685423564248,2784
v2_3_tv25,v2.3,17,4.0,0.13,0.25,60,1.5,0.3,0.8,1.0,0.03,last_10y,2016-05-20,2026-05-20,2416,0.34040766194312133,0.16887000733177918,2.015797046033887,-0.13651736012160431,18.71521577850025,1761,0.7288907284768212,1.0135213791167406,1.5,1657,0.6858443708609272,0.0005472156104914313,1.0400232964547924,1724
v2_3_tv25,v2.3,17,4.0,0.13,0.25,60,1.5,0.3,0.8,1.0,0.03,last_5y,2021-05-20,2026-05-20,1200,0.3507469002754886,0.1957933513279399,1.7914137425842032,-0.1344110198826144,4.495526115281683,898,0.7483333333333333,0.9674608168596808,1.5,491,0.4091666666666667,0.0011017274291227482,0.515750550257386,839
v2_3_tv25,v2.3,17,4.0,0.13,0.25,60,1.5,0.3,0.8,1.0,0.03,last_3y,2023-05-22,2026-05-20,714,0.39460290608011794,0.18564337450152832,2.125596494567434,-0.12981459317619304,2.7080682185349687,544,0.7619047619047619,0.9217864173906988,1.5,209,0.2927170868347339,0.001071391680940304,0.28593342734984684,475
v2_3_tv25,v2.3,17,4.0,0.13,0.25,60,1.5,0.3,0.8,1.0,0.03,last_1y,2025-05-20,2026-05-20,232,0.1671704555598097,0.1814436901081563,0.9213351837154629,-0.1282089738728872,1.1670469685836127,145,0.625,0.7857038568979411,1.2880299648955043,38,0.16379310344827586,0.0,0.10274453547824873,150
v2_3_tv28,v2.3,17,4.0,0.13,0.28,60,1.5,0.3,0.8,1.0,0.03,full,2010-05-05,2026-05-20,3884,0.3916949374600067,0.15930203377706145,2.458819439858328,-0.16242975105649005,200.7242257634492,2828,0.7281153450051493,1.058997221669116,1.5,3224,0.8300720906282183,0.00036471172195552356,1.6558761599030771,2784
v2_3_tv28,v2.3,17,4.0,0.13,0.28,60,1.5,0.3,0.8,1.0,0.03,last_10y,2016-05-20,2026-05-20,2416,0.3517521448141494,0.17760364807328882,1.9805457186836475,-0.16165670984542646,20.360642809871162,1761,0.7288907284768212,1.0482803017230324,1.5,1824,0.7549668874172185,0.0005863163609583003,1.070530914001445,1724
v2_3_tv28,v2.3,17,4.0,0.13,0.28,60,1.5,0.3,0.8,1.0,0.03,last_5y,2021-05-20,2026-05-20,1200,0.3693069461131575,0.20992034890406108,1.7592717811360925,-0.16165670984542624,4.8129419809209715,898,0.7483333333333333,1.0317876741357055,1.5,641,0.5341666666666667,0.0011804502733960447,0.544077635312923,839
v2_3_tv28,v2.3,17,4.0,0.13,0.28,60,1.5,0.3,0.8,1.0,0.03,last_3y,2023-05-22,2026-05-20,714,0.4240174412343809,0.20263500441431792,2.0925182322764586,-0.14449602732008227,2.8827726765380226,544,0.7619047619047619,0.9917376748538058,1.5,259,0.3627450980392157,0.0019839500393210832,0.30608697919299976,475
v2_3_tv28,v2.3,17,4.0,0.13,0.28,60,1.5,0.3,0.8,1.0,0.03,last_1y,2025-05-20,2026-05-20,232,0.18404323056199967,0.20319417984206173,0.9057505028197773,-0.14316281520626373,1.183906327867923,145,0.625,0.879988319725694,1.4425935606829647,57,0.24568965517241378,0.0,0.11192122399793371,150
v2_3_tv30,v2.3,17,4.0,0.13,0.3,60,1.5,0.3,0.8,1.0,0.03,full,2010-05-05,2026-05-20,3884,0.39395092834677214,0.16077300616581536,2.4503549304817107,-0.16242975105649005,206.00781146363187,2828,0.7281153450051493,1.0642298356714186,1.5,3442,0.8861997940267765,0.00029954537325557116,1.6638238353624208,2810
v2_3_tv30,v2.3,17,4.0,0.13,0.3,60,1.5,0.3,0.8,1.0,0.03,last_10y,2016-05-20,2026-05-20,2416,0.35526933390797977,0.17972393614078724,1.976750240044145,-0.16165670984542646,20.896588088960396,1761,0.7288907284768212,1.0566923351605089,1.5,2034,0.8418874172185431,0.00048155390303172125,1.0784785894607887,1750
v2_3_tv30,v2.3,17,4.0,0.13,0.3,60,1.5,0.3,0.8,1.0,0.03,last_5y,2021-05-20,2026-05-20,1200,0.3764419480612655,0.21352149233404236,1.7630166591021352,-0.16165670984542624,4.939631180141858,898,0.7483333333333333,1.0487239014564915,1.5,841,0.7008333333333333,0.000969528524770532,0.5520253107722666,865
v2_3_tv30,v2.3,17,4.0,0.13,0.3,60,1.5,0.3,0.8,1.0,0.03,last_3y,2023-05-22,2026-05-20,714,0.4368168585770138,0.2087359380611623,2.092676817582897,-0.15079368847330998,2.9610797028883833,544,0.7619047619047619,1.0188636999268765,1.5,412,0.5770308123249299,0.0016294597054966925,0.3136630156903004,501
v2_3_tv30,v2.3,17,4.0,0.13,0.3,60,1.5,0.3,0.8,1.0,0.03,last_1y,2025-05-20,2026-05-20,232,0.1908285235503444,0.214002094957464,0.8917133432187864,-0.1507936884733101,1.190686179305726,145,0.625,0.9242390257096896,1.5,153,0.6594827586206896,0.0,0.11650174564373506,150
v2_3_tv32,v2.3,17,4.0,0.13,0.32,60,1.5,0.3,0.8,1.0,0.03,full,2010-05-05,2026-05-20,3884,0.3944572500793557,0.16157333205115545,2.441351212305675,-0.16242975105649005,207.2114131549419,2828,0.7281153450051493,1.0673446431164544,1.5,3587,0.9235324407826982,0.0003195150648059427,1.669351129304616,2810
v2_3_tv32,v2.3,17,4.0,0.13,0.32,60,1.5,0.3,0.8,1.0,0.03,last_10y,2016-05-20,2026-05-20,2416,0.3560591847486212,0.18087469056249506,1.9685406711205797,-0.16165670984542646,21.018676511665266,1761,0.7288907284768212,1.061699749116022,1.5,2179,0.9019039735099338,0.0005136574965671695,1.0840058834029838,1750
v2_3_tv32,v2.3,17,4.0,0.13,0.32,60,1.5,0.3,0.8,1.0,0.03,last_5y,2021-05-20,2026-05-20,1200,0.3780467960540277,0.21546903209241883,1.7545296063328308,-0.16165670984542624,4.968491000556556,898,0.7483333333333333,1.0588054948869243,1.5,963,0.8025,0.0010341637597552347,0.5575526047144617,865
v2_3_tv32,v2.3,17,4.0,0.13,0.32,60,1.5,0.3,0.8,1.0,0.03,last_3y,2023-05-22,2026-05-20,714,0.4396141017296722,0.2120722434633993,2.072945023593073,-0.15554565625892758,2.9783798261855456,544,0.7619047619047619,1.0358075544318055,1.5,480,0.6722689075630253,0.0017380903525298062,0.3191903096324955,501
v2_3_tv32,v2.3,17,4.0,0.13,0.32,60,1.5,0.3,0.8,1.0,0.03,last_1y,2025-05-20,2026-05-20,232,0.184160363282168,0.21663755705849663,0.8500851181240051,-0.1555456562589278,1.1840233668771785,145,0.625,0.9319756504121747,1.5,196,0.8448275862068966,0.0,0.11805216803091312,150
v2_3_tv35,v2.3,17,4.0,0.13,0.35,60,1.5,0.3,0.8,1.0,0.03,full,2010-05-05,2026-05-20,3884,0.3953980960536212,0.16232291147041578,2.435873608179364,-0.16242975105649005,209.4654723025914,2828,0.7281153450051493,1.070103887153591,1.5,3650,0.9397528321318228,0.00014503233333209315,1.6729132382048446,2811
v2_3_tv35,v2.3,17,4.0,0.13,0.35,60,1.5,0.3,0.8,1.0,0.03,last_10y,2016-05-20,2026-05-20,2416,0.3575273441927185,0.18195129824562262,1.9649617652635785,-0.16165670984542646,21.2473190335286,1761,0.7288907284768212,1.0661355536856572,1.5,2242,0.9279801324503312,0.0002331562842143418,1.0875679923032124,1751
v2_3_tv35,v2.3,17,4.0,0.13,0.35,60,1.5,0.3,0.8,1.0,0.03,last_5y,2021-05-20,2026-05-20,1200,0.3810323407291043,0.21728582835381643,1.7535995955919037,-0.16165670984542624,5.022538566852742,898,0.7483333333333333,1.067736248087123,1.5,1026,0.855,0.00046942131888487486,0.5611147136146903,866
v2_3_tv35,v2.3,17,4.0,0.13,0.35,60,1.5,0.3,0.8,1.0,0.03,last_3y,2023-05-22,2026-05-20,714,0.4448236941038899,0.21516292850660945,2.067380738825674,-0.15819446708609342,3.0107788344745763,544,0.7619047619047619,1.0508172236758369,1.5,540,0.7563025210084033,0.0007889433930838233,0.3227524185327241,502
v2_3_tv35,v2.3,17,4.0,0.13,0.35,60,1.5,0.3,0.8,1.0,0.03,last_1y,2025-05-20,2026-05-20,232,0.18044345211100965,0.21808884397549413,0.8273850639113179,-0.15819446708609297,1.1803094255172386,145,0.625,0.9375,1.5,232,1.0,0.0,0.11916393442622851,150
