asset,short_w,long_w,low_ratio,high_ratio,front_dte,back_dte,front_iv_mult,back_iv_mult,annual,vol,sharpe,max_dd,total,active_days,long_days,short_days,trades
QQQ,10,60,0.85,1.1,21,63,1.15,1.0,0.23781205937673877,0.08208188103718919,2.897254014792768,-0.08618527528176181,53.888563817025826,3353,1445,1908,683
SPY,10,60,0.85,1.1,21,63,1.2,1.05,0.24079684024429726,0.08325146899026716,2.892403499479974,-0.0952065604207892,56.427339543374124,3522,1485,2037,670
SPY,10,40,0.9,1.1,21,63,1.2,1.05,0.2326785812685701,0.08057936523821807,2.887570292725671,-0.07863007261900977,49.768902641780514,3622,1463,2159,742
SPY,10,60,0.9,1.15,21,63,1.2,1.05,0.24065642509065754,0.08368536163962072,2.875729044788152,-0.09520656042078933,56.3054552633224,3591,1296,2295,634
SPY,20,60,0.9,1.15,21,63,1.2,1.05,0.1264900813065648,0.044015497491567995,2.8737623908669074,-0.06305860061830572,8.356638092013624,3088,1149,1939,446
QQQ,10,40,0.85,1.1,21,63,1.2,1.0,0.23496270187332868,0.08245051466162656,2.8497420887862948,-0.06966335899726772,51.56440573091403,3267,1502,1765,773
SPY,10,40,0.85,1.1,30,90,1.2,1.05,0.25888984010294713,0.09132120368331634,2.8349367908106564,-0.09493577958820329,74.36167993125521,3304,1463,1841,775
QQQ,20,60,0.85,1.1,21,63,1.2,1.0,0.13584438838183366,0.048040692138534576,2.8276942386695896,-0.0893813687577256,9.928116197935953,2988,1453,1535,487
QQQ,10,40,0.9,1.15,21,63,1.2,1.05,0.2335270495587003,0.08276379794966343,2.821608666396996,-0.09337248475588017,50.42897966100747,3326,1255,2071,739
QQQ,10,40,0.9,1.1,21,63,1.2,1.0,0.23942125615098564,0.08488557162158006,2.820517687249911,-0.09489513289194706,55.243796031383596,3573,1502,2071,769
QQQ,20,60,0.85,1.1,21,63,1.15,1.0,0.12976879415096354,0.04602506596710897,2.8195243488341895,-0.08270236999442791,8.88134772980971,2988,1453,1535,487
QQQ,10,60,0.9,1.15,21,63,1.2,1.05,0.24487775278868806,0.08685704231379547,2.819319496328212,-0.09264737311813677,60.07882222808642,3454,1252,2202,699
QQQ,10,40,0.85,1.1,21,63,1.15,1.0,0.22024571817303218,0.07822167141009052,2.8156611103124636,-0.06552789590248391,40.97058294363461,3267,1502,1765,773
QQQ,10,60,0.9,1.1,21,63,1.2,1.0,0.2504036391545794,0.08899056992279133,2.813822176572539,-0.09349226021745244,65.37469111687392,3647,1445,2202,693
SPY,20,60,0.85,1.1,30,90,1.2,1.05,0.1478622377890697,0.05258926802138402,2.811642819005305,-0.07895546263460794,12.315550043392381,3038,1434,1604,459
SPY,10,60,0.9,1.1,21,63,1.2,1.0,0.2389065861330837,0.0851655223965321,2.805203084655908,-0.09737704680268025,54.80694330266893,3780,1485,2295,642
SPY,10,60,0.85,1.1,21,63,1.2,1.0,0.23362670129422258,0.08337321338298045,2.802179402886184,-0.09737704680268033,50.50703602729154,3522,1485,2037,670
SPY,10,60,0.9,1.1,21,63,1.15,1.0,0.2268527003629779,0.08106144740660971,2.798527630836264,-0.09092663674398113,45.448536991561426,3780,1485,2295,642
QQQ,10,40,0.9,1.1,21,63,1.15,1.0,0.22531681253083358,0.08051378848026423,2.7984872750841165,-0.08911486385106361,44.36892735005153,3573,1502,2071,769
SPY,10,60,0.85,1.1,21,63,1.15,1.0,0.2213814157138041,0.07940235654478067,2.78809629017687,-0.09092663674398135,41.71003283564303,3522,1485,2037,670
SPY,10,60,0.9,1.15,21,63,1.15,1.0,0.22206432743461746,0.07977299304855101,2.783703092341864,-0.09092663674398126,42.16059522791569,3591,1296,2295,634
QQQ,10,60,0.85,1.1,30,90,1.2,1.05,0.2846593728342397,0.10225990875838065,2.7836849875040652,-0.11142617622040535,109.24654795981698,3353,1445,1908,683
SPY,10,60,0.9,1.15,21,63,1.2,1.0,0.23304487694452858,0.08380036541319975,2.780952992214765,-0.09737704680268014,50.0528771744864,3591,1296,2295,634
QQQ,10,60,0.9,1.1,21,63,1.15,1.0,0.23438420403821048,0.08437930521705922,2.77774512879995,-0.0872688214298332,51.1040589603913,3647,1445,2202,693
QQQ,10,40,0.85,1.1,30,90,1.2,1.05,0.27051988024651097,0.09748107963337463,2.7751013967421527,-0.08276827509108202,88.56291450942582,3267,1502,1765,773
QQQ,10,40,0.9,1.1,30,90,1.2,1.05,0.2783223641601622,0.10030489777127115,2.7747634496854845,-0.11171768060832359,99.47229253447198,3573,1502,2071,769
SPY,10,40,0.9,1.1,21,63,1.15,1.0,0.2126050110758495,0.07684316200029787,2.766739493034206,-0.07485428113168259,36.301929090618906,3622,1463,2159,742
SPY,20,60,0.9,1.15,21,63,1.15,1.0,0.11648784996136174,0.042103789110715356,2.7666832943478656,-0.06039565061478494,6.9141067675828065,3088,1149,1939,446
QQQ,20,60,0.9,1.15,21,63,1.2,1.05,0.13090510193658478,0.04733228133952979,2.765662212593559,-0.08769294891130501,9.069609156733438,2991,1138,1853,452
SPY,10,40,0.9,1.15,21,63,1.2,1.05,0.21373547120246594,0.07758527594855599,2.754845795021548,-0.07863007261900966,36.960225543136794,3414,1255,2159,705
QQQ,20,60,0.9,1.1,21,63,1.2,1.0,0.13681614040961687,0.0497245123847691,2.7514827968735283,-0.09066687499342209,10.104980232148876,3306,1453,1853,487
SPY,10,40,0.9,1.1,21,63,1.2,1.0,0.22172375564612712,0.08060415901510315,2.7507731406834948,-0.07998373827262062,41.935337767674405,3622,1463,2159,742
QQQ,20,60,0.9,1.1,21,63,1.15,1.0,0.13089724602750397,0.04758585933759886,2.7507593190416246,-0.08347250557190186,9.068296024396547,3306,1453,1853,487
SPY,20,60,0.9,1.15,21,63,1.2,1.0,0.11983727862839721,0.04378192689263359,2.7371403483970487,-0.06505718644787545,7.371920964298951,3088,1149,1939,446
SPY,20,60,0.9,1.1,30,90,1.2,1.05,0.14663122370660764,0.05373621335327296,2.7287226724113163,-0.07895546263460823,12.049997325035033,3373,1434,1939,472
QQQ,10,60,0.9,1.15,21,63,1.2,1.0,0.2365839273604471,0.08708360742446616,2.7167446820074974,-0.0948727266923265,52.87512010294594,3454,1252,2202,699
SPY,20,60,0.85,1.1,30,90,1.15,1.0,0.13623390519635792,0.05024083872860046,2.7116168568022814,-0.07510440184776161,9.998687667476004,3038,1434,1604,459
SPY,10,40,0.85,1.1,30,90,1.15,1.0,0.23608753743904476,0.08708022435690742,2.711149852708409,-0.09062869438293833,52.47055218989052,3304,1463,1841,775
SPY,10,40,0.9,1.1,30,90,1.2,1.05,0.25730692153399026,0.09529229822512816,2.7001859156141075,-0.09493577958820318,72.60242859706865,3622,1463,2159,742
SPY,10,40,0.85,1.1,30,90,1.2,1.0,0.24675304438146095,0.0914437919487492,2.6984122062628018,-0.09591223951337292,61.82951211612035,3304,1463,1841,775
QQQ,10,60,0.85,1.1,30,90,1.2,1.0,0.2763176493760553,0.10257008653193495,2.693939907031515,-0.11314467266940167,96.55507262175792,3353,1445,1908,683
SPY,20,60,0.85,1.1,30,90,1.2,1.0,0.14100497918674848,0.052347279308662516,2.6936448474298214,-0.08091777768653889,10.89886006167237,3038,1434,1604,459
QQQ,10,60,0.9,1.15,21,63,1.15,1.0,0.22219142376188317,0.08259753835813742,2.6900489794075457,-0.08865876520779838,42.24494428091035,3454,1252,2202,699
QQQ,10,60,0.9,1.1,30,90,1.2,1.05,0.282473099356386,0.10512175041945362,2.6871042218120453,-0.11142617622040538,105.77695535358406,3647,1445,2202,693
QQQ,10,40,0.9,1.15,21,63,1.2,1.0,0.22247272545876662,0.08283915454932952,2.6855986962818084,-0.09489513289194702,42.43218893219848,3326,1255,2071,739
QQQ,10,40,0.9,1.15,21,63,1.15,1.0,0.21021546005120162,0.07860806480621822,2.6742225568002116,-0.0891148638510635,34.94582720280992,3326,1255,2071,739
SPY,10,60,0.9,1.1,30,90,1.2,1.05,0.2684947561111406,0.10069718661317555,2.6663580695908924,-0.11528072388692497,85.92044341541947,3780,1485,2295,642
QQQ,10,40,0.9,1.15,30,90,1.2,1.05,0.2605817529328305,0.09788246617222643,2.662190309695824,-0.1117176806083234,76.28604882639749,3326,1255,2071,739
SPY,10,60,0.9,1.15,30,90,1.2,1.05,0.2633249149172323,0.09908564724267889,2.6575485173175624,-0.1152807238869248,79.50529091492243,3591,1296,2295,634
QQQ,10,60,0.85,1.1,30,90,1.15,1.0,0.258109417633799,0.09714112888430568,2.657055982345082,-0.10626018207521634,73.4894036150986,3353,1445,1908,683
SPY,10,60,0.85,1.1,30,90,1.2,1.05,0.26054696319259674,0.09856750552185282,2.643335263616186,-0.11528072388692508,76.24601499376497,3522,1485,2037,670
SPY,10,40,0.9,1.15,21,63,1.15,1.0,0.195410262590898,0.07399560715803066,2.64083599143345,-0.07485428113168265,27.52916206189905,3414,1255,2159,705
QQQ,10,40,0.85,1.1,30,90,1.2,1.0,0.2573188740823804,0.0975954726465194,2.636586176639182,-0.08387538201966666,72.61556572554201,3267,1502,1765,773
QQQ,10,40,0.9,1.1,30,90,1.2,1.0,0.2648086617974543,0.10048925481080541,2.635193805507054,-0.11289129155601677,81.29903559960118,3573,1502,2071,769
QQQ,20,60,0.85,1.1,30,90,1.2,1.05,0.1473817825232433,0.0560628713621271,2.628866109465918,-0.1062588529850267,12.211303895223482,2988,1453,1535,487
QQQ,20,60,0.9,1.15,21,63,1.15,1.0,0.11877380155845985,0.04523946313152307,2.6254467523885734,-0.08347250557190208,7.223911512968682,2991,1138,1853,452
SPY,20,60,0.9,1.1,30,90,1.15,1.0,0.1346570295174747,0.051306325085190396,2.624569763940149,-0.07510440184776176,9.715629795600876,3373,1434,1939,472
QQQ,10,40,0.9,1.1,30,90,1.15,1.0,0.24926268104261573,0.09519831946291464,2.618351694114918,-0.10681866868833961,64.2468280685956,3573,1502,2071,769
QQQ,10,60,0.9,1.15,30,90,1.2,1.05,0.26898341282834193,0.10282828074939157,2.615850531274525,-0.10971912866066384,86.55122206610679,3454,1252,2202,699
SPY,10,40,0.9,1.15,21,63,1.2,1.0,0.20277702207750115,0.07758316664596059,2.6136729247317834,-0.07998373827262079,31.01696937587576,3414,1255,2159,705
QQQ,10,40,0.85,1.1,30,90,1.15,1.0,0.24152313744562548,0.09247857657791439,2.611665819079072,-0.07946225359716202,57.06171369820191,3267,1502,1765,773
QQQ,20,60,0.9,1.15,21,63,1.2,1.0,0.1230059017785492,0.04721661399969143,2.605140253796112,-0.09066687499342142,7.828009599038202,2991,1138,1853,452
SPY,20,60,0.9,1.1,30,90,1.2,1.0,0.1388786457082083,0.053496983574212516,2.596008904231992,-0.08091777768653866,10.489387751134174,3373,1434,1939,472
QQQ,20,60,0.9,1.1,30,90,1.2,1.05,0.15027821379306827,0.057937026267058774,2.5938199365008123,-0.1068776134406151,12.851664280835783,3306,1453,1853,487
QQQ,10,60,0.9,1.1,30,90,1.2,1.0,0.2731048854564324,0.10544636898965463,2.5899885228217463,-0.11314467266940152,92.046540341206,3647,1445,2202,693
SPY,10,40,0.9,1.15,30,90,1.2,1.05,0.23670220514487084,0.09172955986675388,2.58043541785989,-0.0949357795882037,52.97194553471095,3414,1255,2159,705
SPY,10,40,0.9,1.1,30,90,1.15,1.0,0.23424444702135006,0.09082719381814104,2.579012266858828,-0.09062869438293823,50.99341943336349,3622,1463,2159,742
SPY,20,60,0.9,1.15,30,90,1.2,1.05,0.13181855737018977,0.051169854889209825,2.5760979321828468,-0.07895546263460773,9.223405685791327,3088,1149,1939,446
SPY,10,60,0.9,1.1,30,90,1.2,1.0,0.25939623722160965,0.10093045509215438,2.570049218392688,-0.11720301038681143,74.93284247112805,3780,1485,2295,642
SPY,10,60,0.9,1.1,30,90,1.15,1.0,0.24623856071554773,0.09595546959705034,2.5661753493530615,-0.1103066527727779,61.344541604461256,3780,1485,2295,642
SPY,10,60,0.9,1.15,30,90,1.15,1.0,0.24206757784875177,0.09441556320999145,2.5638525007827857,-0.11030665277277778,57.541592034521045,3591,1296,2295,634
SPY,10,60,0.9,1.15,30,90,1.2,1.0,0.2542450809930008,0.0992929838554315,2.5605543425220887,-0.11720301038681143,69.30926520237522,3591,1296,2295,634
SPY,10,40,0.9,1.1,30,90,1.2,1.0,0.24403188635599604,0.09538438223301281,2.558405062160542,-0.09591223951337324,59.304364483775984,3622,1463,2159,742
QQQ,10,60,0.9,1.1,30,90,1.15,1.0,0.2554328781657065,0.09987135039137275,2.55761914868202,-0.1062601820752166,70.56988428710441,3647,1445,2202,693
SPY,10,60,0.85,1.1,30,90,1.2,1.0,0.2516541633386642,0.09878262204348602,2.54755500646542,-0.11720301038681125,66.632055395376,3522,1485,2037,670
SPY,10,60,0.85,1.1,30,90,1.15,1.0,0.23860943790179356,0.09397362918321502,2.5391105991723526,-0.1103066527727778,54.55618819527612,3522,1485,2037,670
QQQ,10,40,0.9,1.15,30,90,1.2,1.0,0.24742364311865028,0.09802701121180184,2.524035365967192,-0.11289129155601683,62.467005409956315,3326,1255,2071,739
QQQ,10,40,0.9,1.15,30,90,1.15,1.0,0.23365263502908507,0.09290464468387097,2.5149725917809698,-0.10681866868833935,50.527368088589526,3326,1255,2071,739
QQQ,10,60,0.9,1.15,30,90,1.2,1.0,0.25920138028616924,0.10316679783058652,2.512449603328893,-0.11174514664574098,74.71258102268824,3454,1252,2202,699
QQQ,20,60,0.9,1.15,30,90,1.2,1.05,0.1369609788891477,0.055030235734237855,2.4888314044407314,-0.1068776134406153,10.131572521464756,2991,1138,1853,452
QQQ,20,60,0.85,1.1,30,90,1.15,1.0,0.133233783102767,0.05353860279587239,2.488555474836538,-0.10145713987203415,9.466083338184385,2988,1453,1535,487
QQQ,10,60,0.9,1.15,30,90,1.15,1.0,0.24305448996193801,0.09774365424907251,2.486652374818945,-0.10514869740950678,58.421059264870394,3454,1252,2202,699
QQQ,20,60,0.85,1.1,30,90,1.2,1.0,0.13845243784902572,0.055940724012086766,2.4749847323947964,-0.1082154996932186,10.40893339805517,2988,1453,1535,487
SPY,20,60,0.9,1.15,30,90,1.15,1.0,0.12089314902783022,0.04887198019870887,2.47366995436424,-0.0751044018477619,7.521364187632072,3088,1149,1939,446
SPY,10,40,0.9,1.15,30,90,1.15,1.0,0.2155846001670021,0.08744027111972472,2.465506995876305,-0.0906286943829379,38.06078781791032,3414,1255,2159,705
QQQ,20,60,0.9,1.1,30,90,1.15,1.0,0.13543276204979282,0.05531178603758726,2.448533517933396,-0.10204969670812979,9.854004984630404,3306,1453,1853,487
SPY,10,40,0.9,1.15,30,90,1.2,1.0,0.22359843832070259,0.09179530826973661,2.4358373269325275,-0.09591223951337345,43.189214199899006,3414,1255,2159,705
SPY,20,60,0.9,1.15,30,90,1.2,1.0,0.12385482377258139,0.05089174246934417,2.433691946138182,-0.08091777768653889,7.954140368589799,3088,1149,1939,446
QQQ,20,60,0.9,1.1,30,90,1.2,1.0,0.14084235918776722,0.057875110322217434,2.4335566429788704,-0.1089262776845462,10.867062472461,3306,1453,1853,487
QQQ,20,60,0.9,1.15,30,90,1.15,1.0,0.12361337776093162,0.05252663952937566,2.3533463946765623,-0.10204969670812966,7.918094361825144,2991,1138,1853,452
QQQ,20,60,0.9,1.15,30,90,1.2,1.0,0.1275545366979094,0.054896451415172326,2.32354794180113,-0.10892627768454625,8.524025689884994,2991,1138,1853,452
