period,window,threshold,filtered_days_total,observed_days_total,filtered_pct_total,adk_annual_return_pct,adk_annual_vol_pct,adk_sharpe,adk_max_drawdown_pct,combined_annual_return_pct,combined_annual_vol_pct,combined_sharpe,combined_max_drawdown_pct,combined_annual_delta_pct,combined_sharpe_delta,combined_max_drawdown_delta_pct
2年,10,0.35,14110,37220,37.90972595378829,19.379644467565527,20.053767958833145,0.9663841980892831,-15.412272740719427,30.571237675214192,13.662888933264025,2.2375383291585327,-10.782150551438706,-0.4003547448410565,0.022227723796250043,0.8765108582851404
最长,10,0.4,15546,37220,41.76786673831273,11.052314536913844,17.14129294110783,0.6447771807462931,-27.926513608204207,17.783051769414925,12.225072531396505,1.4546377310845713,-17.350257184443247,-2.6203960773554016,-0.18080660509285384,0.0
10年,10,0.4,15546,37220,41.76786673831273,10.887423577838318,16.832282835100777,0.646818003505413,-21.244776384491402,22.11836011354309,11.24570375595513,1.9668275630887373,-11.145328755017134,-3.693415695192101,-0.2641064134528519,0.5133326547067032
5年,10,0.4,15546,37220,41.76786673831273,12.998575331330109,17.866265492255387,0.7275485376037142,-20.525872291832258,22.632788919301184,12.053403620378333,1.8777093700767304,-11.145328755017117,-3.6136447690233027,-0.24201659495316896,0.5133326547066837
2年,10,0.4,15546,37220,41.76786673831273,12.467912168136298,18.814753589508477,0.6626667794941881,-14.458537672356004,29.28529880518138,13.566204291915854,2.1586951055007026,-11.145328755017088,-1.6862936148738683,-0.05661549986157999,0.5133326547067583
最长,15,0.1,6736,37220,18.097796883396022,25.81787766851187,19.72484966823191,1.308901112189116,-29.07444439352534,19.968140164368254,12.413398347440747,1.6085957773589903,-17.350257184443247,-0.4353076824020725,-0.026848558818434842,0.0
10年,15,0.1,6736,37220,18.097796883396022,27.249951538126815,19.739100996747037,1.3805062116363633,-22.335988021784136,25.0723574976899,11.508876440863537,2.178523475034255,-11.206748864300655,-0.7394183110452914,-0.052410501507334395,0.45191254542318227
5年,15,0.1,6736,37220,18.097796883396022,25.289972089304523,20.338050033276243,1.243480670365456,-22.335988021784125,24.90014597791137,12.333078361390506,2.0189724939932985,-11.206748864300677,-1.3462877104131152,-0.10075347103660093,0.45191254542312365
2年,15,0.1,6736,37220,18.097796883396022,14.623653572824647,20.749769976709825,0.7047622016648224,-18.271944218781574,29.547472399820474,13.929381540811491,2.1212336178207027,-11.206748864300675,-1.4241200202347741,-0.09407698754157989,0.4519125454231716
最长,15,0.2,9947,37220,26.724879097259535,22.93922772718817,19.14263609558391,1.1983317037761645,-24.747883783408735,19.66143487915066,12.362703296956765,1.5903831392597259,-17.350257184443247,-0.7420129676196652,-0.045061196917699275,0.0
10年,15,0.2,9947,37220,26.724879097259535,24.345139155520723,19.279743960148814,1.26273145565844,-21.668545409227278,24.83105510148671,11.436432492897065,2.1712238599675877,-10.932803978730405,-0.98072070724848,-0.05971011657400149,0.7258574309934325
5年,15,0.2,9947,37220,26.724879097259535,22.91875851894549,19.861138272532965,1.1539498997719115,-21.668545409227235,24.491236738008702,12.257870443983876,1.998000945590751,-10.93280397873042,-1.755196950315785,-0.12172501943914837,0.725857430993381
2年,15,0.2,9947,37220,26.724879097259535,12.023570803051363,19.97515639290984,0.6019262411041305,-18.37992162588695,28.93085216759692,13.770796100944564,2.1008845062786534,-10.932803978730446,-2.0407402524583276,-0.11442609908362922,0.7258574309934005
最长,15,0.25,11360,37220,30.521225147770014,21.174752179925484,18.910011622747422,1.1197641018080462,-26.140556561858965,19.398677327853232,12.35516852489731,1.570086016128579,-17.350257184443247,-1.0047705189170948,-0.06535832004884612,0.0
10年,15,0.25,11360,37220,30.521225147770014,21.833451110095027,19.065499487020343,1.1451811752930514,-22.51509643115677,24.374765831695,11.430347552409929,2.132460602788576,-10.93280397873044,-1.4370099770401907,-0.09847337375301324,0.725857430993397
5年,15,0.25,11360,37220,30.521225147770014,21.673984994344163,19.706194839563718,1.099856424378275,-22.51509643115672,24.29761623328155,12.245075796244825,1.9842765073559492,-10.932803978730398,-1.9488174550429385,-0.13544945767395022,0.7258574309934023
2年,15,0.25,11360,37220,30.521225147770014,11.105587259362126,19.7634819879562,0.5619246277619416,-19.262013770333258,28.766903018353606,13.75539122987599,2.0913184174560877,-10.932803978730368,-2.2046894017016427,-0.12399218790619493,0.7258574309934787
最长,15,0.3,12740,37220,34.22890918860828,19.900100180632883,18.59773720496448,1.0700280341266866,-26.92680387381771,19.22158046760942,12.339103058529064,1.55777777172572,-17.350257184443247,-1.1818673791609058,-0.07766656445170517,0.0
10年,15,0.3,12740,37220,34.22890918860828,20.972810888317216,18.68585257087062,1.1223898298872237,-26.926803873817732,24.21180983360005,11.401835100443499,2.123501139975115,-10.784136329389876,-1.5999659751351416,-0.10743283656647407,0.8745250803339619
5年,15,0.3,12740,37220,34.22890918860828,18.626734845052596,19.1744293544076,0.9714362029121295,-26.92680387381776,23.770170233725896,12.1973642097254,1.9487956434696831,-10.784136329389876,-2.476263454598591,-0.17093032156021626,0.8745250803339246
2年,15,0.3,12740,37220,34.22890918860828,7.833201647543708,18.838689010554923,0.4158039682673741,-24.38305841117897,28.171602714660928,13.642627141827498,2.064969043116955,-10.784136329389872,-2.799989705394321,-0.1503415622453277,0.8745250803339744
最长,15,0.35,14195,37220,38.1380977968834,19.05928017367775,18.28012269808717,1.0426232081949927,-27.0465358675748,18.985918200428276,12.328704873264535,1.539976696303297,-17.350257184443247,-1.4175296463420501,-0.0954676398741281,0.0
10年,15,0.35,14195,37220,38.1380977968834,20.590733965076915,18.343415437475244,1.1225136363106316,-25.417636603957906,23.90902824427532,11.399357722207148,2.097401347244154,-10.681610363209728,-1.9027475644598724,-0.13353262929743526,0.9770510465141093
5年,15,0.35,14195,37220,38.1380977968834,18.408237634135904,18.92712194594324,0.9725851445724661,-25.417636603957877,23.475139245780575,12.195040568423767,1.9249742642565708,-10.681610363209753,-2.771294442543912,-0.1947517007733286,0.9770510465140472
2年,15,0.35,14195,37220,38.1380977968834,10.08992272510123,18.625694390217213,0.5417206206497605,-23.0832249332739,28.561717925696286,13.648721560147582,2.09262954041737,-10.681610363209728,-2.409874494358963,-0.1226810649449126,0.9770510465141182
最长,15,0.4,15582,37220,41.86458893068243,18.569863342170876,17.883133440119728,1.0384009829345966,-24.102577739398566,18.87644366106276,12.311081843879466,1.5332887800146748,-17.350257184443247,-1.5270041857075682,-0.1021555561627503,0.0
10年,15,0.4,15582,37220,41.86458893068243,19.84194155715482,17.971584358010414,1.1040730278357866,-20.511570250478556,23.740793640511292,11.378034667081895,2.0865460806861873,-10.681610363209694,-2.0709821682238996,-0.1443878958554019,0.9770510465141431
