low_ratio,high_ratio,dte,vol_level_cap,slope_filter,annual,vol,sharpe,max_dd,total,active_days,long_days,short_days,trades
0.92,1.05,30,25.0,False,0.006134148786102411,0.058793192787670055,0.10433433694025965,-0.23175809342631085,0.09721447753052348,1944,479,1465,956
0.9,1.05,30,None,False,-0.00030003278166268466,0.05862602949064304,-0.005117740093767925,-0.2405530754843932,-0.004542024425517988,1678,479,1199,962
0.9,1.05,30,30.0,False,-0.0003566406804380584,0.0586256195205567,-0.00608335883449393,-0.2405530754843932,-0.005396815171108127,1677,479,1198,960
0.9,1.05,30,25.0,False,-0.0006106607554658972,0.05790429138928661,-0.010546036240396526,-0.24998149037648712,-0.009224135377348452,1641,479,1162,942
0.9,1.0,21,None,True,-0.0008201058880777934,0.04597955407904253,-0.017836316695633146,-0.21808789892757638,-0.012369492553912287,1448,660,788,1223
0.9,1.0,21,30.0,True,-0.0009004016245423019,0.0459784885644341,-0.01958310620151165,-0.21808789892757638,-0.013572864237951454,1447,660,787,1221
0.9,1.0,21,25.0,True,-0.00141835555481451,0.04569286255486943,-0.031041074590398093,-0.22642795042217373,-0.0213024563707761,1429,660,769,1199
0.88,1.0,21,25.0,True,-0.002570960927635202,0.0452617610129225,-0.05680205255162691,-0.23566589454297535,-0.038300582983267106,1262,660,602,1095
0.88,1.0,21,30.0,True,-0.0028014848333799414,0.045367772155974935,-0.061750548908339684,-0.23566589454297535,-0.0416669854289502,1271,660,611,1105
0.88,1.0,21,None,True,-0.0028014848333799414,0.045367772155974935,-0.061750548908339684,-0.23566589454297535,-0.0416669854289502,1271,660,611,1105
0.9,1.0,21,None,False,-0.006472070839805832,0.057191638258954534,-0.11316463449606631,-0.2612305615177238,-0.09380841517085647,2237,1038,1199,1155
0.9,1.0,21,30.0,False,-0.0065519123750890085,0.057190753198274484,-0.11456244250489583,-0.2612305615177238,-0.0949125581527469,2236,1038,1198,1153
0.9,1.0,21,25.0,False,-0.007347838456464362,0.05663471896624717,-0.12974088316468002,-0.269110443605654,-0.10585106950902223,2200,1038,1162,1135
0.88,1.0,21,30.0,False,-0.011337560634532728,0.055366155303310356,-0.20477420858325074,-0.29005539419612375,-0.15884593647375767,1942,1038,904,1081
0.88,1.0,21,None,False,-0.011337560634532728,0.055366155303310356,-0.20477420858325074,-0.29005539419612375,-0.15884593647375767,1942,1038,904,1081
0.88,1.0,21,25.0,False,-0.01147853499104956,0.05494598292282467,-0.2089058085860787,-0.290866966179533,-0.16066368028489741,1917,1038,879,1073
0.88,1.0,30,25.0,True,-0.013543071316855948,0.05151576831875367,-0.2628917661299009,-0.302491477218418,-0.18686728385038565,1262,660,602,1095
0.9,1.0,30,None,True,-0.013771885537024797,0.05236804242938992,-0.2629826302099037,-0.2946159154192774,-0.18972393009457622,1448,660,788,1223
0.9,1.0,30,30.0,True,-0.013827730593645615,0.052367523729943674,-0.2640516413369941,-0.2946159154192774,-0.1904197068153668,1447,660,787,1221
0.88,1.0,30,30.0,True,-0.013969605774040494,0.05164664651952419,-0.2704842756588176,-0.302491477218418,-0.19218482867034803,1271,660,611,1105
0.88,1.0,30,None,True,-0.013969605774040494,0.05164664651952419,-0.2704842756588176,-0.302491477218418,-0.19218482867034803,1271,660,611,1105
0.9,1.0,30,25.0,True,-0.01410196263761776,0.05202426565327116,-0.2710650974221116,-0.30337314860176784,-0.19382828787169837,1429,660,769,1199
