date,side
2010-02-25,fixed_only
2010-03-11,fixed_only
2010-03-25,fixed_only
2010-04-08,fixed_only
2010-04-22,fixed_only
2010-05-06,fixed_only
2010-05-20,fixed_only
2010-06-03,fixed_only
2010-06-17,fixed_only
2010-07-01,fixed_only
2010-07-15,fixed_only
2010-07-29,fixed_only
2010-08-12,fixed_only
2010-08-26,fixed_only
2010-09-09,fixed_only
2010-09-27,fixed_only
2010-10-08,fixed_only
2010-10-21,fixed_only
2010-11-04,fixed_only
2010-11-18,fixed_only
2010-12-02,fixed_only
2010-12-16,fixed_only
2010-12-30,fixed_only
2011-01-13,fixed_only
2011-01-27,fixed_only
2011-02-10,fixed_only
2011-02-24,fixed_only
2011-03-10,fixed_only
2011-03-24,fixed_only
2011-04-07,fixed_only
2011-04-21,fixed_only
2011-05-05,fixed_only
2011-05-19,fixed_only
2011-06-02,fixed_only
2011-06-16,fixed_only
2011-06-30,fixed_only
2011-07-14,fixed_only
2011-07-28,fixed_only
2011-08-11,fixed_only
2011-08-25,fixed_only
2011-09-08,fixed_only
2011-09-22,fixed_only
2011-10-10,fixed_only
2011-10-20,fixed_only
2011-11-03,fixed_only
2011-11-17,fixed_only
2011-12-01,fixed_only
2011-12-15,fixed_only
2011-12-29,fixed_only
2012-01-12,fixed_only
2012-01-30,fixed_only
2012-02-09,fixed_only
2012-02-23,fixed_only
2012-03-08,fixed_only
2012-03-22,fixed_only
2012-04-05,fixed_only
2012-04-19,fixed_only
2012-05-03,fixed_only
2012-05-17,fixed_only
2012-05-31,fixed_only
2012-06-14,fixed_only
2012-06-28,fixed_only
2012-07-12,fixed_only
2012-07-26,fixed_only
2012-08-09,fixed_only
2012-08-23,fixed_only
2012-09-06,fixed_only
2012-09-20,fixed_only
2012-10-08,fixed_only
2012-10-18,fixed_only
2012-11-01,fixed_only
2012-11-15,fixed_only
2012-11-29,fixed_only
2012-12-13,fixed_only
2012-12-27,fixed_only
2013-01-10,fixed_only
2013-01-24,fixed_only
2013-02-07,fixed_only
2013-02-21,fixed_only
2013-03-07,fixed_only
2013-03-21,fixed_only
2013-04-08,fixed_only
2013-04-18,fixed_only
2013-05-02,fixed_only
2013-05-16,fixed_only
2013-05-30,fixed_only
2013-06-13,fixed_only
2013-06-27,fixed_only
2013-07-11,fixed_only
2013-07-25,fixed_only
2013-08-08,fixed_only
2013-08-22,fixed_only
2013-09-05,fixed_only
2013-09-23,fixed_only
2013-10-08,fixed_only
2013-10-17,fixed_only
2013-10-31,fixed_only
2013-11-14,fixed_only
2013-11-28,fixed_only
2013-12-12,fixed_only
2013-12-26,fixed_only
2014-01-09,fixed_only
2014-01-23,fixed_only
2014-02-07,fixed_only
2014-02-20,fixed_only
2014-03-06,fixed_only
2014-03-20,fixed_only
2014-04-03,fixed_only
2014-04-17,fixed_only
2014-05-05,fixed_only
2014-05-15,fixed_only
2014-05-29,fixed_only
2014-06-12,fixed_only
2014-06-26,fixed_only
2014-07-10,fixed_only
2014-07-24,fixed_only
2014-08-07,fixed_only
2014-08-21,fixed_only
2014-09-04,fixed_only
2014-09-18,fixed_only
2014-10-08,fixed_only
2014-10-16,fixed_only
2014-10-30,fixed_only
2014-11-13,fixed_only
2014-11-27,fixed_only
2014-12-11,fixed_only
2014-12-25,fixed_only
2015-01-08,fixed_only
2015-01-22,fixed_only
2015-02-05,fixed_only
2015-02-25,fixed_only
2015-03-05,fixed_only
2015-03-19,fixed_only
2015-04-02,fixed_only
2015-04-16,fixed_only
2015-04-30,fixed_only
2015-05-14,fixed_only
2015-05-28,fixed_only
2015-06-11,fixed_only
2015-06-25,fixed_only
2015-07-09,fixed_only
2015-07-23,fixed_only
2015-08-06,fixed_only
2015-08-20,fixed_only
2015-09-07,fixed_only
2015-09-17,fixed_only
2018-03-01,fixed_only
2018-03-15,fixed_only
2018-03-29,fixed_only
2018-04-12,fixed_only
2018-04-26,fixed_only
2018-05-10,fixed_only
2018-05-24,fixed_only
2018-06-07,fixed_only
2018-06-21,fixed_only
2018-07-05,fixed_only
2018-07-19,fixed_only
2018-08-02,fixed_only
2018-08-16,fixed_only
2018-08-30,fixed_only
2018-09-13,fixed_only
2018-09-27,fixed_only
2018-10-11,fixed_only
2018-10-25,fixed_only
2018-11-08,fixed_only
2018-11-22,fixed_only
2018-12-06,fixed_only
2018-12-20,fixed_only
2019-01-03,fixed_only
2019-01-17,fixed_only
2019-01-31,fixed_only
2019-02-14,fixed_only
2019-02-28,fixed_only
2019-03-14,fixed_only
2019-03-28,fixed_only
2019-04-11,fixed_only
2019-04-25,fixed_only
2019-05-09,fixed_only
2019-05-23,fixed_only
2019-06-06,fixed_only
2019-06-20,fixed_only
2019-07-04,fixed_only
2019-07-18,fixed_only
2019-08-01,fixed_only
2019-08-15,fixed_only
2019-08-29,fixed_only
2019-09-12,fixed_only
2019-09-26,fixed_only
2019-10-10,fixed_only
2019-10-24,fixed_only
2019-11-07,fixed_only
2019-11-21,fixed_only
2019-12-05,fixed_only
2019-12-19,fixed_only
2020-01-02,fixed_only
2020-01-16,fixed_only
2020-02-03,fixed_only
2020-02-13,fixed_only
2020-02-27,fixed_only
2020-03-12,fixed_only
2020-03-26,fixed_only
2020-04-09,fixed_only
2020-04-23,fixed_only
2020-05-07,fixed_only
2020-05-21,fixed_only
2020-06-04,fixed_only
2020-06-18,fixed_only
2020-07-02,fixed_only
2020-07-16,fixed_only
2020-07-30,fixed_only
2020-08-13,fixed_only
2020-08-27,fixed_only
2020-09-10,fixed_only
2020-09-24,fixed_only
2021-02-25,fixed_only
2021-03-11,fixed_only
2021-03-25,fixed_only
2021-04-08,fixed_only
2021-04-22,fixed_only
2021-05-06,fixed_only
2021-05-20,fixed_only
2021-06-03,fixed_only
2021-06-17,fixed_only
2021-07-01,fixed_only
2021-07-15,fixed_only
2021-07-29,fixed_only
2021-08-12,fixed_only
2021-08-26,fixed_only
2021-09-09,fixed_only
2021-09-23,fixed_only
2021-10-08,fixed_only
2021-10-21,fixed_only
2021-11-04,fixed_only
2021-11-18,fixed_only
2021-12-02,fixed_only
2021-12-16,fixed_only
2021-12-30,fixed_only
2022-01-13,fixed_only
2022-01-27,fixed_only
2022-02-10,fixed_only
2022-02-24,fixed_only
2022-03-10,fixed_only
2022-03-24,fixed_only
2022-04-07,fixed_only
2022-04-21,fixed_only
2022-05-05,fixed_only
2022-05-19,fixed_only
2022-06-02,fixed_only
2022-06-16,fixed_only
2022-06-30,fixed_only
2022-07-14,fixed_only
2022-07-28,fixed_only
2022-08-11,fixed_only
2022-08-25,fixed_only
2022-09-08,fixed_only
2022-09-22,fixed_only
2022-10-10,fixed_only
2022-10-20,fixed_only
2022-11-03,fixed_only
2022-11-17,fixed_only
2022-12-01,fixed_only
2022-12-15,fixed_only
2022-12-29,fixed_only
2023-01-12,fixed_only
2023-01-30,fixed_only
2023-02-09,fixed_only
2023-02-23,fixed_only
2023-03-09,fixed_only
2023-03-23,fixed_only
2023-04-06,fixed_only
2023-04-20,fixed_only
2023-05-04,fixed_only
2023-05-18,fixed_only
2023-06-01,fixed_only
2023-06-15,fixed_only
2023-06-29,fixed_only
2023-07-13,fixed_only
2023-07-27,fixed_only
2023-08-10,fixed_only
2023-08-24,fixed_only
2023-09-07,fixed_only
2023-09-21,fixed_only
2023-10-09,fixed_only
2023-10-19,fixed_only
2023-11-02,fixed_only
2023-11-16,fixed_only
2023-11-30,fixed_only
2023-12-14,fixed_only
2023-12-28,fixed_only
2024-01-11,fixed_only
2024-01-25,fixed_only
2024-02-08,fixed_only
2024-02-22,fixed_only
2024-03-07,fixed_only
2024-03-21,fixed_only
2024-04-08,fixed_only
2024-04-18,fixed_only
2024-05-06,fixed_only
2024-05-16,fixed_only
2024-05-30,fixed_only
2024-06-13,fixed_only
2024-06-27,fixed_only
2024-07-11,fixed_only
2024-07-25,fixed_only
2024-08-08,fixed_only
2024-08-22,fixed_only
2024-09-05,fixed_only
2024-09-19,fixed_only
2024-10-08,fixed_only
2024-10-17,fixed_only
2024-10-31,fixed_only
2024-11-14,fixed_only
2024-11-28,fixed_only
2024-12-12,fixed_only
2024-12-26,fixed_only
2025-01-09,fixed_only
2025-01-23,fixed_only
2025-02-06,fixed_only
2025-02-20,fixed_only
2025-03-06,fixed_only
2025-03-20,fixed_only
2025-04-03,fixed_only
2025-04-17,fixed_only
2025-05-06,fixed_only
2025-05-15,fixed_only
2025-05-29,fixed_only
2025-06-12,fixed_only
2025-06-26,fixed_only
2025-07-10,fixed_only
2025-07-24,fixed_only
2025-08-07,fixed_only
2025-08-21,fixed_only
2025-09-04,fixed_only
2025-09-18,fixed_only
